club_display,asset_file,source,source_url,status,last_checked
Eintracht Frankfurt,C:/Users/manue/Projects/market-value-football-tfm/app/assets/clubs/eintracht-frankfurt.svg,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/Eintracht%20Frankfurt%20crest.svg,downloaded,2026-06-20
Paris Saint-Germain,C:/Users/manue/Projects/market-value-football-tfm/app/assets/clubs/paris-saint-germain.svg,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/Paris%20Saint-Germain%20F.C..svg,downloaded,2026-06-20
Manchester City,C:/Users/manue/Projects/market-value-football-tfm/app/assets/clubs/manchester-city.svg,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/Manchester%20City%20FC%20badge.svg,downloaded,2026-06-20
Chelsea FC,C:/Users/manue/Projects/market-value-football-tfm/app/assets/clubs/chelsea-fc.svg,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/Chelsea%20FC.svg,downloaded,2026-06-20
Club Brugge KV,C:/Users/manue/Projects/market-value-football-tfm/app/assets/clubs/club-brugge.svg,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/Club%20Brugge%20KV%20logo.svg,downloaded,2026-06-20
NEC Nijmegen,,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/NEC%20Nijmegen.svg,error: 404 Client Error: Not Found for url: https://en.wikipedia.org/wiki/Special:Redirect/file/NEC_Nijmegen.svg,2026-06-20
Real Sociedad,C:/Users/manue/Projects/market-value-football-tfm/app/assets/clubs/real-sociedad.svg,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/Real%20Sociedad%20logo.svg,downloaded,2026-06-20
Brighton & Hove Albion,,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/Brighton%20%26%20Hove%20Albion%20logo.svg,error: 404 Client Error: Not Found for url: https://en.wikipedia.org/wiki/Special:Redirect/file/Brighton_%26_Hove_Albion_logo.svg,2026-06-20
Nottingham Forest,C:/Users/manue/Projects/market-value-football-tfm/app/assets/clubs/nottingham-forest.svg,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/Nottingham%20Forest%20F.C.%20logo.svg,downloaded,2026-06-20
Sunderland AFC,,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/Sunderland%20AFC%20logo.svg,error: 404 Client Error: Not Found for url: https://en.wikipedia.org/wiki/Special:Redirect/file/Sunderland_AFC_logo.svg,2026-06-20
Standard Liège,C:/Users/manue/Projects/market-value-football-tfm/app/assets/clubs/standard-liege.svg,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/Standard%20Li%C3%A8ge%20logo.svg,downloaded,2026-06-20
AS Monaco,,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/AS%20Monaco%20FC.svg,error: 404 Client Error: Not Found for url: https://en.wikipedia.org/wiki/Special:Redirect/file/AS_Monaco_FC.svg,2026-06-20
RB Salzburg,C:/Users/manue/Projects/market-value-football-tfm/app/assets/clubs/rb-salzburg.svg,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/FC%20Red%20Bull%20Salzburg%20logo.svg,downloaded,2026-06-20
Feyenoord Rotterdam,,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/Feyenoord%20logo.svg,error: 404 Client Error: Not Found for url: https://en.wikipedia.org/wiki/Special:Redirect/file/Feyenoord_logo.svg,2026-06-20
KVC Westerlo,,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/KVC%20Westerlo%20logo.svg,error: 404 Client Error: Not Found for url: https://en.wikipedia.org/wiki/Special:Redirect/file/KVC_Westerlo_logo.svg,2026-06-20
SL Benfica,C:/Users/manue/Projects/market-value-football-tfm/app/assets/clubs/sl-benfica.svg,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/SL%20Benfica%20logo.svg,downloaded,2026-06-20
FC Groningen,C:/Users/manue/Projects/market-value-football-tfm/app/assets/clubs/fc-groningen.svg,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/FC%20Groningen%20logo.svg,downloaded,2026-06-20
Hellas Verona,,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/Hellas%20Verona%20FC%20logo.svg,error: 404 Client Error: Not Found for url: https://en.wikipedia.org/wiki/Special:Redirect/file/Hellas_Verona_FC_logo.svg,2026-06-20
Aston Villa,,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/Aston%20Villa%20FC%20logo.svg,error: 404 Client Error: Not Found for url: https://en.wikipedia.org/wiki/Special:Redirect/file/Aston_Villa_FC_logo.svg,2026-06-20
Everton FC,C:/Users/manue/Projects/market-value-football-tfm/app/assets/clubs/everton-fc.svg,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/Everton%20FC%20logo.svg,downloaded,2026-06-20
PSV Eindhoven,,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/PSV%20Eindhoven%20logo.svg,error: 404 Client Error: Not Found for url: https://en.wikipedia.org/wiki/Special:Redirect/file/PSV_Eindhoven_logo.svg,2026-06-20
Ajax,,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/AFC%20Ajax%20logo.svg,error: 404 Client Error: Not Found for url: https://en.wikipedia.org/wiki/Special:Redirect/file/AFC_Ajax_logo.svg,2026-06-20
Manchester United,C:/Users/manue/Projects/market-value-football-tfm/app/assets/clubs/manchester-united.svg,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/Manchester%20United%20FC%20crest.svg,downloaded,2026-06-20
Sparta Rotterdam,C:/Users/manue/Projects/market-value-football-tfm/app/assets/clubs/sparta-rotterdam.svg,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/Sparta%20Rotterdam%20logo.svg,downloaded,2026-06-20
Villarreal CF,,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/Villarreal%20CF%20logo.svg,error: 404 Client Error: Not Found for url: https://en.wikipedia.org/wiki/Special:Redirect/file/Villarreal_CF_logo.svg,2026-06-20
Rio Ave FC,C:/Users/manue/Projects/market-value-football-tfm/app/assets/clubs/rio-ave-fc.svg,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/Rio%20Ave%20FC%20logo.svg,downloaded,2026-06-20
SC Heerenveen,C:/Users/manue/Projects/market-value-football-tfm/app/assets/clubs/sc-heerenveen.svg,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/SC%20Heerenveen%20logo.svg,downloaded,2026-06-20
Newcastle United,,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/Newcastle%20United%20FC%20logo.svg,error: 404 Client Error: Not Found for url: https://en.wikipedia.org/wiki/Special:Redirect/file/Newcastle_United_FC_logo.svg,2026-06-20
KAA Gent,C:/Users/manue/Projects/market-value-football-tfm/app/assets/clubs/kaa-gent.svg,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/KAA%20Gent%20logo.svg,downloaded,2026-06-20
Southampton FC,,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/Southampton%20FC%20logo.svg,error: 404 Client Error: Not Found for url: https://en.wikipedia.org/wiki/Special:Redirect/file/Southampton_FC_logo.svg,2026-06-20
FC Famalicão,,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/FC%20Famalic%C3%A3o%20logo.svg,error: 404 Client Error: Not Found for url: https://en.wikipedia.org/wiki/Special:Redirect/file/FC_Famalic%C3%A3o_logo.svg,2026-06-20
Anderlecht,,wikipedia-file-redirect,https://en.wikipedia.org/wiki/Special:Redirect/file/RSC%20Anderlecht%20logo.svg,error: 404 Client Error: Not Found for url: https://en.wikipedia.org/wiki/Special:Redirect/file/RSC_Anderlecht_logo.svg,2026-06-20
