feature,importance,model
log_minutes_played,0.23101441603429643,random_forest
league_Eredivisie,0.170430470691263,random_forest
goals_per90,0.13295284010953318,random_forest
league_Premier League,0.10801666700969911,random_forest
league_Liga Portugal,0.09993681451187915,random_forest
age,0.09941183935658565,random_forest
assists_per90,0.0985477637638233,random_forest
league_Ligue 1,0.011043228580206612,random_forest
league_LaLiga,0.008002744136596898,random_forest
season_2020-2021,0.007646628961879236,random_forest
position_group_MID,0.0068554473535233345,random_forest
position_group_DEF,0.0062181023671924905,random_forest
season_2022-2023,0.00586191464292909,random_forest
season_2023-2024,0.0052817017354965055,random_forest
season_2021-2022,0.004897512294366406,random_forest
league_Serie A,0.0028580757758621712,random_forest
position_group_GK,0.0010238326748675472,random_forest
season_2024-2025,0.0,random_forest
