player_name_fbref,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score,inefficiency_score_z,matching_method,matching_confidence,age_diff,club_score,opportunity_score
Warren Zaïre-Emery,Paris Saint-Germain,Ligue 1,2024-2025,DEF,18.759753593429156,2050,60000000.0,5974618.935236009,-54025381.06476399,-0.9004230177460666,-2.306824242967874,-2.348311114254733,exact_age_club_validated,1.0,0.7597535934291564,73.07692307692308,-2.348311114254733
António Silva,Benfica,Liga Portugal,2024-2025,DEF,20.941820670773442,2037,40000000.0,2959009.564653392,-37040990.43534661,-0.9260247608836653,-2.604024848307242,-2.65086564303608,exact_age_validated,0.85,0.941820670773442,48.275862068965516,-2.2532357965806677
Ousmane Diomande,Sporting CP,Liga Portugal,2024-2025,DEF,21.04312114989733,2521,40000000.0,2967060.6726304134,-37032939.327369586,-0.9258234831842397,-2.601307663863537,-2.6480995098445326,exact_age_validated,0.85,1.0431211498973312,59.45945945945945,-2.250884583367853
Gavi,Barcelona,LaLiga,2024-2025,MID,20.39425051334702,1085,80000000.0,6755332.439537398,-73244667.56046261,-0.9155583445057827,-2.471694450625545,-2.5161513780085363,exact_age_validated,0.85,1.3942505133470213,60.0,-2.138728671307256
Johan Bakayoko,PSV,Eredivisie,2024-2025,MID,21.661875427789184,1579,40000000.0,3407803.5702535342,-36592196.429746464,-0.9148049107436615,-2.462811484644396,-2.507108389742956,exact_age_validated,0.85,0.6618754277891838,16.000000000000004,-2.131042131281512
Aleksandar Pavlovic,Bayern Munich,Bundesliga,2024-2025,MID,20.435318275154003,1451,50000000.0,6264048.4166519595,-43735951.58334804,-0.8747190316669609,-2.077196317418947,-2.1145465540171733,exact_age_club_validated,1.0,0.43531827515400323,80.0,-2.1145465540171733
Nuno Mendes,Paris Saint-Germain,Ligue 1,2024-2025,DEF,22.477754962354553,1676,55000000.0,7126870.0359096285,-47873129.96409037,-0.8704205448016431,-2.0434610323343687,-2.080203544283347,exact_age_club_validated,1.0,0.4777549623545525,73.07692307692308,-2.080203544283347
Endrick,Real Madrid,LaLiga,2024-2025,ATT,18.43668720054757,363,40000000.0,3785199.981510613,-36214800.01848939,-0.9053700004622348,-2.357780733346649,-2.4001855608673064,exact_age_validated,0.85,0.4366872005475706,27.586206896551722,-2.04015772673721
Jorrel Hato,Ajax,Eredivisie,2024-2025,DEF,18.781656399726216,2588,30000000.0,2892533.8479298064,-27107466.152070194,-0.9035822050690064,-2.339064499681294,-2.381132163413028,exact_age_validated,0.85,0.7816563997262165,16.000000000000004,-2.023962338901074
Brian Brobbey,Ajax,Eredivisie,2024-2025,ATT,22.874743326488705,1555,30000000.0,2905332.6492137793,-27094667.35078622,-0.9031555783595406,-2.3346494887181635,-2.3766376181882998,exact_age_validated,0.85,0.874743326488705,9.999999999999998,-2.0201419754600547
Jamal Musiala,Bayern Munich,Bundesliga,2024-2025,MID,21.39082819986311,1798,130000000.0,18756564.973732553,-111243435.02626744,-0.855718730971288,-1.935990627388641,-1.9707971125933237,exact_age_club_validated,1.0,0.39082819986310824,80.0,-1.9707971125933237
Eduardo Camavinga,Real Madrid,LaLiga,2024-2025,DEF,22.130047912388775,1102,80000000.0,8710459.81062729,-71289540.18937272,-0.8911192523671589,-2.2175020540860757,-2.2573798298584853,exact_age_validated,0.85,1.1300479123887754,59.45945945945945,-1.9187728553797125
Ahmetcan Kaplan,Ajax,Eredivisie,2024-2025,DEF,21.744010951403148,562,8000000.0,878284.8465848183,-7121715.153415182,-0.8902143941768977,-2.2092258530076077,-2.24895453706833,exact_age_validated,0.85,0.7440109514031477,12.121212121212121,-1.9116113565080806
Willian Pacho,Paris Saint-Germain,Ligue 1,2024-2025,DEF,22.976043805612594,2132,40000000.0,6239343.554646918,-33760656.44535308,-0.8440164111338271,-1.8580044768422788,-1.8914060797147632,exact_age_club_validated,1.0,0.9760438056125942,73.07692307692308,-1.8914060797147632
Devyne Rensch,Ajax,Eredivisie,2024-2025,DEF,21.913757700205338,1113,12000000.0,1439124.9289195023,-10560875.071080498,-0.8800729225900416,-2.12087140916778,-2.1590084311673268,exact_age_validated,0.85,0.9137577002053376,13.33333333333333,-1.8351571664922277
Jude Bellingham,Real Madrid,LaLiga,2024-2025,MID,21.49760438056126,2488,180000000.0,23022168.901617784,-156977831.0983822,-0.8720990616576789,-2.0564992338932058,-2.09347662266179,exact_age_validated,0.85,0.4976043805612598,59.45945945945945,-1.7794551292625214
Castello Lukeba,RB Leipzig,Bundesliga,2024-2025,DEF,22.00958247775496,1577,50000000.0,6634395.468564442,-43365604.53143556,-0.8673120906287112,-2.0197554542946783,-2.056070921857837,exact_age_validated,0.85,1.009582477754961,62.5,-1.7476602835791613
Lucas Beraldo,Paris Saint-Germain,Ligue 1,2024-2025,DEF,21.045859000684462,2011,30000000.0,5514356.686700294,-24485643.313299708,-0.8161881104433236,-1.6938423836843768,-1.7242866867968596,exact_age_club_validated,1.0,1.0458590006844624,73.07692307692308,-1.7242866867968596
Zeno Debast,Sporting CP,Liga Portugal,2024-2025,DEF,20.958247775496236,2126,22000000.0,3076355.377141205,-18923644.622858796,-0.8601656646753998,-1.9672968761576914,-2.0026673281112766,exact_age_validated,0.85,0.9582477754962362,59.45945945945945,-1.702267228894585
João Neves,Paris Saint-Germain,Ligue 1,2024-2025,DEF,20.027378507871322,1844,60000000.0,11825446.711104123,-48174553.288895875,-0.8029092214815979,-1.624090851720073,-1.6532786151237244,exact_age_club_validated,1.0,1.0273785078713225,73.07692307692308,-1.6532786151237244
Tiago Santos,Lille,Ligue 1,2024-2025,DEF,22.38466803559206,404,15000000.0,2282880.5046063983,-12717119.495393602,-0.8478079663595735,-1.8826121763145114,-1.9164570748488843,exact_age_validated,0.85,0.3846680355920604,29.411764705882348,-1.6289885136215516
