player_name_fbref,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score,inefficiency_score_z,matching_method,matching_confidence,age_diff,club_score,opportunity_score
Lasse Rosenboom,Holstein Kiel,Bundesliga,2024-2025,MID,22.91854893908282,1734,500000.0,9640147.663729887,9140147.663729887,18.280295327459775,2.9590836068793873,3.012459488137752,exact_age_club_validated,1.0,0.9185489390828216,100.0,3.012459488137752
Mario Martín,Valladolid,LaLiga,2024-2025,MID,20.602327173169062,1748,500000.0,7487716.806467015,6987716.806467015,13.975433612934031,2.706411099370886,2.7552352090756607,exact_age_validated,0.85,0.602327173169062,20.833333333333336,2.3419499277143117
Dominik Javorček,Holstein Kiel,Bundesliga,2024-2025,DEF,22.132785763175907,386,550000.0,7134293.505041403,6584293.505041403,11.971442736438915,2.5627502285675536,2.6089863579988335,exact_age_validated,0.85,1.1327857631759066,31.25,2.2176384042990085
Yan Diomandé,Leganés,LaLiga,2024-2025,MID,18.472279260780287,545,600000.0,7176285.58452268,6576285.58452268,10.960475974204467,2.481607544904886,2.5263819286048252,exact_age_validated,0.85,1.4722792607802866,41.379310344827594,2.147424639314101
Johan Manzambi,Freiburg,Bundesliga,2024-2025,MID,18.986995208761122,335,750000.0,8454904.715938862,7704904.715938862,10.273206287918484,2.422428785186943,2.4661370924952837,exact_age_validated,0.85,0.9869952087611225,59.25925925925925,2.096216528620991
Yassin Belkhdim,Angers,Ligue 1,2024-2025,MID,22.64476386036961,1523,500000.0,5583610.44778361,5083610.44778361,10.167220895567219,2.4129827813701183,2.4565209235429935,exact_age_validated,0.85,0.6447638603696113,32.432432432432435,2.0880427850115444
Pau Navarro,Villarreal,LaLiga,2024-2025,DEF,19.64955509924709,916,500000.0,4789324.969094217,4289324.969094217,8.578649938188434,2.2595366570193818,2.300310542365444,exact_age_validated,0.85,0.6495550992470918,48.78048780487805,1.9552639610106275
Jesus Rodríguez,Real Betis,LaLiga,2024-2025,MID,18.89664613278576,1111,700000.0,6259922.6765850615,5559922.6765850615,7.9427466808358025,2.1908427769912358,2.2303791757104348,exact_age_validated,0.85,0.8966461327857616,19.047619047619047,1.8958222993538696
Antoine Hainaut,Parma,Serie A,2024-2025,DEF,22.663928815879533,1206,750000.0,6281850.819473852,5531850.819473852,7.375801092631804,2.125346725988246,2.16370324540531,exact_age_validated,0.85,0.6639288158795331,58.82352941176471,1.8391477585945133
Kévin Danois,Auxerre,Ligue 1,2024-2025,MID,20.27652292950034,1460,500000.0,4099325.2250741837,3599325.2250741837,7.198650450148367,2.103969561475358,2.141940981736658,exact_age_validated,0.85,0.2765229295003415,31.818181818181824,1.8206498344761595
