feature,VIF
log_minutes_played,121.75219612985734
age,120.1364817701636
position_group_MID,7.0245909548443075
position_group_DEF,5.968975441060644
league_Ligue 1,2.3861167732628368
goals_per90,2.2820123819532605
league_Eredivisie,2.255491487261182
season_2025-2026,2.1340307366191293
league_Serie A,2.124576905430094
season_2023-2024,2.0810230698847025
league_Premier League,2.0463436468740683
assists_per90,2.0121321638951697
season_2021-2022,2.0029258095608595
season_2022-2023,1.9970177269145735
season_2020-2021,1.9886806019115908
league_LaLiga,1.8486400871358082
league_Liga Portugal,1.796989059373783
position_group_GK,1.4763933543025356
