player_id_tm,player_name,club,current_club_name_tm,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,log_market_value_eur,predicted_log_market_value,inefficiency_score,inefficiency_score_z,confidence_score,opportunity_score,matching_method,matching_confidence,age_diff,club_score
810092.0,Warren Zaïre-Emery,Paris Saint-Germain,Paris Saint-Germain Football Club,Ligue 1,2024-2025,DEF,18.759753593429156,2050,60000000.0,5974618.935236009,-54025381.06476399,-0.9004230177460666,17.909855120186375,15.603030877218501,-2.306824242967874,-2.2880819697199155,1.0,-2.2880819697199155,exact_age_club_validated,1.0,0.7597535934291564,73.07692307692308
650568.0,António Silva,Benfica,Sport Lisboa e Benfica,Liga Portugal,2024-2025,DEF,20.941820670773442,2037,40000000.0,2959009.564653392,-37040990.43534661,-0.9260247608836653,17.50439001207821,14.900365163770969,-2.604024848307242,-2.5828679069406753,0.85,-2.195437720899574,exact_age_validated,0.85,0.941820670773442,48.275862068965516
974982.0,Ousmane Diomande,Sporting CP,Sporting Clube de Portugal,Liga Portugal,2024-2025,DEF,21.04312114989733,2521,40000000.0,2967060.6726304134,-37032939.327369586,-0.9258234831842397,17.50439001207821,14.903082348214674,-2.601307663863537,-2.580172798827,0.85,-2.1931468790029496,exact_age_validated,0.85,1.0431211498973312,59.45945945945945
646740.0,Gavi,Barcelona,Futbol Club Barcelona,LaLiga,2024-2025,MID,20.39425051334702,1085,80000000.0,6755332.439537398,-73244667.56046261,-0.9155583445057827,18.197537192638155,15.72584274201261,-2.471694450625545,-2.4516126550920085,0.85,-2.0838707568282073,exact_age_validated,0.85,1.3942505133470213,60.0
565424.0,Johan Bakayoko,PSV,RasenBallsport Leipzig,Eredivisie,2024-2025,MID,21.661875427789184,1579,40000000.0,3407803.5702535342,-36592196.429746464,-0.9148049107436615,17.50439001207821,15.041578527433815,-2.462811484644396,-2.4428018606151163,0.85,-2.0763815815228486,exact_age_validated,0.85,0.6618754277891838,16.000000000000004
792380.0,Aleksandar Pavlovic,Bayern Munich,FC Bayern München,Bundesliga,2024-2025,MID,20.435318275154003,1451,50000000.0,6264048.4166519595,-43735951.58334804,-0.8747190316669609,17.72753356339242,15.650337245973473,-2.077196317418947,-2.060319704001432,1.0,-2.060319704001432,exact_age_club_validated,1.0,0.43531827515400323,80.0
616341.0,Nuno Mendes,Paris Saint-Germain,Paris Saint-Germain Football Club,Ligue 1,2024-2025,DEF,22.477754962354553,1676,55000000.0,7126870.0359096285,-47873129.96409037,-0.8704205448016431,17.822843743196746,15.779382710862377,-2.0434610323343687,-2.026858508255511,1.0,-2.026858508255511,exact_age_club_validated,1.0,0.4777549623545525,73.07692307692308
971570.0,Endrick,Real Madrid,Olympique Lyonnais,LaLiga,2024-2025,ATT,18.43668720054757,363,40000000.0,3785199.981510613,-36214800.01848939,-0.9053700004622348,17.50439001207821,15.146609278731562,-2.357780733346649,-2.3386244534966067,0.85,-1.9878307854721158,exact_age_validated,0.85,0.4366872005475706,27.586206896551722
904802.0,Jorrel Hato,Ajax,Chelsea Football Club,Eredivisie,2024-2025,DEF,18.781656399726216,2588,30000000.0,2892533.8479298064,-27107466.152070194,-0.9035822050690064,17.216707939626428,14.877643439945134,-2.339064499681294,-2.3200602837635595,0.85,-1.9720512411990256,exact_age_validated,0.85,0.7816563997262165,16.000000000000004
473169.0,Brian Brobbey,Ajax,Sunderland Association Football Club,Eredivisie,2024-2025,ATT,22.874743326488705,1555,30000000.0,2905332.6492137793,-27094667.35078622,-0.9031555783595406,17.216707939626428,14.882058450908264,-2.3346494887181635,-2.3156811434750657,0.85,-1.9683289719538057,exact_age_validated,0.85,0.874743326488705,9.999999999999998
