variable,VIF
position_group_DEF,3.7963638869012106
position_group_MID,3.2687310881638236
league_Ligue 1,2.0206894467254766
league_Eredivisie,1.9212797889660138
league_Serie A,1.8542329547982326
league_Premier League,1.805753205640221
season_2023-2024,1.6533869701422996
league_LaLiga,1.6531663712213143
season_2021-2022,1.6251186462226663
season_2020-2021,1.6198425460902341
season_2022-2023,1.6189321097129257
league_Liga Portugal,1.6113899480646705
goals_per90,1.4720409045650218
position_group_GK,1.4216896649647426
assists_per90,1.204380053259044
log_minutes_played,1.0884471459386769
age,1.0565456250429401
