feature,importance_mean,importance_std
league,0.4231992363676227,0.027119595432852955
club_score,0.06360239135819963,0.00818602853914925
g_a_per90,0.056207826224590085,0.013474570952439363
log_minutes_played,0.042950470153094465,0.005059420134560042
minutes_played,0.037369456525503816,0.00536750623050002
assists_per90,0.011363322148517046,0.005471702175969077
age,0.007123975288388151,0.0022421255631667105
goals_per90,0.0002597423486365047,0.002813129163687145
matching_confidence,0.0,0.0
matching_method,0.0,0.0
season,0.0,0.0
position_group,-0.00022839257975084125,0.0002473163622109089
age_diff,-0.004091328475700723,0.002829320023482561
