player_name_fbref,player_id_tm,club,current_club_name_tm,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_ml_eur,market_value_gap_ml_eur,market_value_gap_ml_pct,log_market_value_eur,predicted_log_market_value_ml,inefficiency_score_ml,inefficiency_score_ml_z,confidence_score_ml,opportunity_score_ml,matching_method,matching_confidence,age_diff,club_score
Lasse Rosenboom,512352.0,Holstein Kiel,Holstein Kiel,Bundesliga,2024-2025,MID,22.91854893908282,1734,500000.0,9689610.77229897,9189610.77229897,18.37922154459794,13.122363377404328,16.08656481508279,2.9642014376784633,3.1309366265847176,0.9081451060917178,2.8433447749162237,exact_age_club_validated,1.0,0.9185489390828216,100.0
Mario Martín,948273.0,Valladolid,Getafe Club de Fútbol S. A. D. Team Dubai,LaLiga,2024-2025,MID,20.602327173169062,1748,500000.0,7893937.7852165755,7393937.7852165755,14.787875570433151,13.122363377404328,15.881605653899053,2.7592422764947244,2.9219789705907586,0.7988021902806297,2.3340832016618376,exact_age_validated,0.85,0.602327173169062,20.833333333333336
Yassin Belkhdim,807688.0,Angers,Angers Sporting Club de l'Ouest,Ligue 1,2024-2025,MID,22.64476386036961,1523,500000.0,5943089.547992066,5443089.547992066,10.886179095984131,13.122363377404328,15.597739682044814,2.475376304640486,2.632575131540431,0.795195071868583,2.0934107709247374,exact_age_validated,0.85,0.6447638603696113,32.432432432432435
Jesus Rodríguez,1190411.0,Real Betis,Calcio Como,LaLiga,2024-2025,MID,18.89664613278576,1111,700000.0,8570096.826111134,7870096.826111134,11.242995465873049,13.458835614025542,15.963789588772814,2.5049539747472718,2.6627298246977475,0.7737850787132103,2.0603806069957593,exact_age_validated,0.85,0.8966461327857616,19.047619047619047
Pau Navarro,1061336.0,Villarreal,Villarreal Club de Fútbol S.A.D.,LaLiga,2024-2025,DEF,19.64955509924709,916,500000.0,4145954.509938226,3645954.509938226,7.291909019876453,13.122363377404328,15.237643599881544,2.1152802224772156,2.2654540288443155,0.7947878165639971,1.800555261111284,exact_age_validated,0.85,0.6495550992470918,48.78048780487805
Kévin Danois,743496.0,Auxerre,Association de la Jeunesse auxerroise,Ligue 1,2024-2025,MID,20.27652292950034,1460,500000.0,3469123.5171220265,2969123.5171220265,5.938247034244053,13.122363377404328,15.059412531291496,1.937049153887168,2.0837458968302114,0.826495550992471,1.7222067131289862,exact_age_validated,0.85,0.2765229295003415,31.818181818181824
Jérémy Jacquet,1004301.0,Rennes,Stade Rennais Football Club,Ligue 1,2024-2025,DEF,19.225188227241617,927,600000.0,3492213.037270358,2892213.037270358,4.820355062117263,13.304684934198283,15.066046201317407,1.761361267119124,1.904630560908866,0.8308590006844625,1.5824794445098278,exact_age_validated,0.85,0.2251882272416168,30.303030303030297
Antoine Hainaut,917375.0,Parma,Parma Calcio 1913,Serie A,2024-2025,DEF,22.663928815879533,1206,750000.0,4711675.329211243,3961675.3292112434,5.282233772281658,13.527828485512494,15.36555409897089,1.837725613458396,1.9824846793605915,0.7935660506502397,1.5732325374747913,exact_age_validated,0.85,0.6639288158795331,58.82352941176471
Clément Akpa,806793.0,Auxerre,Association de la Jeunesse auxerroise,Ligue 1,2024-2025,DEF,22.869267624914443,2486,1000000.0,6418389.509992911,5418389.509992911,5.4183895099929105,13.815510557964274,15.674677789055439,1.859167231091165,2.004344595918533,0.7761122518822724,1.5555963978863958,exact_age_validated,0.85,0.8692676249144426,31.818181818181824
Louis Mouton,904662.0,Saint-Étienne,Angers Sporting Club de l'Ouest,Ligue 1,2024-2025,MID,22.521560574948666,1045,800000.0,4730787.940414056,3930787.940414056,4.9134849255175705,13.592367006650065,15.369602330191661,1.7772353235415963,1.9208143001572038,0.8056673511293635,1.5475373692190566,exact_age_validated,0.85,0.5215605749486656,31.818181818181824
Emmanuel Biumla,1071956.0,Angers,Angers Sporting Club de l'Ouest,Ligue 1,2024-2025,DEF,19.416837782340863,1336,800000.0,3965869.364531172,3165869.364531172,3.9573367056639652,13.592367006650065,15.193235648671973,1.6008686420219078,1.7410069270544732,0.8145687885010267,1.4181699033426576,exact_age_validated,0.85,0.4168377823408633,32.432432432432435
Arthur Atta,855308.0,Udinese,Udinese Calcio,Serie A,2024-2025,MID,21.927446954141,1251,1000000.0,5262744.248260221,4262744.248260221,4.262744248260222,13.815510557964274,15.476163168866789,1.660652610902515,1.8019572057888233,0.7711670088980149,1.3896099485503917,exact_age_validated,0.85,0.9274469541410006,66.66666666666667
Luca Marianucci,814446.0,Empoli,Torino Calcio,Serie A,2024-2025,DEF,20.40520191649555,1069,800000.0,3748298.908046503,2948298.908046503,3.685373635058129,13.592367006650065,15.136812670506933,1.5444456638568678,1.6834832077268176,0.8155578370978782,1.3729779236842814,exact_age_validated,0.85,0.4052019164955496,21.052631578947366
Junior Kadile,585958.0,Almere City,Servette Football Club 1890 SA,Eredivisie,2024-2025,MID,22.0041067761807,2207,500000.0,2314878.275088631,1814878.275088631,3.6297565501772624,13.122363377404328,14.65486766316481,1.5325042857604814,1.6713088684001574,0.7646509240246406,1.2779678705527568,exact_age_validated,0.85,1.0041067761806985,33.333333333333336
Dudu,1083607.0,Nacional,Aris Thessalonikis,Liga Portugal,2024-2025,MID,22.850102669404517,1338,500000.0,2306688.3517552945,1806688.3517552945,3.613376703510589,13.122363377404328,14.651323439931536,1.528960062527208,1.6676955018403663,0.7522587268993839,1.2545384950702632,exact_age_validated,0.85,1.1498973305954827,30.76923076923077
Pablo Marín,907813.0,Real Sociedad,Real Sociedad de Fútbol S.A.D.,LaLiga,2024-2025,MID,21.48665297741273,1239,1800000.0,7355010.491908949,5555010.491908949,3.0861169399494157,14.403297222866392,15.810892338516854,1.4075951156504622,1.5439628778740646,0.8086344969199178,1.2485016450127229,exact_age_validated,0.85,0.4866529774127315,61.904761904761905
Yan Diomandé,1390649.0,Leganés,RasenBallsport Leipzig,LaLiga,2024-2025,MID,18.472279260780287,545,600000.0,8637222.866786422,8037222.866786422,13.395371444644036,13.304684934198283,15.971591661656086,2.6669067274578033,2.827842071414177,0.4389407369381702,1.2412550827713007,exact_age_validated,0.85,1.4722792607802866,41.379310344827594
Adama Boiro,710671.0,Athletic Club,Athletic Club Bilbao,LaLiga,2024-2025,DEF,22.305270362765228,1101,1500000.0,4720139.391580033,3220139.391580033,2.1467595943866886,14.22097566607244,15.367348889240088,1.1463732231676484,1.2776448756327214,0.9694729637234772,1.238642164165768,exact_age_club_validated,1.0,0.3052703627652278,78.78787878787878
Hugo Álvarez,892929.0,Celta Vigo,Real Club Celta de Vigo S. A. D.,LaLiga,2024-2025,MID,21.27857631759069,1572,3000000.0,11597351.68393816,8597351.68393816,2.8657838946460537,14.914122846632385,16.26628732690269,1.3521644802703072,1.4874508606878236,0.8263210130047912,1.229111901998411,exact_age_validated,0.85,0.2785763175906908,51.28205128205128
Frans Krätzig,604320.0,Heidenheim,Fußballclub Red Bull Salzburg,Bundesliga,2024-2025,DEF,21.932922655715263,1217,1500000.0,6431183.1512640845,4931183.1512640845,3.2874554341760565,14.22097566607244,15.676669084149205,1.4556934180767662,1.5929995175355585,0.7707015742642027,1.2277272359667704,exact_age_validated,0.85,0.932922655715263,10.256410256410254
Joel silva,929573.0,Boavista,Clube Desportivo Nacional,Liga Portugal,2024-2025,MID,21.853524982888434,2397,600000.0,2512722.5970291593,1912722.5970291593,3.1878709950485993,13.304684934198283,14.73687742325759,1.4321924890593074,1.569040115024312,0.7774503764544831,1.2198508280978368,exact_age_validated,0.85,0.8535249828884339,30.303030303030297
Kévin Boma,709727.0,Estoril,Grupo Desportivo Estoril Praia,Liga Portugal,2024-2025,DEF,21.883641341546884,2467,600000.0,2493105.058036819,1893105.058036819,3.1551750967280316,13.304684934198283,14.729039502827895,1.424354568629612,1.561049286649541,0.7748904859685148,1.209642240352666,exact_age_validated,0.85,0.883641341546884,37.83783783783784
Rabby Nzingoula,1068110.0,Montpellier,Montpellier HSC,Ligue 1,2024-2025,MID,18.86652977412731,1689,1500000.0,4858786.774385338,3358786.7743853377,2.2391911829235585,14.22097566607244,15.396299329812562,1.175323663740123,1.3071601027983595,0.9133470225872689,1.1938907879357499,exact_age_club_validated,1.0,0.8665297741273115,84.61538461538461
Carlos Romero,709372.0,Espanyol,Reial Club Deportiu Espanyol de Barcelona S.A.D.,LaLiga,2024-2025,DEF,22.951403148528406,2554,2500000.0,10239428.703381322,7739428.703381322,3.0957714813525286,14.73180128983843,16.14175638533386,1.4099550954954303,1.5463688979502077,0.7691307323750854,1.189359843002497,exact_age_validated,0.85,0.9514031485284065,29.09090909090909
Javi Rodríguez,1076815.0,Celta Vigo,Real Club Celta de Vigo S. A. D.,LaLiga,2024-2025,DEF,21.29226557152635,2514,3000000.0,11080492.288664907,8080492.288664907,2.693497429554969,14.914122846632385,16.22069666868133,1.3065738220489465,1.440970786207927,0.8251574264202602,1.189027745494112,exact_age_validated,0.85,0.29226557152635024,51.28205128205128
