term,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],approx_pct_effect
Intercept,0.03322345134808839,0.006806103191085411,4.881420456804746,1.0532440647400678e-06,0.019883734218497852,0.04656316847767893,3.3781513307388655
C(position_group)[T.DEF],0.3403903101233349,0.06993719233897841,4.867085719905625,1.1325591396423316e-06,0.20331593195908665,0.4774646882875832,40.54960628611279
C(position_group)[T.MID],0.552279325949458,0.07510281657052209,7.353643327489106,1.9287597873673862e-13,0.4050805103337168,0.6994781415651994,73.7208172278679
"C(Q(""league_tm""))[T.LaLiga]",0.5522793259494576,0.07510281657052206,7.353643327489103,1.9287597873674213e-13,0.4050805103337164,0.6994781415651988,73.72081722786781
"C(Q(""league_tm""))[T.Liga Portugal]",0.3403903101233346,0.06993719233897838,4.8670857199056226,1.1325591396423462e-06,0.20331593195908637,0.4774646882875828,40.54960628611275
age,0.3240787168387595,0.06618488285757793,4.896567053478643,9.752537994495945e-07,0.19435873011690435,0.45379870356061464,38.27561490284046
age_squared,0.01415844443183574,0.005222893067545712,2.710843252720265,0.006711234413107764,0.003921762124342219,0.02439512673932926,1.425914992260413
log_minutes_played,0.6469619941192858,0.09265916005666423,6.982169854806006,2.906554103222717e-12,0.46535337757049156,0.82857061066808,90.97302354883166
finishing_index,0.0,0.0,,,0.0,0.0,0.0
playmaking_index,0.0,0.0,,,0.0,0.0,0.0
progression_index,0.0,0.0,,,0.0,0.0,0.0
defensive_index,0.0,0.0,,,0.0,0.0,0.0
