club_display,slug_expected,crest_url,preferred_filename,source,action,mapped_crest_file
Eintracht Frankfurt,eintracht-frankfurt,https://en.wikipedia.org/wiki/Special:Redirect/file/Eintracht%20Frankfurt%20crest.svg,eintracht-frankfurt.svg,wikipedia-file-redirect,download,eintracht-frankfurt.svg
Paris Saint-Germain,paris-saint-germain,https://en.wikipedia.org/wiki/Special:Redirect/file/Paris%20Saint-Germain%20F.C..svg,paris-saint-germain.svg,wikipedia-file-redirect,download,paris-saint-germain.svg
Manchester City,manchester-city,https://en.wikipedia.org/wiki/Special:Redirect/file/Manchester%20City%20FC%20badge.svg,manchester-city.svg,wikipedia-file-redirect,download,manchester-city.svg
Chelsea FC,chelsea-fc,https://en.wikipedia.org/wiki/Special:Redirect/file/Chelsea%20FC.svg,chelsea-fc.svg,wikipedia-file-redirect,download,chelsea-fc.svg
Club Brugge KV,club-brugge,https://en.wikipedia.org/wiki/Special:Redirect/file/Club%20Brugge%20KV%20logo.svg,club-brugge.svg,wikipedia-file-redirect,download,club-brugge.svg
NEC Nijmegen,nec-nijmegen,https://en.wikipedia.org/wiki/Special:Redirect/file/NEC%20Nijmegen.svg,nec-nijmegen.svg,wikipedia-file-redirect,download,nec-nijmegen.svg
Real Sociedad,real-sociedad,https://en.wikipedia.org/wiki/Special:Redirect/file/Real%20Sociedad%20logo.svg,real-sociedad.svg,wikipedia-file-redirect,download,real-sociedad.svg
Brighton & Hove Albion,brighton-hove-albion,https://en.wikipedia.org/wiki/Special:Redirect/file/Brighton%20%26%20Hove%20Albion%20logo.svg,brighton-hove-albion.svg,wikipedia-file-redirect,download,brighton-hove-albion.svg
Nottingham Forest,nottingham-forest,https://en.wikipedia.org/wiki/Special:Redirect/file/Nottingham%20Forest%20F.C.%20logo.svg,nottingham-forest.svg,wikipedia-file-redirect,download,nottingham-forest.svg
Sunderland AFC,sunderland-afc,https://en.wikipedia.org/wiki/Special:Redirect/file/Sunderland%20AFC%20logo.svg,sunderland-afc.svg,wikipedia-file-redirect,download,sunderland-afc.svg
Standard Liège,standard-liege,https://en.wikipedia.org/wiki/Special:Redirect/file/Standard%20Li%C3%A8ge%20logo.svg,standard-liege.svg,wikipedia-file-redirect,download,standard-liege.svg
AS Monaco,as-monaco,https://en.wikipedia.org/wiki/Special:Redirect/file/AS%20Monaco%20FC.svg,as-monaco.svg,wikipedia-file-redirect,download,as-monaco.svg
RB Salzburg,rb-salzburg,https://en.wikipedia.org/wiki/Special:Redirect/file/FC%20Red%20Bull%20Salzburg%20logo.svg,rb-salzburg.svg,wikipedia-file-redirect,download,rb-salzburg.svg
Feyenoord Rotterdam,feyenoord-rotterdam,https://en.wikipedia.org/wiki/Special:Redirect/file/Feyenoord%20logo.svg,feyenoord-rotterdam.svg,wikipedia-file-redirect,download,feyenoord-rotterdam.svg
KVC Westerlo,kvc-westerlo,https://en.wikipedia.org/wiki/Special:Redirect/file/KVC%20Westerlo%20logo.svg,kvc-westerlo.svg,wikipedia-file-redirect,download,kvc-westerlo.svg
SL Benfica,sl-benfica,https://en.wikipedia.org/wiki/Special:Redirect/file/SL%20Benfica%20logo.svg,sl-benfica.svg,wikipedia-file-redirect,download,sl-benfica.svg
FC Groningen,fc-groningen,https://en.wikipedia.org/wiki/Special:Redirect/file/FC%20Groningen%20logo.svg,fc-groningen.svg,wikipedia-file-redirect,download,fc-groningen.svg
Hellas Verona,hellas-verona,https://en.wikipedia.org/wiki/Special:Redirect/file/Hellas%20Verona%20FC%20logo.svg,hellas-verona.svg,wikipedia-file-redirect,download,hellas-verona.svg
Aston Villa,aston-villa,https://en.wikipedia.org/wiki/Special:Redirect/file/Aston%20Villa%20FC%20logo.svg,aston-villa.svg,wikipedia-file-redirect,download,aston-villa.svg
Everton FC,everton-fc,https://en.wikipedia.org/wiki/Special:Redirect/file/Everton%20FC%20logo.svg,everton-fc.svg,wikipedia-file-redirect,download,everton-fc.svg
PSV Eindhoven,psv-eindhoven,https://en.wikipedia.org/wiki/Special:Redirect/file/PSV%20Eindhoven%20logo.svg,psv-eindhoven.svg,wikipedia-file-redirect,download,psv-eindhoven.svg
Ajax,ajax,https://en.wikipedia.org/wiki/Special:Redirect/file/AFC%20Ajax%20logo.svg,ajax.svg,wikipedia-file-redirect,download,ajax.svg
Manchester United,manchester-united,https://en.wikipedia.org/wiki/Special:Redirect/file/Manchester%20United%20FC%20crest.svg,manchester-united.svg,wikipedia-file-redirect,download,manchester-united.svg
Sparta Rotterdam,sparta-rotterdam,https://en.wikipedia.org/wiki/Special:Redirect/file/Sparta%20Rotterdam%20logo.svg,sparta-rotterdam.svg,wikipedia-file-redirect,download,sparta-rotterdam.svg
Villarreal CF,villarreal-cf,https://en.wikipedia.org/wiki/Special:Redirect/file/Villarreal%20CF%20logo.svg,villarreal-cf.svg,wikipedia-file-redirect,download,villarreal-cf.svg
Rio Ave FC,rio-ave-fc,https://en.wikipedia.org/wiki/Special:Redirect/file/Rio%20Ave%20FC%20logo.svg,rio-ave-fc.svg,wikipedia-file-redirect,download,rio-ave-fc.svg
