club_display,mapped_crest_file,action
Eintracht Frankfurt,eintracht-frankfurt.svg,download
Paris Saint-Germain,paris-saint-germain.svg,download
Manchester City,manchester-city.svg,download
Chelsea FC,chelsea-fc.svg,download
Chelsea,chelsea-fc.svg,alias
Chelsea Football Club,chelsea-fc.svg,alias
Club Brugge KV,club-brugge.svg,download
Club Brugge,club-brugge.svg,alias
Club Brugge Koninklijke Voetbalvereniging,club-brugge.svg,alias
NEC Nijmegen,nec-nijmegen.svg,download
Nijmegen Eendracht Combinatie,nec-nijmegen.svg,alias
Real Sociedad,real-sociedad.svg,download
Real Sociedad de Fútbol S.A.D.,real-sociedad.svg,alias
Brighton & Hove Albion,brighton-hove-albion.svg,download
Brighton,brighton-hove-albion.svg,alias
Brighton and Hove Albion Football Club,brighton-hove-albion.svg,alias
Nottingham Forest,nottingham-forest.svg,download
Nottingham Forest Football Club,nottingham-forest.svg,alias
Sunderland AFC,sunderland-afc.svg,download
Sunderland,sunderland-afc.svg,alias
Sunderland Association Football Club,sunderland-afc.svg,alias
Standard Liège,standard-liege.svg,download
Royal Standard Club de Liège,standard-liege.svg,alias
AS Monaco,as-monaco.svg,download
Monaco,as-monaco.svg,alias
Association sportive de Monaco Football Club,as-monaco.svg,alias
RB Salzburg,rb-salzburg.svg,download
Red Bull Salzburg,rb-salzburg.svg,alias
Fußballclub Red Bull Salzburg,rb-salzburg.svg,alias
Strasbourg,rc-strasbourg-alsace.jpg,alias_existing
Racing Club de Strasbourg Alsace,rc-strasbourg-alsace.jpg,alias_existing
Feyenoord Rotterdam,feyenoord-rotterdam.svg,download
Feyenoord,feyenoord-rotterdam.svg,alias
KVC Westerlo,kvc-westerlo.svg,download
Westerlo,kvc-westerlo.svg,alias
Koninklijke Voetbal Club Westerlo,kvc-westerlo.svg,alias
SL Benfica,sl-benfica.svg,download
Benfica,sl-benfica.svg,alias
Sport Lisboa e Benfica,sl-benfica.svg,alias
FC Groningen,fc-groningen.svg,download
Groningen,fc-groningen.svg,alias
Football Club Groningen,fc-groningen.svg,alias
Hellas Verona,hellas-verona.svg,download
Verona Hellas Football Club,hellas-verona.svg,alias
Aston Villa,aston-villa.svg,download
Aston Villa Football Club,aston-villa.svg,alias
Everton FC,everton-fc.svg,download
Everton,everton-fc.svg,alias
Everton Football Club,everton-fc.svg,alias
PSV Eindhoven,psv-eindhoven.svg,download
PSV,psv-eindhoven.svg,alias
Eindhovense Voetbalvereniging Philips Sport Vereniging,psv-eindhoven.svg,alias
Ajax,ajax.svg,download
Ajax Amsterdam,ajax.svg,alias
AFC Ajax Amsterdam,ajax.svg,alias
Manchester United,manchester-united.svg,download
Manchester Utd,manchester-united.svg,alias
Manchester United Football Club,manchester-united.svg,alias
Sparta Rotterdam,sparta-rotterdam.svg,download
Villarreal CF,villarreal-cf.svg,download
Villarreal,villarreal-cf.svg,alias
Villarreal Club de Fútbol S.A.D.,villarreal-cf.svg,alias
Rio Ave FC,rio-ave-fc.svg,download
Rio Ave,rio-ave-fc.svg,alias
Rio Ave Futebol Clube,rio-ave-fc.svg,alias
SC Heerenveen,sc-heerenveen.svg,download
Heerenveen,sc-heerenveen.svg,alias
Sportclub Heerenveen,sc-heerenveen.svg,alias
Newcastle United,newcastle-united.svg,download
Newcastle United Football Club,newcastle-united.svg,alias
KAA Gent,kaa-gent.svg,download
Gent,kaa-gent.svg,alias
Koninklijke Atletiek Associatie Gent,kaa-gent.svg,alias
Parma,parma-calcio-1913.svg,alias_existing
Red Bull Salzburg,rb-salzburg.svg,alias
Southampton FC,southampton-fc.svg,download
Southampton,southampton-fc.svg,alias
Barcelona,fc-barcelona.jpg,alias_existing
FC Famalicão,fc-famalicao.svg,download
Famalicão,fc-famalicao.svg,alias
Utrecht,fc-utrecht.svg,alias_existing
Rapid Wien,rapid-vienna.svg,alias_existing
Anderlecht,rsc-anderlecht.svg,download
RSC Anderlecht,rsc-anderlecht.svg,alias
Royal Sporting Club Anderlecht,rsc-anderlecht.svg,alias
