strategy_dimension,strategy_segment,players,avg_market_value_eur,avg_predicted_value_eur,total_expected_profit_eur,avg_expected_profit_eur,median_expected_profit_eur,avg_expected_roi_pct,median_expected_roi_pct,positive_roi_rate,total_risk_adjusted_profit_eur,avg_risk_adjusted_roi_pct,avg_opportunity_score,avg_confidence_score,avg_growth_score
league,Serie A,169,8129881.656804734,7717937.807554612,-34809255.261635266,-205971.92462506075,266208.82841767836,23.287064998344473,4.356585933850432,0.5502958579881657,-23957613.961627323,18.63141847077644,54.778403788541986,79.31453252017147,23.26568904900912
league,Eredivisie,199,3850753.7688442213,2568865.181649483,-127547914.42587645,-640944.2935973691,-24926.939029060304,13.545534114982411,-1.917456848389254,0.4824120603015075,-111637291.95977403,11.155076090066519,51.82782690412027,81.41187914186014,20.128568995686226
league,Liga Portugal,115,5203043.478260869,2701230.0929638734,-143854269.65457726,-1250906.6926484979,-32303.051392959664,16.662825082220575,-1.6236795324670852,0.4782608695652174,-124042281.99749151,13.545983439468849,49.47512521253798,78.60678208336138,19.432373920702194
league,Ligue 1,198,9769191.91919192,7096346.177985002,-264611728.37948483,-1336422.8706034587,109802.87166518625,21.75527124952377,1.6041361220207995,0.51010101010101,-230178806.74301732,16.753066560553737,51.471129459203745,79.87691624686575,19.94463650445246
league,Premier League,166,25365060.240963854,21433839.142481733,-326291351.1740163,-1965610.549241062,-1503324.438593194,8.817474777411261,-7.849604964497162,0.39759036144578314,-261086075.47852772,7.196197713476655,50.37909803464687,82.02051073178214,17.86230949739897
league,LaLiga,148,15222972.972972972,10582278.425895618,-343411396.4837243,-2320347.2735386775,645902.5365891381,48.1593570070091,18.292056621570534,0.5945945945945946,-300837426.3544188,38.08901318702801,58.658333082232694,80.72734172292998,25.827081298800547
league,Bundesliga,143,16437412.587412588,11232994.883602457,-372115865.82242423,-2602208.8519050647,-335400.18737090565,11.60510358791467,-3.386130861523135,0.4405594405594406,-324519750.51915956,9.617876540738832,50.27089927162851,80.76990989911627,19.5863115767603
position_group,GK,33,5996969.696969697,4657278.565726564,-22104903.66551169,-669845.5656215664,-150738.28514797403,6.617389862691249,-2.0634934779812952,0.45454545454545453,-17255983.111278467,5.755867925403123,54.086711392567416,82.02758100485374,26.853834282937765
position_group,ATT,111,15852252.252252253,10516817.15285746,-296116648.0164109,-2667717.5496973954,-284828.44849989144,9.68794611546289,-6.067829271061594,0.43243243243243246,-242413262.8041396,7.20961377137389,47.19441353817795,76.82718575047008,19.06204691899751
position_group,DEF,388,9967654.639175259,7595973.926751879,-460106058.2101354,-1185840.356211689,13241.330811731983,21.455832886593434,0.23842599468268455,0.5025773195876289,-397829549.8832311,17.417900164128426,52.90829833193259,81.3497853553267,21.29091201242708
position_group,MID,606,12643729.372937294,9890217.256403694,-834314171.3096807,-1376756.0582668,38868.43242225278,22.255875056664614,0.4923498306289112,0.5016501650165016,-718760451.2153671,17.66040960662261,53.02549812018171,80.48718360448697,20.539115630835802
opportunity_tier,high_priority,323,5410681.114551083,9932674.04292021,730301857.9316136,2260996.464184562,1054238.8200374413,63.21987088196298,52.34269182374226,0.9009287925696594,639789136.25487,50.41634087020061,68.16054891591217,84.06275240025252,25.557954572868177
opportunity_tier,target_scouting,53,2355660.3773584906,8851475.359068343,172139097.01531112,3247907.490854927,1866600.4948575255,182.0306802114329,165.48630105989244,0.9622641509433962,151492013.7506676,155.1866711616028,86.66426365127599,85.11487720874514,43.97942352285624
opportunity_tier,low_opportunity,37,20972972.972972974,3197157.9959492325,-328852577.0749392,-8887907.48851187,-6399566.424734976,-41.376582829605674,-40.73651923916048,0.0,-240100013.75567502,-28.744944948286932,13.76218478385898,69.2275978900979,12.859484494694179
opportunity_tier,monitoring,499,12742184.368737474,9798803.319862848,-734373571.6942198,-1471690.5244373144,-206961.8689167006,1.6467326664646855,-4.601313454638981,0.4408817635270541,-686070922.3269312,-0.20180086603359443,50.57664129693691,80.55265257379742,18.95387640223395
opportunity_tier,interesting,226,19823893.805309735,6975605.421420315,-1451856587.3795044,-6424144.19194471,-3019575.049795363,-27.667128554549794,-29.666201116406253,0.0,-1241369460.9369476,-21.65728239799304,32.430552543278196,75.89878539842752,14.113839149060382
