player_id_tm,player_name_tm,player_name_norm,current_club,current_club_norm,current_club_id,current_competition_id,current_league,current_season,current_market_value_eur,current_valuation_date,current_age,date_of_birth,country_of_citizenship,position,sub_position,foot,height_in_cm,homonym_group_size,is_homonym_name,identity_resolution_status,identity_primary_key,snapshot_source
929994,Kerim Alajbegovic,kerim alajbegovic,Red Bull Salzburg,red bull salzburg,409,A1,Austrian Bundesliga,2025-2026,8000000,2025-12-22,18.25,2007-09-21 00:00:00,Bosnia-Herzegovina,Attack,Left Winger,both,186.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
462832,Mads Bidstrup,mads bidstrup,Red Bull Salzburg,red bull salzburg,409,A1,Austrian Bundesliga,2023-2024,7500000,2023-09-11,22.54,2001-02-25 00:00:00,Denmark,Midfield,Central Midfield,right,175.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
409517,Yorbe Vertessen,yorbe vertessen,1.FC Union Berlin,1 fc union berlin,409,A1,Austrian Bundesliga,2023-2024,5000000,2024-05-29,23.39,2001-01-08 00:00:00,Belgium,Attack,Centre-Forward,right,174.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
953893,Clement Bischoff,clement bischoff,Red Bull Salzburg,red bull salzburg,409,A1,Austrian Bundesliga,2025-2026,5000000,2025-12-22,20.02,2005-12-16 00:00:00,Denmark,Attack,Left Winger,right,180.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
59032,Aleksandar Dragovic,aleksandar dragovic,Red Star Belgrade,red star belgrade,14,A1,Austrian Bundesliga,2022-2023,4500000,2023-06-22,32.3,1991-03-06 00:00:00,Austria,Defender,Centre-Back,right,186.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
245034,Jon Gorenc Stankovic,jon gorenc stankovic,SK Sturm Graz,sk sturm graz,122,A1,Austrian Bundesliga,2022-2023,4000000,2023-06-12,27.41,1996-01-14 00:00:00,Slovenia,Midfield,Defensive Midfield,right,190.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
404260,Aleksa Terzic,aleksa terzic,Red Bull Salzburg,red bull salzburg,409,A1,Austrian Bundesliga,2023-2024,4000000,2023-09-11,24.07,1999-08-17 00:00:00,Serbia,Defender,Left-Back,left,184.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
420890,Dimitri Lavalée,dimitri lavalee,SK Sturm Graz,sk sturm graz,122,A1,Austrian Bundesliga,2023-2024,4000000,2024-05-21,27.35,1997-01-13 00:00:00,Belgium,Defender,Centre-Back,left,187.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
394152,Emanuel Aiwu,emanuel aiwu,US Cremonese,us cremonese,122,A1,Austrian Bundesliga,2022-2023,3000000,2023-06-15,22.47,2000-12-25 00:00:00,Austria,Defender,Centre-Back,right,185.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
604320,Frans Krätzig,frans kratzig,Red Bull Salzburg,red bull salzburg,409,A1,Austrian Bundesliga,2025-2026,2800000,2025-12-22,22.94,2003-01-14 00:00:00,Germany,Defender,Left-Back,left,177.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
548031,Yusuf Demir,yusuf demir,FC Basel 1893,fc basel 1893,170,A1,Austrian Bundesliga,2023-2024,2700000,2024-05-31,21.0,2003-06-02 00:00:00,Austria,Attack,Right Winger,left,170.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
804831,Hendry Blank,hendry blank,Red Bull Salzburg,red bull salzburg,409,A1,Austrian Bundesliga,2023-2024,2500000,2024-05-21,19.75,2004-08-21 00:00:00,Germany,Defender,Centre-Back,left,189.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
822958,Tim Drexler,tim drexler,1.FC Nuremberg,1 fc nuremberg,409,A1,Austrian Bundesliga,2025-2026,2500000,2025-12-16,20.78,2005-03-06 00:00:00,Germany,Defender,Centre-Back,right,186.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
912078,Petter Nosa Dahl,petter nosa dahl,Rapid Vienna,rapid vienna,170,A1,Austrian Bundesliga,2025-2026,2500000,2025-12-22,22.17,2003-10-22 00:00:00,Norway,Attack,Left Winger,right,180.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
538974,Janis Antiste,janis antiste,AC Reggiana 1919,ac reggiana 1919,170,A1,Austrian Bundesliga,2023-2024,2300000,2023-10-11,21.15,2002-08-18 00:00:00,Martinique,Attack,Centre-Forward,right,183.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
49693,Andreas Weimann,andreas weimann,Bristol City,bristol city,170,A1,Austrian Bundesliga,2022-2023,2200000,2023-06-01,31.82,1991-08-05 00:00:00,Austria,Attack,Centre-Forward,right,179.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
369567,Sasa Kalajdzic,sasa kalajdzic,LASK,lask,413,A1,Austrian Bundesliga,2025-2026,2000000,2025-12-22,28.46,1997-07-07 00:00:00,Austria,Attack,Centre-Forward,right,200.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
405568,Maurice Malone,maurice malone,FC Basel 1893,fc basel 1893,122,A1,Austrian Bundesliga,2023-2024,2000000,2023-10-19,23.17,2000-08-17 00:00:00,Germany,Attack,Centre-Forward,left,187.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
467236,Kasper Jørgensen,kasper j rgensen,LASK,lask,413,A1,Austrian Bundesliga,2025-2026,2000000,2025-12-22,26.12,1999-11-07 00:00:00,Denmark,Defender,Right-Back,right,188.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
620832,Ryan Fosso,ryan fosso,Fortuna Sittard,fortuna sittard,122,A1,Austrian Bundesliga,2025-2026,2000000,2025-12-02,23.46,2002-06-17 00:00:00,Cameroon,Midfield,Defensive Midfield,right,183.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
948537,Anrie Chase,anrie chase,Red Bull Salzburg,red bull salzburg,409,A1,Austrian Bundesliga,2025-2026,2000000,2025-12-22,21.75,2004-03-24 00:00:00,Japan,Defender,Centre-Back,right,188.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
1111663,Kingstone Mutandwa,kingstone mutandwa,SV Ried,sv ried,266,A1,Austrian Bundesliga,2025-2026,2000000,2025-12-22,22.96,2003-01-05 00:00:00,Zambia,Attack,Centre-Forward,right,180.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
118397,Alessandro Schöpf,alessandro schopf,Vancouver Whitecaps FC,vancouver whitecaps fc,4441,A1,Austrian Bundesliga,2023-2024,1800000,2023-08-22,29.54,1994-02-07 00:00:00,Austria,Midfield,Central Midfield,right,178.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
283233,Jacob Rasmussen,jacob rasmussen,Red Bull Salzburg,red bull salzburg,409,A1,Austrian Bundesliga,2025-2026,1800000,2025-12-22,28.57,1997-05-28 00:00:00,Denmark,Defender,Centre-Back,left,190.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
320701,Ercan Kara,ercan kara,Samsunspor,samsunspor,170,A1,Austrian Bundesliga,2023-2024,1800000,2024-05-31,28.41,1996-01-03 00:00:00,Austria,Attack,Centre-Forward,right,192.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
247652,Shon Weissman,shon weissman,US Salernitana 1919,us salernitana 1919,2157,A1,Austrian Bundesliga,2023-2024,1700000,2024-06-05,28.31,1996-02-14 00:00:00,Israel,Attack,Centre-Forward,right,174.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
