player_id_tm,player_name_tm,player_name_norm,current_club,current_club_norm,current_club_id,current_competition_id,current_league,current_season,current_market_value_eur,current_valuation_date,current_age,date_of_birth,country_of_citizenship,position,sub_position,foot,height_in_cm,homonym_group_size,is_homonym_name,identity_resolution_status,identity_primary_key,snapshot_source
979410,Mohammed Fuseini,mohammed fuseini,Union Saint-Gilloise,union saint gilloise,3948,BE1,Belgian Pro League,2025-2026,3000000,2025-12-10,23.57,2002-05-16 00:00:00,Ghana,Attack,Centre-Forward,right,169.0,2,True,PLAYER_ID_REQUIRED_HOMONYM,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
544106,Óscar Gil,oscar gil,RCD Espanyol Barcelona,rcd espanyol barcelona,2727,BE1,Belgian Pro League,2023-2024,2500000,2023-10-13,25.46,1998-04-26 00:00:00,Spain,Defender,Right-Back,right,175.0,2,True,PLAYER_ID_REQUIRED_HOMONYM,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
432958,Lucas Mineiro,lucas mineiro,KVC Westerlo,kvc westerlo,968,BE1,Belgian Pro League,2022-2023,1200000,2023-06-09,27.29,1996-02-24 00:00:00,,Midfield,Defensive Midfield,left,188.0,2,True,PLAYER_ID_REQUIRED_HOMONYM,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
780136,Aleksandar Stanković,aleksandar stankovic,Inter Milan Primavera,inter milan primavera,2282,BE1,Belgian Pro League,2023-2024,1000000,2024-06-25,18.89,2005-08-03 00:00:00,Serbia,Midfield,Defensive Midfield,right,185.0,2,True,PLAYER_ID_REQUIRED_HOMONYM,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
513295,Alioune Ndour,alioune ndour,SV Zulte Waregem,sv zulte waregem,3508,BE1,Belgian Pro League,2022-2023,900000,2023-06-09,25.63,1997-10-21 00:00:00,Senegal,Attack,Centre-Forward,,183.0,2,True,PLAYER_ID_REQUIRED_HOMONYM,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
73912,Kanu,kanu,Al-Raed SFC,al raed sfc,601,BE1,Belgian Pro League,2018-2019,600000,2019-06-01,31.69,1987-09-23 00:00:00,Brazil,Midfield,Attacking Midfield,left,190.0,3,True,PLAYER_ID_REQUIRED_HOMONYM,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
15338,Fernando,fernando,Al-Shabab FC,al shabab fc,2282,BE1,Belgian Pro League,2013-2014,500000,2013-09-24,32.39,1981-05-03 00:00:00,Brazil,Midfield,Defensive Midfield,right,192.0,4,True,PLAYER_ID_REQUIRED_HOMONYM,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
56935,Robson,robson,Waasland-Beveren,waasland beveren,28643,BE1,Belgian Pro League,2014-2015,500000,2014-10-05,31.24,1983-07-10 00:00:00,Brazil,Defender,Centre-Back,right,187.0,2,True,PLAYER_ID_REQUIRED_HOMONYM,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
145996,Yuki Kobayashi,yuki kobayashi,Hokkaido Consadole Sapporo,hokkaido consadole sapporo,28643,BE1,Belgian Pro League,2022-2023,500000,2023-06-28,31.18,1992-04-24 00:00:00,Japan,Midfield,Central Midfield,left,182.0,2,True,PLAYER_ID_REQUIRED_HOMONYM,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
707063,Malick Mbaye,malick mbaye,FC Metz,fc metz,3508,BE1,Belgian Pro League,2023-2024,500000,2024-06-03,20.16,2004-04-06 00:00:00,Senegal,Attack,Right Winger,right,173.0,2,True,PLAYER_ID_REQUIRED_HOMONYM,player_id_tm,transfermarkt_kaggle_player_scores_latest_valuation
