league,count,matched,unmatched,match_rate
Bundesliga,3547,3290,257,0.9275444037214547
Premier League,3874,3588,286,0.9261744966442953
Serie A,4313,3929,384,0.9109668444238349
Eredivisie,3673,3304,369,0.8995371630819493
Ligue 1,3990,3579,411,0.8969924812030076
LaLiga,4186,3527,659,0.8425704730052556
Belgian Pro League,3597,2866,731,0.796775090353072
Liga Portugal,3964,2977,987,0.7510090817356205
Austrian Bundesliga,2425,1358,1067,0.56
Championship,5244,2641,2603,0.5036231884057971
Spanish Segunda División,4778,2056,2722,0.43030556718292173
