league,season,count,matched,unmatched,match_rate
Austrian Bundesliga,2019-2020,352,151,201,0.4289772727272727
Austrian Bundesliga,2020-2021,341,163,178,0.4780058651026393
Austrian Bundesliga,2021-2022,349,177,172,0.5071633237822349
Austrian Bundesliga,2022-2023,350,192,158,0.5485714285714286
Austrian Bundesliga,2023-2024,331,168,163,0.5075528700906344
Austrian Bundesliga,2024-2025,358,220,138,0.6145251396648045
Austrian Bundesliga,2025-2026,344,287,57,0.8343023255813954
Belgian Pro League,2019-2020,463,431,32,0.9308855291576674
Belgian Pro League,2020-2021,545,493,52,0.9045871559633027
Belgian Pro League,2021-2022,538,480,58,0.8921933085501859
Belgian Pro League,2022-2023,538,136,402,0.2527881040892193
Belgian Pro League,2023-2024,502,461,41,0.9183266932270916
Belgian Pro League,2024-2025,515,429,86,0.8330097087378641
Belgian Pro League,2025-2026,496,436,60,0.8790322580645161
Bundesliga,2019-2020,498,467,31,0.9377510040160643
Bundesliga,2020-2021,505,471,34,0.9326732673267327
Bundesliga,2021-2022,523,486,37,0.9292543021032504
Bundesliga,2022-2023,515,486,29,0.9436893203883495
Bundesliga,2023-2024,507,478,29,0.9428007889546351
Bundesliga,2024-2025,492,446,46,0.9065040650406504
Bundesliga,2025-2026,507,456,51,0.8994082840236687
Championship,2019-2020,721,486,235,0.6740638002773925
Championship,2020-2021,736,497,239,0.6752717391304348
Championship,2021-2022,746,477,269,0.6394101876675603
Championship,2022-2023,750,480,270,0.64
Championship,2023-2024,735,318,417,0.4326530612244898
Championship,2024-2025,765,194,571,0.25359477124183005
Championship,2025-2026,791,189,602,0.23893805309734514
Eredivisie,2019-2020,484,455,29,0.9400826446280992
Eredivisie,2020-2021,522,479,43,0.9176245210727969
Eredivisie,2021-2022,533,484,49,0.9080675422138836
Eredivisie,2022-2023,526,480,46,0.9125475285171103
Eredivisie,2023-2024,524,483,41,0.9217557251908397
Eredivisie,2024-2025,534,451,83,0.8445692883895131
Eredivisie,2025-2026,550,472,78,0.8581818181818182
LaLiga,2019-2020,570,488,82,0.856140350877193
LaLiga,2020-2021,582,500,82,0.8591065292096219
LaLiga,2021-2022,617,524,93,0.8492706645056726
LaLiga,2022-2023,596,524,72,0.8791946308724832
LaLiga,2023-2024,609,529,80,0.8686371100164204
LaLiga,2024-2025,601,464,137,0.7720465890183028
LaLiga,2025-2026,611,498,113,0.8150572831423896
Liga Portugal,2019-2020,562,398,164,0.708185053380783
Liga Portugal,2020-2021,543,414,129,0.7624309392265194
Liga Portugal,2021-2022,581,445,136,0.76592082616179
Liga Portugal,2022-2023,580,442,138,0.7620689655172413
Liga Portugal,2023-2024,536,414,122,0.7723880597014925
Liga Portugal,2024-2025,584,432,152,0.7397260273972602
Liga Portugal,2025-2026,578,432,146,0.7474048442906575
Ligue 1,2019-2020,542,504,38,0.9298892988929889
Ligue 1,2020-2021,584,537,47,0.9195205479452054
Ligue 1,2021-2022,604,569,35,0.9420529801324503
Ligue 1,2022-2023,606,566,40,0.933993399339934
Ligue 1,2023-2024,540,495,45,0.9166666666666666
Ligue 1,2024-2025,553,440,113,0.7956600361663653
Ligue 1,2025-2026,561,468,93,0.8342245989304813
Premier League,2019-2020,522,487,35,0.9329501915708812
Premier League,2020-2021,532,507,25,0.9530075187969925
Premier League,2021-2022,546,506,40,0.9267399267399268
Premier League,2022-2023,569,529,40,0.929701230228471
Premier League,2023-2024,580,541,39,0.9327586206896552
Premier League,2024-2025,574,513,61,0.8937282229965157
Premier League,2025-2026,551,505,46,0.9165154264972777
Serie A,2019-2020,600,553,47,0.9216666666666666
Serie A,2020-2021,619,583,36,0.9418416801292407
Serie A,2021-2022,632,581,51,0.9193037974683544
Serie A,2022-2023,603,564,39,0.9353233830845771
Serie A,2023-2024,616,579,37,0.939935064935065
Serie A,2024-2025,634,542,92,0.8548895899053628
Serie A,2025-2026,609,527,82,0.8653530377668309
Spanish Segunda División,2019-2020,687,373,314,0.5429403202328966
Spanish Segunda División,2020-2021,667,374,293,0.56071964017991
Spanish Segunda División,2021-2022,686,391,295,0.5699708454810496
Spanish Segunda División,2022-2023,688,393,295,0.5712209302325582
Spanish Segunda División,2023-2024,672,263,409,0.3913690476190476
Spanish Segunda División,2024-2025,680,141,539,0.2073529411764706
Spanish Segunda División,2025-2026,698,121,577,0.17335243553008595
