dataset,player_name_fbref,player_name_tm,player_id_tm,club,league,position,position_group,age,season,season_start_year,market_value_eur,log_market_value_eur,opportunity_score,player_name,name,club_actual,risk_score,risk_level,contract_opportunity_score,recruitment_contract_score
artifacts/predictions/tuned_xgboost_full_predictions.csv,Nicolò Savona,Nicolò Savona,708072.0,Juventus,Serie A,DF,DEF,21.58521560574949,2024-2025,2024.0,7000000.0,15.761420707019589,,,,,,,,
artifacts/predictions/tuned_xgboost_full_predictions.csv,Nicolò Savona,Nicolò Savona,708072.0,Nottingham Forest,Premier League,DF,DEF,22.72689938398357,2025-2026,2025.0,15000000.0,16.523560759066484,,,,,,,,
artifacts/predictions/tuned_xgboost_full_predictions.csv,Raúl Asencio,Raúl Asencio,935245.0,Real Madrid,LaLiga,DF,DEF,21.869952087611225,2024-2025,2024.0,7500000.0,15.83041357850654,,,,,,,,
artifacts/predictions/tuned_xgboost_full_predictions.csv,Raúl Asencio,Raúl Asencio,935245.0,Real Madrid,LaLiga,DF,DEF,22.633812457221083,2025-2026,2025.0,30000000.0,17.216707939626428,,,,,,,,
artifacts/predictions/tuned_xgboost_full_predictions.csv,Javi Rodríguez,Javi Rodríguez,1076815.0,Celta Vigo,LaLiga,DF,DEF,21.29226557152635,2024-2025,2024.0,3000000.0,14.914122846632385,,,,,,,,
artifacts/predictions/tuned_xgboost_full_predictions.csv,Javi Rodríguez,Javi Rodríguez,1076815.0,Celta Vigo,LaLiga,DF,DEF,22.46132785763176,2025-2026,2025.0,15000000.0,16.523560759066484,,,,,,,,
artifacts/predictions/tuned_xgboost_predictions.csv,Nicolò Savona,Nicolò Savona,708072.0,Nottingham Forest,Premier League,DF,DEF,22.72689938398357,2025-2026,2025.0,15000000.0,16.523560759066484,,,,,,,,
artifacts/predictions/tuned_xgboost_predictions.csv,Raúl Asencio,Raúl Asencio,935245.0,Real Madrid,LaLiga,DF,DEF,22.633812457221083,2025-2026,2025.0,30000000.0,17.216707939626428,,,,,,,,
artifacts/predictions/tuned_xgboost_predictions.csv,Javi Rodríguez,Javi Rodríguez,1076815.0,Celta Vigo,LaLiga,DF,DEF,22.46132785763176,2025-2026,2025.0,15000000.0,16.523560759066484,,,,,,,,
artifacts/predictions/tuned_xgboost_test_predictions.csv,Nicolò Savona,Nicolò Savona,708072.0,Juventus,Serie A,DF,DEF,21.58521560574949,2024-2025,2024.0,7000000.0,15.761420707019589,,,,,,,,
artifacts/predictions/tuned_xgboost_test_predictions.csv,Nicolò Savona,Nicolò Savona,708072.0,Nottingham Forest,Premier League,DF,DEF,22.72689938398357,2025-2026,2025.0,15000000.0,16.523560759066484,,,,,,,,
artifacts/predictions/tuned_xgboost_test_predictions.csv,Raúl Asencio,Raúl Asencio,935245.0,Real Madrid,LaLiga,DF,DEF,21.869952087611225,2024-2025,2024.0,7500000.0,15.83041357850654,,,,,,,,
artifacts/predictions/tuned_xgboost_test_predictions.csv,Raúl Asencio,Raúl Asencio,935245.0,Real Madrid,LaLiga,DF,DEF,22.633812457221083,2025-2026,2025.0,30000000.0,17.216707939626428,,,,,,,,
artifacts/predictions/tuned_xgboost_test_predictions.csv,Javi Rodríguez,Javi Rodríguez,1076815.0,Celta Vigo,LaLiga,DF,DEF,21.29226557152635,2024-2025,2024.0,3000000.0,14.914122846632385,,,,,,,,
artifacts/predictions/tuned_xgboost_test_predictions.csv,Javi Rodríguez,Javi Rodríguez,1076815.0,Celta Vigo,LaLiga,DF,DEF,22.46132785763176,2025-2026,2025.0,15000000.0,16.523560759066484,,,,,,,,
data/outputs/02_baseline_test_predictions.parquet,Raúl Asencio,Raúl Asencio,935245.0,Real Madrid,LaLiga,DF,DEF,21.869952087611225,2024-2025,2024.0,7500000.0,15.830413578506539,0.04748832768709094,,,,,,,
data/outputs/02_baseline_test_predictions.parquet,Javi Rodríguez,Javi Rodríguez,1076815.0,Celta Vigo,LaLiga,DF,DEF,21.29226557152635,2024-2025,2024.0,3000000.0,14.914122846632385,1.1808683043516577,,,,,,,
data/outputs/02_baseline_test_predictions.parquet,Nicolò Savona,Nicolò Savona,708072.0,Juventus,Serie A,DF,DEF,21.585215605749486,2024-2025,2024.0,7000000.0,15.761420707019587,0.05172979790210967,,,,,,,
data/outputs/03_econometric_scored_player_seasons.parquet,Raúl Asencio,Raúl Asencio,935245.0,Real Madrid,LaLiga,DF,DEF,21.869952087611225,2024-2025,2024.0,7500000.0,15.830413578506539,-0.041334856393319956,Raúl Asencio,,,,,,
data/outputs/03_econometric_scored_player_seasons.parquet,Javi Rodríguez,Javi Rodríguez,1076815.0,Celta Vigo,LaLiga,DF,DEF,21.29226557152635,2024-2025,2024.0,3000000.0,14.914122846632385,1.0577701832218642,Javi Rodríguez,,,,,,
data/outputs/03_econometric_scored_player_seasons.parquet,Nicolò Savona,Nicolò Savona,708072.0,Juventus,Serie A,DF,DEF,21.585215605749486,2024-2025,2024.0,7000000.0,15.761420707019587,-0.041182004856732735,Nicolò Savona,,,,,,
data/outputs/03_econometric_test_predictions.parquet,Raúl Asencio,Raúl Asencio,935245.0,Real Madrid,LaLiga,DF,DEF,21.869952087611225,2024-2025,2024.0,7500000.0,15.830413578506539,,Raúl Asencio,,,,,,
data/outputs/03_econometric_test_predictions.parquet,Javi Rodríguez,Javi Rodríguez,1076815.0,Celta Vigo,LaLiga,DF,DEF,21.29226557152635,2024-2025,2024.0,3000000.0,14.914122846632385,,Javi Rodríguez,,,,,,
data/outputs/03_econometric_test_predictions.parquet,Nicolò Savona,Nicolò Savona,708072.0,Juventus,Serie A,DF,DEF,21.585215605749486,2024-2025,2024.0,7000000.0,15.761420707019587,,Nicolò Savona,,,,,,
