dataset,has_contract_any,has_market_value_any,has_profile_any,has_contract_expiration,has_contract_end_date,has_months_remaining,has_days_remaining,has_free_agent,has_expiring_12m,has_market_value_eur,has_market_value_log,has_log_market_value_eur,has_latest_market_value,has_value_update_date,has_market_value_update_date,has_player_id_tm,has_player_name,has_player_name_fbref,has_player_name_tm,has_name,has_player,has_club,has_club_actual,has_league,has_position,has_position_group,has_age,has_season,has_season_start_year,contract_cols_found,value_cols_found,profile_cols_found
artifacts/feature_importance/gradient_boosting_feature_importance.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
artifacts/feature_importance/random_forest_feature_importance.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
artifacts/feature_importance/tuned_lightgbm_feature_importance.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
artifacts/feature_importance/tuned_random_forest_feature_importance.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
artifacts/feature_importance/tuned_xgboost_feature_importance.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
artifacts/predictions/tuned_xgboost_full_predictions.csv,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,True,True,True,True,True,True,,"market_value_eur, log_market_value_eur","player_id_tm, player_name_fbref, player_name_tm, club, league, position, position_group, age, season, season_start_year"
artifacts/predictions/tuned_xgboost_predictions.csv,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,True,True,True,True,True,True,,"market_value_eur, log_market_value_eur","player_id_tm, player_name_fbref, player_name_tm, club, league, position, position_group, age, season, season_start_year"
artifacts/predictions/tuned_xgboost_test_predictions.csv,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,True,True,True,True,True,True,,"market_value_eur, log_market_value_eur","player_id_tm, player_name_fbref, player_name_tm, club, league, position, position_group, age, season, season_start_year"
data/interim/fbref/fbref_player_standard.parquet,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,True,False,,,"player_name, league, position, age, season"
data/interim/transfermarkt/transfermarkt_player_market_values.parquet,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,True,True,False,,market_value_eur,"player_name, club, league, position, age, season"
data/outputs/02_baseline_coefficient_table.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
data/outputs/02_baseline_model_metrics.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
data/outputs/02_baseline_overvalued_ranking.csv,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,True,False,,market_value_eur,"player_name_fbref, club, league, position_group, age, season"
data/outputs/02_baseline_test_predictions.parquet,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,True,True,True,True,True,True,,"market_value_eur, log_market_value_eur","player_id_tm, player_name_fbref, player_name_tm, club, league, position, position_group, age, season, season_start_year"
data/outputs/02_baseline_undervalued_ranking.csv,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,True,False,,market_value_eur,"player_name_fbref, club, league, position_group, age, season"
data/outputs/02_baseline_vif_table.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
data/outputs/03_econometric_model_coefficients.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
data/outputs/03_econometric_model_metrics.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
data/outputs/03_econometric_scored_player_seasons.parquet,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,True,True,False,False,True,False,True,True,True,True,True,True,,"market_value_eur, log_market_value_eur","player_id_tm, player_name, player_name_fbref, player_name_tm, club, league, position, position_group, age, season, season_start_year"
data/outputs/03_econometric_test_predictions.parquet,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,True,True,False,False,True,False,True,True,True,True,True,True,,"market_value_eur, log_market_value_eur","player_id_tm, player_name, player_name_fbref, player_name_tm, club, league, position, position_group, age, season, season_start_year"
data/outputs/03_inefficiency_by_league_test.csv,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,league
data/outputs/03_overvalued_ranking.csv,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,True,True,True,False,,"market_value_eur, log_market_value_eur","player_id_tm, player_name, club, league, position_group, age, season"
data/outputs/03_strict_matching_metrics.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
data/outputs/03_undervalued_ranking.csv,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,True,True,True,False,,"market_value_eur, log_market_value_eur","player_id_tm, player_name, club, league, position_group, age, season"
data/outputs/03_vif_table.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
data/outputs/04_ml_inefficiency_by_league.csv,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,league
data/outputs/04_ml_inefficiency_by_position.csv,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,position_group
data/outputs/04_ml_model_metrics.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
data/outputs/04_ml_overvalued_ranking.csv,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,True,False,,"market_value_eur, log_market_value_eur","player_id_tm, player_name_fbref, club, league, position_group, age, season"
data/outputs/04_ml_permutation_importance.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
data/outputs/04_ml_test_predictions.csv,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,True,False,,"market_value_eur, log_market_value_eur","player_id_tm, player_name_fbref, club, league, position_group, age, season"
data/outputs/04_ml_test_predictions.parquet,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,True,False,,"market_value_eur, log_market_value_eur","player_id_tm, player_name_fbref, club, league, position_group, age, season"
data/outputs/04_ml_undervalued_ranking.csv,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,True,False,,"market_value_eur, log_market_value_eur","player_id_tm, player_name_fbref, club, league, position_group, age, season"
data/outputs/04_model_comparison_test.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
data/outputs/04_ranking_stability_ols_vs_ml.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
data/outputs/econometric_baseline_metrics.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
data/outputs/econometric_baseline_results.parquet,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,True,True,True,True,True,True,,"market_value_eur, log_market_value_eur","player_name_fbref, player_name_tm, club, league, position, position_group, age, season, season_start_year"
data/outputs/models/econometric_baseline_coefficients.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
data/outputs/models/econometric_baseline_metrics.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
data/outputs/models/player_season_scoring_baseline.parquet,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,,"market_value_eur, log_market_value_eur","position_group, age, season, season_start_year"
data/outputs/models/scouting_buckets_baseline.csv,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,,"market_value_eur, log_market_value_eur","position_group, age, season, season_start_year"
data/outputs/models/undervalued_players_baseline.csv,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,,market_value_eur,"position_group, age, season, season_start_year"
data/outputs/undervalued_ranking_baseline.csv,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,True,False,,market_value_eur,"player_name_fbref, club, league, position_group, age, season"
data/processed/fbref_features.parquet,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,True,True,True,True,,,"player_name, club, league, position, position_group, age, season, season_start_year"
data/processed/fbref_features_v13a.parquet,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,True,True,True,True,,,"player_name, club, league, position, position_group, age, season, season_start_year"
data/processed/fbref_standard_raw.parquet,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,,,"league, season, season_start_year"
