dataset,suffix,size_mb,modified_at_utc,modified_at_local_naive,sha256_16,read_error,n_columns_sample,columns_sample
artifacts/feature_importance/gradient_boosting_feature_importance.csv,.csv,0.001,2026-05-06T21:47:52.449308+00:00,2026-05-06T23:47:52,84104f0e28530758,,3,"feature, importance, model"
artifacts/feature_importance/random_forest_feature_importance.csv,.csv,0.001,2026-05-06T21:47:51.609310+00:00,2026-05-06T23:47:51,1418050bc156863c,,3,"feature, importance, model"
artifacts/feature_importance/tuned_lightgbm_feature_importance.csv,.csv,0.001,2026-06-08T00:18:52.437128+00:00,2026-06-08T02:18:52,bc6ebc98b6d16f05,,2,"feature, importance"
artifacts/feature_importance/tuned_random_forest_feature_importance.csv,.csv,0.001,2026-06-08T00:18:34.660061+00:00,2026-06-08T02:18:34,e9e623250ffabddb,,2,"feature, importance"
artifacts/feature_importance/tuned_xgboost_feature_importance.csv,.csv,0.001,2026-06-08T00:18:37.730502+00:00,2026-06-08T02:18:37,b2f4779832f9568e,,2,"feature, importance"
artifacts/predictions/tuned_xgboost_full_predictions.csv,.csv,3.338,2026-06-08T00:18:56.127392+00:00,2026-06-08T02:18:56,c6906f9b9eab2c2c,,79,"player_name_fbref, club, league, season, season_start_year_fbref, position, position_group, age_fbref, matches_played, starts, minutes_played, nineties, goals, assists, g_a, goals_minus_pk, penalties_scored, penalties_attempted, yellow_cards, red_cards, goals_per90, assists_per90, g_a_per90, goals_minus_pk_per90, g_a_minus_pk_per90, player_name_norm, player_id_tm, player_name_tm, season_start_year_tm, valuation_date, market_value_eur, log_market_value_eur, market_value_prev_eur, market_value_next_eur, market_value_growth_1y, delta_log_market_value_1y, age_tm, date_of_birth, nationality, position_tm, sub_position_tm, foot, height_in_cm, current_club_name_tm, current_club_id_tm, competition_id_tm, source, matching_method, matching_confidence, age_diff, club_score, matching_status, season_start_year, age, goals_per90_pos_z, assists_per90_pos_z, shots_per90_pos_z, goals_position_percentile, assists_position_percentile, market_value_growth_prev, delta_log_market_value_prev, age_squared, career_year, breakout_indicator, z_goals_per90_global, z_assists_per90_global, z_age_global, z_career_year_global, z_market_value_growth_prev_global, z_delta_log_market_value_prev_global, finishing_index, playmaking_index, growth_index, experience_index, log_minutes_played, model_name, predicted_log_market_value, observed_log_market_value, prediction_error_log"
artifacts/predictions/tuned_xgboost_predictions.csv,.csv,0.525,2026-06-08T00:18:56.159293+00:00,2026-06-08T02:18:56,1ab15b5ed6555254,,79,"player_name_fbref, club, league, season, season_start_year_fbref, position, position_group, age_fbref, matches_played, starts, minutes_played, nineties, goals, assists, g_a, goals_minus_pk, penalties_scored, penalties_attempted, yellow_cards, red_cards, goals_per90, assists_per90, g_a_per90, goals_minus_pk_per90, g_a_minus_pk_per90, player_name_norm, player_id_tm, player_name_tm, season_start_year_tm, valuation_date, market_value_eur, log_market_value_eur, market_value_prev_eur, market_value_next_eur, market_value_growth_1y, delta_log_market_value_1y, age_tm, date_of_birth, nationality, position_tm, sub_position_tm, foot, height_in_cm, current_club_name_tm, current_club_id_tm, competition_id_tm, source, matching_method, matching_confidence, age_diff, club_score, matching_status, season_start_year, age, goals_per90_pos_z, assists_per90_pos_z, shots_per90_pos_z, goals_position_percentile, assists_position_percentile, market_value_growth_prev, delta_log_market_value_prev, age_squared, career_year, breakout_indicator, z_goals_per90_global, z_assists_per90_global, z_age_global, z_career_year_global, z_market_value_growth_prev_global, z_delta_log_market_value_prev_global, finishing_index, playmaking_index, growth_index, experience_index, log_minutes_played, model_name, predicted_log_market_value, observed_log_market_value, prediction_error_log"
artifacts/predictions/tuned_xgboost_test_predictions.csv,.csv,1.495,2026-06-08T00:18:55.901390+00:00,2026-06-08T02:18:55,38bda8d5b2263231,,79,"player_name_fbref, club, league, season, season_start_year_fbref, position, position_group, age_fbref, matches_played, starts, minutes_played, nineties, goals, assists, g_a, goals_minus_pk, penalties_scored, penalties_attempted, yellow_cards, red_cards, goals_per90, assists_per90, g_a_per90, goals_minus_pk_per90, g_a_minus_pk_per90, player_name_norm, player_id_tm, player_name_tm, season_start_year_tm, valuation_date, market_value_eur, log_market_value_eur, market_value_prev_eur, market_value_next_eur, market_value_growth_1y, delta_log_market_value_1y, age_tm, date_of_birth, nationality, position_tm, sub_position_tm, foot, height_in_cm, current_club_name_tm, current_club_id_tm, competition_id_tm, source, matching_method, matching_confidence, age_diff, club_score, matching_status, season_start_year, age, goals_per90_pos_z, assists_per90_pos_z, shots_per90_pos_z, goals_position_percentile, assists_position_percentile, market_value_growth_prev, delta_log_market_value_prev, age_squared, career_year, breakout_indicator, z_goals_per90_global, z_assists_per90_global, z_age_global, z_career_year_global, z_market_value_growth_prev_global, z_delta_log_market_value_prev_global, finishing_index, playmaking_index, growth_index, experience_index, log_minutes_played, model_name, predicted_log_market_value, observed_log_market_value, prediction_error_log"
data/interim/fbref/fbref_player_standard.parquet,.parquet,0.009,2026-04-28T10:55:41.974975+00:00,2026-04-28T12:55:41,8c5a8e4fa2b1579f,,14,"player_name, season, age, squad, league, position, minutes_played, goals_per90, assists_per90, shots_per90, progressive_passes_per90, progressive_carries_per90, tackles_per90, interceptions_per90"
data/interim/transfermarkt/transfermarkt_player_market_values.parquet,.parquet,0.004,2026-04-27T19:04:49.871516+00:00,2026-04-27T21:04:49,46f95152eda7a458,,7,"player_name, season, age, position, club, league, market_value_eur"
data/outputs/02_baseline_coefficient_table.csv,.csv,0.003,2026-06-02T20:01:49.166037+00:00,2026-06-02T22:01:49,78ee9fc31e5b6178,,8,"term, coef, std_err_HC3, t_value, p_value, ci_lower, ci_upper, approx_pct_effect"
data/outputs/02_baseline_model_metrics.csv,.csv,0.001,2026-06-02T20:01:49.111057+00:00,2026-06-02T22:01:49,d5f18f7be2043515,,5,"model, sample, MAE_log, RMSE_log, R2"
data/outputs/02_baseline_overvalued_ranking.csv,.csv,0.007,2026-06-02T20:01:49.855938+00:00,2026-06-02T22:01:49,1fc050f5546f2554,,18,"player_name_fbref, club, league, season, position_group, age, minutes_played, market_value_eur, predicted_market_value_eur, market_value_gap_eur, market_value_gap_pct, inefficiency_score, inefficiency_score_z, matching_method, matching_confidence, age_diff, club_score, opportunity_score"
