dataset,n_rows,market_value_eur_coverage_pct,log_market_value_eur_coverage_pct,market_value_positive_pct,market_value_min,market_value_median,market_value_max,market_value_zero_or_negative
artifacts/predictions/tuned_xgboost_full_predictions.csv,3916,100.0,100.0,100.0,500000.0,5500000.0,200000000.0,0
artifacts/predictions/tuned_xgboost_predictions.csv,619,100.0,100.0,100.0,500000.0,7000000.0,200000000.0,0
artifacts/predictions/tuned_xgboost_test_predictions.csv,1757,100.0,100.0,100.0,500000.0,6000000.0,200000000.0,0
data/interim/transfermarkt/transfermarkt_player_market_values.parquet,3,100.0,,100.0,24000000.0,25000000.0,100000000.0,0
data/outputs/02_baseline_overvalued_ranking.csv,25,100.0,,100.0,8000000.0,40000000.0,180000000.0,0
data/outputs/02_baseline_test_predictions.parquet,552,100.0,100.0,100.0,500000.0,6000000.0,180000000.0,0
data/outputs/02_baseline_undervalued_ranking.csv,25,100.0,,100.0,500000.0,600000.0,1500000.0,0
data/outputs/03_econometric_scored_player_seasons.parquet,3297,100.0,100.0,100.0,500000.0,5000000.0,200000000.0,0
data/outputs/03_econometric_test_predictions.parquet,552,100.0,100.0,100.0,500000.0,6000000.0,180000000.0,0
data/outputs/03_overvalued_ranking.csv,50,100.0,100.0,100.0,3000000.0,35500000.0,180000000.0,0
data/outputs/03_undervalued_ranking.csv,50,100.0,100.0,100.0,500000.0,750000.0,3000000.0,0
data/outputs/04_ml_overvalued_ranking.csv,50,100.0,100.0,100.0,5000000.0,27500000.0,180000000.0,0
data/outputs/04_ml_test_predictions.csv,552,100.0,100.0,100.0,500000.0,6000000.0,180000000.0,0
data/outputs/04_ml_test_predictions.parquet,552,100.0,100.0,100.0,500000.0,6000000.0,180000000.0,0
data/outputs/04_ml_undervalued_ranking.csv,50,100.0,100.0,100.0,500000.0,1000000.0,6000000.0,0
data/outputs/econometric_baseline_results.parquet,1475,100.0,100.0,100.0,500000.0,7000000.0,180000000.0,0
data/outputs/models/player_season_scoring_baseline.parquet,3,100.0,100.0,100.0,24000000.0,25000000.0,100000000.0,0
data/outputs/models/scouting_buckets_baseline.csv,3,100.0,100.0,100.0,24000000.0,25000000.0,100000000.0,0
data/outputs/models/undervalued_players_baseline.csv,3,100.0,,100.0,24000000.0,25000000.0,100000000.0,0
data/outputs/undervalued_ranking_baseline.csv,1475,100.0,,100.0,500000.0,7000000.0,180000000.0,0
data/processed/player_season_features.parquet,3,100.0,100.0,100.0,24000000.0,25000000.0,100000000.0,0
data/processed/player_season_modeling.parquet,3916,100.0,100.0,100.0,500000.0,5500000.0,200000000.0,0
data/processed/player_season_modeling_advanced.parquet,3916,100.0,100.0,100.0,500000.0,5500000.0,200000000.0,0
data/processed/player_season_modeling_advanced_v13a.parquet,5527,100.0,100.0,100.0,500000.0,3800000.0,200000000.0,0
data/processed/player_season_modeling_growth.parquet,3916,100.0,100.0,100.0,500000.0,5500000.0,200000000.0,0
data/processed/player_season_modeling_growth_v13a.parquet,5527,100.0,100.0,100.0,500000.0,3800000.0,200000000.0,0
data/processed/player_season_modeling_indices.parquet,3916,100.0,100.0,100.0,500000.0,5500000.0,200000000.0,0
data/processed/player_season_modeling_indices_v13a.parquet,5527,100.0,100.0,100.0,500000.0,3800000.0,200000000.0,0
data/processed/player_season_modeling_v13a.parquet,5527,100.0,100.0,100.0,500000.0,3800000.0,200000000.0,0
