module_source,line,loader,raw_expr,resolved_dataset
streamlit_app.py,5818,load_csv,path: Path,
streamlit_app.py,5821,pd.read_csv,path,
streamlit_app.py,5825,load_parquet,path: Path,
streamlit_app.py,5828,pd.read_parquet,path,
streamlit_app.py,5981,pd.read_csv,input_file,
streamlit_app.py,6954,load_parquet,candidate_path,
streamlit_app.py,7058,load_parquet,PROCESSED_PATH / filename,
streamlit_app.py,11933,load_csv,"DSS_REPORTS_PATH / ""global_prospect_universe.csv""",reports/dss/global_prospect_universe.csv
streamlit_app.py,11935,load_csv,"EVALUATION_PATH / ""precision_at_k.csv""",reports/evaluation/precision_at_k.csv
streamlit_app.py,11936,load_csv,"BUSINESS_PATH / ""roi_global_summary.csv""",reports/business/roi_global_summary.csv
streamlit_app.py,11937,load_csv,"CONTRACT_REPORTS_PATH / ""contract_intelligence_dataset.csv""",contract_intelligence_dataset.csv
app/streamlit_app.py,3957,load_csv,path: Path,
app/streamlit_app.py,3960,pd.read_csv,path,
app/streamlit_app.py,3964,load_parquet,path: Path,
app/streamlit_app.py,3967,pd.read_parquet,path,
app/streamlit_app.py,4120,pd.read_csv,input_file,
app/streamlit_app.py,4835,load_parquet,candidate_path,
app/streamlit_app.py,4939,load_parquet,PROCESSED_PATH / filename,
app/streamlit_app.py,9642,load_csv,"DSS_REPORTS_PATH / ""global_prospect_universe.csv""",reports/dss/global_prospect_universe.csv
app/streamlit_app.py,9644,load_csv,"EVALUATION_PATH / ""precision_at_k.csv""",reports/evaluation/precision_at_k.csv
app/streamlit_app.py,9645,load_csv,"BUSINESS_PATH / ""roi_global_summary.csv""",reports/business/roi_global_summary.csv
