player_name_fbref,season,club,duplicate_count,dataset,player,team
Arthur,2023-2024,Santa Lucia FC,2,dss_universe,,
Arthur,2025-2026,Bayer 04 Leverkusen,2,dss_universe,,
Brian Mansilla,2025-2026,FC Arouca,2,dss_universe,,
Bruninho,2020-2021,Académico Viseu FC,8,dss_universe,,
Bruninho,2020-2021,Without Club,8,dss_universe,,
Bruninho,2022-2023,Portimonense SC,8,dss_universe,,
David López,2025-2026,Girona FC,2,dss_universe,,
David López,2025-2026,RCD Mallorca,2,dss_universe,,
Diego Gómez,2016-2017,Angers SCO,2,dss_universe,,
Diego Gómez,2025-2026,Brighton & Hove Albion,2,dss_universe,,
Diego López,2022-2023,Rayo Vallecano,3,dss_universe,,
Diego López,2023-2024,Getafe CF B,3,dss_universe,,
Diego López,2025-2026,Valencia CF,3,dss_universe,,
Dudu,2019-2020,São Gonçalo Esporte Clube (RJ),7,dss_universe,,
Dudu,2025-2026,FC Viktoria Köln,7,dss_universe,,
Felipe Augusto,2022-2023,Centro Sportivo Alagoano (AL),2,dss_universe,,
Henrique Araújo,2025-2026,SL Benfica,2,dss_universe,,
Javi López,2025-2026,Real Oviedo,2,dss_universe,,
Jesus Rodríguez,2022-2023,Recreativo Granada,3,dss_universe,,
Jesus Rodríguez,2025-2026,Como 1907,3,dss_universe,,
Jesus Vazquez,2016-2017,Retired,2,dss_universe,,
Jesus Vazquez,2025-2026,Valencia CF,2,dss_universe,,
Jhon Solis,2025-2026,Girona FC,2,dss_universe,,
Joel silva,2016-2017,CD Santa Clara,2,dss_universe,,
Joel silva,2025-2026,CD Nacional,2,dss_universe,,
Luis Henrique,2025-2026,Inter Milan,2,dss_universe,,
Malick Fofana,2025-2026,Olympique Lyon,2,dss_universe,,
Marin Ljubicic,2025-2026,1.FC Union Berlin,2,dss_universe,,
Mohammed Fuseini,2025-2026,Union Saint-Gilloise,2,dss_universe,,
Ousmane Camara,2022-2023,AJ Auxerre,2,dss_universe,,
Ousmane Camara,2025-2026,Angers SCO,2,dss_universe,,
Pedro Santos,2015-2016,GD Gafanha,4,dss_universe,,
Pedro Santos,2023-2024,D.C. United,4,dss_universe,,
Pedro Santos,2025-2026,FC Arouca,4,dss_universe,,
Pedro Santos,2025-2026,FC Famalicão,4,dss_universe,,
Raúl Asencio,2022-2023,AS Cittadella,2,dss_universe,,
Raúl Asencio,2025-2026,Real Madrid,2,dss_universe,,
Roberto Férnandez,2017-2018,CD Lugo,4,dss_universe,,
Roberto Férnandez,2025-2026,RCD Espanyol Barcelona,4,dss_universe,,
Stefan Mitrović,2025-2026,KAA Gent,3,dss_universe,,
Thomas Kristensen,2019-2020,FC Helsingör,2,dss_universe,,
Thomas Kristensen,2025-2026,Udinese Calcio,2,dss_universe,,
Vasco Sousa,2022-2023,FC Paços de Ferreira U19,2,dss_universe,,
Vasco Sousa,2025-2026,Moreirense FC,2,dss_universe,,
Arthur,2023-2024,Santa Lucia FC,2,contract_intelligence,,
Arthur,2025-2026,Bayer 04 Leverkusen,2,contract_intelligence,,
Brian Mansilla,2025-2026,FC Arouca,2,contract_intelligence,,
Bruninho,2020-2021,Académico Viseu FC,8,contract_intelligence,,
Bruninho,2020-2021,Without Club,8,contract_intelligence,,
Bruninho,2022-2023,Portimonense SC,8,contract_intelligence,,
David López,2025-2026,Girona FC,2,contract_intelligence,,
David López,2025-2026,RCD Mallorca,2,contract_intelligence,,
Diego Gómez,2016-2017,Angers SCO,2,contract_intelligence,,
Diego Gómez,2025-2026,Brighton & Hove Albion,2,contract_intelligence,,
Diego López,2022-2023,Rayo Vallecano,3,contract_intelligence,,
Diego López,2023-2024,Getafe CF B,3,contract_intelligence,,
Diego López,2025-2026,Valencia CF,3,contract_intelligence,,
Dudu,2019-2020,São Gonçalo Esporte Clube (RJ),7,contract_intelligence,,
Dudu,2025-2026,FC Viktoria Köln,7,contract_intelligence,,
Felipe Augusto,2022-2023,Centro Sportivo Alagoano (AL),2,contract_intelligence,,
Henrique Araújo,2025-2026,SL Benfica,2,contract_intelligence,,
Javi López,2025-2026,Real Oviedo,2,contract_intelligence,,
Jesus Rodríguez,2022-2023,Recreativo Granada,3,contract_intelligence,,
Jesus Rodríguez,2025-2026,Como 1907,3,contract_intelligence,,
Jesus Vazquez,2016-2017,Retired,2,contract_intelligence,,
Jesus Vazquez,2025-2026,Valencia CF,2,contract_intelligence,,
Jhon Solis,2025-2026,Girona FC,2,contract_intelligence,,
Joel silva,2016-2017,CD Santa Clara,2,contract_intelligence,,
Joel silva,2025-2026,CD Nacional,2,contract_intelligence,,
Luis Henrique,2025-2026,Inter Milan,2,contract_intelligence,,
Malick Fofana,2025-2026,Olympique Lyon,2,contract_intelligence,,
Marin Ljubicic,2025-2026,1.FC Union Berlin,2,contract_intelligence,,
Mohammed Fuseini,2025-2026,Union Saint-Gilloise,2,contract_intelligence,,
Ousmane Camara,2022-2023,AJ Auxerre,2,contract_intelligence,,
Ousmane Camara,2025-2026,Angers SCO,2,contract_intelligence,,
Pedro Santos,2015-2016,GD Gafanha,4,contract_intelligence,,
Pedro Santos,2023-2024,D.C. United,4,contract_intelligence,,
Pedro Santos,2025-2026,FC Arouca,4,contract_intelligence,,
Pedro Santos,2025-2026,FC Famalicão,4,contract_intelligence,,
Raúl Asencio,2022-2023,AS Cittadella,2,contract_intelligence,,
Raúl Asencio,2025-2026,Real Madrid,2,contract_intelligence,,
Roberto Férnandez,2017-2018,CD Lugo,4,contract_intelligence,,
Roberto Férnandez,2025-2026,RCD Espanyol Barcelona,4,contract_intelligence,,
Stefan Mitrović,2025-2026,KAA Gent,3,contract_intelligence,,
Thomas Kristensen,2019-2020,FC Helsingör,2,contract_intelligence,,
Thomas Kristensen,2025-2026,Udinese Calcio,2,contract_intelligence,,
Vasco Sousa,2022-2023,FC Paços de Ferreira U19,2,contract_intelligence,,
Vasco Sousa,2025-2026,Moreirense FC,2,contract_intelligence,,
Abakar Sylla,2025-2026,RC Strasbourg Alsace,8,portfolio,,
Abde Ezzalzouli,2025-2026,Real Betis Balompié,8,portfolio,,
Abdukodir Khusanov,2025-2026,Manchester City,16,portfolio,,
Abu Kamara,2025-2026,Getafe CF,8,portfolio,,
Adam Aznou,2025-2026,Everton FC,8,portfolio,,
Adam Daghim,2025-2026,VfL Wolfsburg,8,portfolio,,
Adam Hložek,2025-2026,TSG 1899 Hoffenheim,8,portfolio,,
Adam Obert,2025-2026,Cagliari Calcio,8,portfolio,,
Adam Wharton,2025-2026,Crystal Palace,8,portfolio,,
Adama Boiro,2025-2026,Athletic Bilbao,8,portfolio,,
Adrian Blake,2025-2026,FC Utrecht,8,portfolio,,
Adrián Liso,2025-2026,Getafe CF,8,portfolio,,
Ahmetcan Kaplan,2025-2026,NEC Nijmegen,8,portfolio,,
Aimé Omgba,2025-2026,KAA Gent,8,portfolio,,
Alan Matturro,2025-2026,Levante UD,8,portfolio,,
Alan Minda,2025-2026,Cercle Brugge ,8,portfolio,,
Alberto Moleiro,2025-2026,Villarreal CF,8,portfolio,,
Alberto costa,2025-2026,FC Porto,16,portfolio,,
Alejandro Balde,2025-2026,FC Barcelona,8,portfolio,,
Alejandro Francés,2025-2026,Girona FC,8,portfolio,,
Alejandro Garnacho,2025-2026,Chelsea FC,8,portfolio,,
Aleksandar Pavlovic,2025-2026,Bayern Munich,8,portfolio,,
Alessandro Circati,2025-2026,Parma Calcio 1913,8,portfolio,,
Alessandro Marcandalli,2025-2026,Genoa CFC,8,portfolio,,
Alex Padilla,2025-2026,Athletic Bilbao,8,portfolio,,
Alex Scott,2025-2026,AFC Bournemouth,8,portfolio,,
Alexander Briedl,2025-2026,FC Blau-Weiss Linz,8,portfolio,,
Alfie Devine,2025-2026,Preston North End,8,portfolio,,
Ali Al Hamadi,2025-2026,Luton Town,8,portfolio,,
Alieu Fadera,2025-2026,US Sassuolo,8,portfolio,,
Alieu Njie,2025-2026,Torino FC,8,portfolio,,
Aljoscha Kemlein,2025-2026,1.FC Union Berlin,8,portfolio,,
Alonzo Engwanda,2025-2026,FC Utrecht,8,portfolio,,
Amad Diallo,2025-2026,Manchester United,8,portfolio,,
Amady Camara,2025-2026,FC Nantes,8,portfolio,,
Amando Lapage,2025-2026,KVC Westerlo,8,portfolio,,
Amar Dedić,2025-2026,SL Benfica,16,portfolio,,
Amario Cozier-Duberry,2025-2026,Bolton Wanderers,8,portfolio,,
Ameen Al-Dakhil,2025-2026,VfB Stuttgart,8,portfolio,,
Amine Lachkar,2025-2026,Willem II Tilburg,8,portfolio,,
Amir Richardson,2025-2026,ACF Fiorentina,8,portfolio,,
Anan Khalaili,2025-2026,Union Saint-Gilloise,8,portfolio,,
