dataset,column,rows,nan,nan_pct,negative,zero,min,p01,median,p99,max
dss_universe,market_value_eur,805,0,0.0,0,0,10000.0,75000.0,7000000.0,90000000.0,150000000.0
dss_universe,predicted_market_value_eur,805,0,0.0,0,0,871083.4802599344,1056552.2234220954,3264185.583485329,38349733.30303016,61275290.13239447
dss_universe,market_value_gap_eur,805,0,0.0,529,0,-139762839.89825177,-69847373.39512,-2447919.4786933926,8870981.272237904,17707076.747697983
dss_universe,market_value_gap_pct,805,0,0.0,529,0,-0.9614122834381188,-0.9408897353677906,-0.397548415022649,87.20503140990428,448.6416883544062
dss_universe,opportunity_score,805,0,0.0,0,0,4.253429967743852,13.749505583020923,47.941252416130105,83.62964074531924,99.04386971261016
dss_universe,growth_score,805,0,0.0,0,1,0.0,1.603266693795266,12.8252287013274,95.99743661601424,100.0
dss_universe,confidence_score,805,0,0.0,0,0,55.64444444444445,58.984444444444456,82.69166666666669,98.49333333333334,100.0
contract_intelligence,market_value_eur,805,0,0.0,0,0,10000.0,75000.0,7000000.0,90000000.0,150000000.0
contract_intelligence,predicted_market_value_eur,805,0,0.0,0,0,871083.4802599344,1056552.2234220954,3264185.583485329,38349733.30303016,61275290.13239447
contract_intelligence,market_value_gap_eur,805,0,0.0,529,0,-139762839.89825177,-69847373.39512,-2447919.4786933926,8870981.272237904,17707076.747697983
contract_intelligence,market_value_gap_pct,805,0,0.0,529,0,-0.9614122834381188,-0.9408897353677906,-0.397548415022649,87.20503140990428,448.6416883544062
contract_intelligence,opportunity_score,805,0,0.0,0,0,4.253429967743852,13.749505583020923,47.941252416130105,83.62964074531924,99.04386971261016
contract_intelligence,growth_score,805,0,0.0,0,1,0.0,1.603266693795266,12.8252287013274,95.99743661601424,100.0
contract_intelligence,confidence_score,805,0,0.0,0,0,55.64444444444445,58.984444444444456,82.69166666666669,98.49333333333334,100.0
portfolio,market_value_eur,6768,0,0.0,0,0,10000.0,75000.0,6500000.0,90000000.0,150000000.0
portfolio,predicted_market_value_eur,6768,0,0.0,0,0,689411.9929498449,1006505.3332610691,3025604.651113134,36756848.100368135,90987864.58764258
portfolio,market_value_gap_eur,6768,0,0.0,4344,0,-143986392.93664524,-69489219.2217424,-2171470.3968501207,12681904.421780594,24475532.20112164
portfolio,market_value_gap_pct,6768,0,0.0,4344,0,-0.9676379746432064,-0.9414438785920598,-0.3839534026090118,122.09098116550662,722.3240826354463
modeling_productive,market_value_eur,5527,0,0.0,0,0,500000.0,500000.0,3800000.0,75000000.0,200000000.0
transfermarkt_features,market_value_eur,616377,0,0.0,0,0,10000.0,25000.0,500000.0,32000000.0,200000000.0
