player_id_tm,player_name_tm_old,season_old,valuation_date_old,market_value_eur_old,current_club_name_tm_old,competition_id_tm_old,player_name_tm_new,season_new,valuation_date_new,market_value_eur_new,current_club_name_tm_new,competition_id_tm_new,market_value_delta_eur,market_value_delta_pct,club_changed,new_league_scope
10,Miroslav Klose,2015-2016,2016-01-04,1000000,Società Sportiva Lazio S.p.A.,IT1,Miroslav Klose,2015-2016,2016-01-04,1000000.0,Società Sportiva Lazio S.p.A.,IT1,0.0,0.0,False,Serie A
26,Roman Weidenfeller,2017-2018,2017-12-28,750000,Borussia Dortmund,L1,Roman Weidenfeller,2017-2018,2017-12-28,750000.0,Borussia Dortmund,L1,0.0,0.0,False,Bundesliga
65,Dimitar Berbatov,2015-2016,2016-06-21,1000000,Panthessalonikios Athlitikos Omilos Konstantinoupoliton,GR1,Dimitar Berbatov,2015-2016,2016-06-21,1000000.0,Panthessalonikios Athlitikos Omilos Konstantinoupoliton,GR1,0.0,0.0,False,
77,Lúcio,2016-2017,2016-11-15,200000,Juventus Football Club,IT1,Lúcio,2016-2017,2016-11-15,200000.0,Juventus Football Club,IT1,0.0,0.0,False,Serie A
80,Tom Starke,2017-2018,2018-06-05,100000,FC Bayern München,L1,Tom Starke,2017-2018,2018-06-05,100000.0,FC Bayern München,L1,0.0,0.0,False,Bundesliga
109,Dedê,2013-2014,2014-01-27,400000,Eskisehirspor,TR1,Dedê,2013-2014,2014-01-27,400000.0,Eskisehirspor,TR1,0.0,0.0,False,
123,Christoph Metzelder,2012-2013,2013-01-13,1500000,FC Schalke 04,L1,Christoph Metzelder,2012-2013,2013-01-13,1500000.0,FC Schalke 04,L1,0.0,0.0,False,Bundesliga
132,Tomas Rosicky,2016-2017,2017-06-10,350000,Arsenal Football Club,GB1,Tomas Rosicky,2016-2017,2017-06-10,350000.0,Arsenal Football Club,GB1,0.0,0.0,False,Premier League
162,Marc Ziegler,2012-2013,2013-01-13,200000,Verein für Bewegungsspiele Stuttgart 1893,L1,Marc Ziegler,2012-2013,2013-01-13,200000.0,Verein für Bewegungsspiele Stuttgart 1893,L1,0.0,0.0,False,Bundesliga
215,Roque Santa Cruz,2022-2023,2023-06-30,250000,Málaga CF,ES1,Roque Santa Cruz,2022-2023,2023-06-30,250000.0,Málaga CF,ES1,0.0,0.0,False,LaLiga
258,Gerald Asamoah,2014-2015,2015-01-01,100000,FC Schalke 04,L1,Gerald Asamoah,2014-2015,2015-01-01,100000.0,FC Schalke 04,L1,0.0,0.0,False,Bundesliga
264,Tamás Hajnal,2017-2018,2018-03-15,100000,Verein für Bewegungsspiele Stuttgart 1893,L1,Tamás Hajnal,2017-2018,2018-03-15,100000.0,Verein für Bewegungsspiele Stuttgart 1893,L1,0.0,0.0,False,Bundesliga
276,Sladan Peric,2012-2013,2013-05-24,200000,FC Vestsjaelland,DK1,Sladan Peric,2012-2013,2013-05-24,200000.0,FC Vestsjaelland,DK1,0.0,0.0,False,
277,Sérgio da Silva Pinto,2015-2016,2016-02-11,150000,Levante Unión Deportiva S.A.D.,ES1,Sérgio da Silva Pinto,2015-2016,2016-02-11,150000.0,Levante Unión Deportiva S.A.D.,ES1,0.0,0.0,False,LaLiga
