column,missing_count,missing_pct,dtype
delta_log_market_value_1y,261,4.7223,float64
market_value_growth_1y,261,4.7223,float64
market_value_next_eur,261,4.7223,float64
market_value_prev_eur,151,2.732,float64
adv_interceptions,87,1.5741,Int64
adv_shots,87,1.5741,Int64
adv_shots_on_target,87,1.5741,Int64
adv_shots_on_target_per90,87,1.5741,Float64
adv_shots_per90,87,1.5741,Float64
adv_tackles_won,87,1.5741,Int64
defensive_activity_index,87,1.5741,Float64
finishing_index_v2,87,1.5741,Float64
interceptions_position_pct,87,1.5741,Float64
shots_on_target_per90_position_pct,87,1.5741,Float64
shots_on_target_position_pct,87,1.5741,Float64
shots_per90_position_pct,87,1.5741,Float64
shots_position_pct,87,1.5741,Float64
tackles_won_position_pct,87,1.5741,Float64
competition_id_tm,27,0.4885,object
current_club_name_tm,27,0.4885,object
foot,21,0.38,object
height_in_cm,10,0.1809,float64
nationality,9,0.1628,object
adv_complete_matches,5,0.0905,Int64
adv_goals,5,0.0905,Int64
adv_minutes,5,0.0905,Int64
adv_starts,5,0.0905,Int64
availability_index,5,0.0905,Float64
complete_matches_position_pct,5,0.0905,Float64
starts_position_pct,5,0.0905,Float64
age,0,0.0,float64
age_diff,0,0.0,float64
age_fbref,0,0.0,float64
age_tm,0,0.0,float64
assists,0,0.0,int64
assists_per90,0,0.0,float64
club,0,0.0,object
club_score,0,0.0,float64
current_club_id_tm,0,0.0,float64
date_of_birth,0,0.0,object
g_a,0,0.0,int64
g_a_minus_pk_per90,0,0.0,float64
g_a_per90,0,0.0,float64
goals,0,0.0,int64
goals_minus_pk,0,0.0,int64
goals_minus_pk_per90,0,0.0,float64
goals_per90,0,0.0,float64
goals_position_pct,0,0.0,float64
league,0,0.0,object
log_market_value_eur,0,0.0,float64
market_value_eur,0,0.0,float64
matches_played,0,0.0,int64
matching_confidence,0,0.0,float64
matching_method,0,0.0,object
matching_status,0,0.0,bool
minutes_played,0,0.0,int64
minutes_position_pct,0,0.0,float64
nineties,0,0.0,float64
penalties_attempted,0,0.0,int64
penalties_scored,0,0.0,int64
player_id_tm,0,0.0,float64
player_name_fbref,0,0.0,object
player_name_norm,0,0.0,object
player_name_normalized,0,0.0,object
player_name_tm,0,0.0,object
position,0,0.0,object
position_group,0,0.0,object
position_tm,0,0.0,object
red_cards,0,0.0,int64
season,0,0.0,object
season_start_year,0,0.0,int64
season_start_year_fbref,0,0.0,int64
season_start_year_tm,0,0.0,float64
source,0,0.0,object
starts,0,0.0,int64
sub_position_tm,0,0.0,object
valuation_date,0,0.0,datetime64[ns]
yellow_cards,0,0.0,int64
