source,league_key,league,season_start_year,season,status,players_count,teams_count,metrics_available,error
understat,EPL,Premier League,2014,2014-2015,OK,531,38,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,EPL,Premier League,2015,2015-2016,OK,550,31,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,EPL,Premier League,2016,2016-2017,OK,524,39,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,EPL,Premier League,2017,2017-2018,OK,515,33,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,EPL,Premier League,2018,2018-2019,OK,505,23,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,EPL,Premier League,2019,2019-2020,OK,515,27,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,EPL,Premier League,2020,2020-2021,OK,524,28,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,EPL,Premier League,2021,2021-2022,OK,537,28,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,EPL,Premier League,2022,2022-2023,OK,554,34,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,EPL,Premier League,2023,2023-2024,OK,570,30,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,EPL,Premier League,2024,2024-2025,OK,562,31,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,EPL,Premier League,2025,2025-2026,OK,537,34,"['assists', 'games', 'goals', 'id', 'key_passes', 'npg', 'npxG', 'player_name', 'position', 'red_cards', 'shots', 'team_title', 'time', 'xA', 'xG', 'xGBuildup', 'xGChain', 'yellow_cards']",
understat,EPL,Premier League,2026,2026-2027,EMPTY,0,0,[],
