path,size_mb,rows,cols,read_seconds
data\processed\transfermarkt_features.parquet,9.48,616377,24,0.3269
data\processed\transfermarkt_features_v13a.parquet,9.49,616377,24,0.3042
data\processed\transfermarkt_features_v13c.parquet,7.85,507814,24,0.2558
reports\strategy\transfer_portfolio_dataset.csv,6.62,6208,91,0.1013
reports\rankings\scoring_dataset_opportunity.csv,5.04,6208,64,0.0826
reports\rankings\scoring_dataset_confidence.csv,4.65,6208,58,0.0747
data\processed\current_player_snapshot.csv,3.89,17430,23,0.0728
reports\rankings\scoring_dataset_growth.csv,4.04,6208,49,0.0663
reports\rankings\scoring_dataset.csv,3.07,6208,39,0.048
data\processed\player_season_panel_v13a.parquet,2.28,43591,52,0.0467
data\processed\player_role_explainability.parquet,5.96,22929,197,0.0422
data\processed\current_performance_snapshot.parquet,0.07,785,25,0.036
data\processed\player_season_panel.parquet,1.6,27547,52,0.0323
data\processed\current_performance_snapshot.csv,0.16,785,25,0.0258
reports\tm3_contract_intelligence\contract_intelligence_dataset.csv,1.38,757,156,0.0251
reports\visual_identity\tm6_9_top50_market_value_fetch_audit.csv,0.01,49,9,0.0244
data\processed\current_player_snapshot.parquet,0.82,17430,27,0.0237
reports\dss\global_prospect_universe.csv,1.3,757,143,0.0222
reports\business\roi_global_summary.csv,0.0,1,14,0.0164
data\processed\player_role_labels.parquet,1.37,11889,64,0.0162
reports\visual_identity\tm6_9a_top30_visual_mvp_manifest.csv,0.06,30,163,0.0161
data\processed\fbref_standard_raw.parquet,0.39,15830,28,0.016
data\processed\fbref_features_v13a.parquet,0.89,43591,25,0.0147
reports\tm3_contract_intelligence\top_contract_opportunities.csv,0.03,25,90,0.0145
reports\visual_identity\tm6_9_top50_market_value_image_audit.csv,0.01,50,15,0.0145
reports\rankings\scouting_shortlist.csv,0.02,100,18,0.0134
data\processed\current_player_snapshot_homonyms.csv,0.18,827,23,0.0133
data\processed\player_season_modeling_v13b_productive_candidate.parquet,0.8,5527,78,0.0127
