import time: self [us] | cumulative | imported package
import time:       213 |        213 | winreg
import time:       291 |        291 |   _io
import time:        83 |         83 |   marshal
import time:       201 |        201 |   nt
import time:       469 |       1044 | _frozen_importlib_external
import time:       859 |        859 |   time
import time:       142 |       1000 | zipimport
import time:        86 |         86 |     _codecs
import time:       460 |        545 |   codecs
import time:      1716 |       1716 |   encodings.aliases
import time:      2125 |       4385 | encodings
import time:       754 |        754 | encodings.utf_8
import time:       807 |        807 | encodings.cp1252
import time:        70 |         70 | _signal
import time:        34 |         34 |     _abc
import time:       130 |        164 |   abc
import time:       202 |        365 | io
import time:        71 |         71 |       _stat
import time:       177 |        247 |     stat
import time:       780 |        780 |     _collections_abc
import time:        63 |         63 |       genericpath
import time:        85 |         85 |       _winapi
import time:       511 |        658 |     ntpath
import time:       359 |       2043 |   os
import time:        71 |         71 |   _sitebuiltins
import time:      3744 |       3744 |   _distutils_hack
import time:       940 |        940 |     pywin32_system32
import time:      1703 |       2642 |   pywin32_bootstrap
import time:       438 |        438 |   sitecustomize
import time:      5611 |      14548 | site
import time:      1697 |       1697 |   app
import time:       678 |        678 |         posix
import time:      1013 |       1690 |       posixpath
import time:       735 |        735 |           types
import time:        74 |         74 |             _operator
import time:       791 |        865 |           operator
import time:       174 |        174 |               itertools
import time:       698 |        698 |               keyword
import time:       767 |        767 |               reprlib
import time:       120 |        120 |               _collections
import time:      1636 |       3393 |             collections
import time:       131 |        131 |             _functools
import time:      1446 |       4970 |           functools
import time:      1580 |       8149 |         enum
import time:        83 |         83 |           _sre
import time:       905 |        905 |             re._constants
import time:      1056 |       1960 |           re._parser
import time:       775 |        775 |           re._casefix
import time:      1244 |       4061 |         re._compiler
import time:       862 |        862 |         copyreg
import time:      1301 |      14372 |       re
import time:      1122 |      17183 |     fnmatch
import time:       939 |        939 |     warnings
import time:        69 |         69 |     errno
import time:       729 |        729 |       urllib
import time:      1574 |       1574 |       ipaddress
import time:      1374 |       3677 |     urllib.parse
import time:      1891 |      23756 |   pathlib
import time:       652 |        652 |   math
import time:       513 |        513 |     _datetime
import time:      3376 |       3888 |   datetime
import time:        85 |         85 |         _json
import time:      2024 |       2108 |       json.scanner
import time:      1890 |       3998 |     json.decoder
import time:      2055 |       2055 |     json.encoder
import time:      3134 |       9186 |   json
import time:      3016 |       3016 |     html.entities
import time:      2016 |       5031 |   html
import time:      4963 |       4963 |   unicodedata
import time:       151 |        151 |       _heapq
import time:      1626 |       1776 |     heapq
import time:      2218 |       3994 |   difflib
import time:      2218 |       2218 |     numpy.version
import time:      1457 |       1457 |     numpy._expired_attrs_2_0
import time:      1566 |       1566 |         numpy._utils._convertions
import time:      2063 |       3629 |       numpy._utils
import time:      1810 |       5439 |     numpy._globals
import time:       123 |        123 |       numpy._distributor_init_local
import time:      1413 |       1535 |     numpy._distributor_init
import time:      2717 |       2717 |               numpy.exceptions
import time:      2119 |       2119 |               numpy._core._exceptions
import time:        71 |         71 |                   _contextvars
import time:      1465 |       1536 |                 contextvars
import time:      1935 |       3471 |               numpy._core.printoptions
import time:      1663 |       1663 |               numpy.dtypes
import time:     42682 |      52651 |             numpy._core._multiarray_umath
import time:      1499 |       1499 |                   _ast
import time:      1452 |       1452 |                   contextlib
import time:      3028 |       5978 |                 ast
import time:       177 |        177 |                     _opcode
import time:      1915 |       2092 |                   opcode
import time:      2030 |       4121 |                 dis
import time:      1599 |       1599 |                 collections.abc
import time:      1340 |       1340 |                   importlib
import time:       310 |       1649 |                 importlib.machinery
import time:       603 |        603 |                     token
import time:      1229 |       1831 |                   tokenize
import time:      1054 |       2885 |                 linecache
import time:      3476 |      19705 |               inspect
import time:      1325 |       1325 |               numpy._utils._inspect
import time:      1787 |      22817 |             numpy._core.overrides
import time:      5222 |      80689 |           numpy._core.multiarray
import time:      2585 |       2585 |           numpy._core.umath
import time:      1596 |       1596 |             numbers
import time:      1490 |       1490 |             numpy._core._dtype
import time:      1026 |       1026 |             numpy._core._string_helpers
import time:      1140 |       1140 |             numpy._core._type_aliases
import time:      1288 |       6538 |           numpy._core.numerictypes
import time:       478 |        478 |                         _struct
import time:      1774 |       2251 |                       struct
import time:      1115 |       1115 |                       _compat_pickle
import time:       664 |        664 |                       _pickle
import time:       536 |        536 |                           org
import time:        20 |        555 |                         org.python
import time:        16 |        571 |                       org.python.core
import time:      2292 |       6892 |                     pickle
import time:      1229 |       8120 |                   numpy._core._methods
import time:      1873 |       9992 |                 numpy._core.fromnumeric
import time:      1477 |      11469 |               numpy._core.shape_base
import time:      1029 |       1029 |               numpy._core._ufunc_config
import time:      1021 |       1021 |               numpy._core._asarray
import time:      1640 |       1640 |               numpy._core.arrayprint
import time:      2144 |      17301 |             numpy._core.numeric
import time:      1373 |      18674 |           numpy._core.einsumfunc
import time:       906 |        906 |           numpy._core.function_base
import time:      1045 |       1045 |           numpy._core.getlimits
import time:      1164 |       1164 |           numpy._core.memmap
import time:      1267 |       1267 |           numpy._core.records
import time:      1301 |       1301 |             textwrap
import time:      6791 |       8092 |           numpy._core._add_newdocs
import time:      1840 |       1840 |           numpy._core._add_newdocs_scalars
import time:       826 |        826 |           numpy._core._dtype_ctypes
import time:      4452 |       4452 |               _ctypes
import time:      1371 |       1371 |               ctypes._endian
import time:      2781 |       8602 |             ctypes
import time:      1432 |      10034 |           numpy._core._internal
import time:      1191 |       1191 |           numpy._pytesttester
import time:      3009 |     137853 |         numpy._core
import time:        30 |     137882 |       numpy._core._multiarray_umath
import time:      1235 |     139117 |     numpy.__config__
import time:        42 |         42 |           _typing
import time:      2894 |       2935 |         typing
import time:      1167 |       1167 |                       numpy._typing._nbit_base
import time:       988 |        988 |                       numpy._typing._nested_sequence
import time:       752 |        752 |                       numpy._typing._shape
import time:      3892 |       6798 |                     numpy._typing._array_like
import time:      2369 |       2369 |                     numpy._typing._char_codes
import time:      2802 |       2802 |                     numpy._typing._dtype_like
import time:       752 |        752 |                     numpy._typing._nbit
import time:       717 |        717 |                     numpy._typing._scalars
import time:       569 |        569 |                     numpy._typing._ufunc
import time:      1950 |      15956 |                   numpy._typing
import time:      1280 |       1280 |                     numpy.lib._stride_tricks_impl
