path,suffix,rows,columns,read_seconds,memory_mb,error
data\processed\current_performance_snapshot.parquet,.parquet,785.0,25.0,0.748583,0.505,
data\processed\transfermarkt_features_v13a.parquet,.parquet,616377.0,24.0,0.363355,551.846,
data\processed\transfermarkt_features.parquet,.parquet,616377.0,24.0,0.361521,551.846,
data\processed\transfermarkt_features_v13c.parquet,.parquet,507814.0,24.0,0.281304,454.351,
reports\roles\player_role_labels.csv,.csv,11889.0,64.0,0.142622,20.165,
reports\data_quality\tm6_6_transfermarkt_refresh\transfermarkt_refresh_latest_diff.csv,.csv,39361.0,17.0,0.142469,28.307,
reports\roles\player_role_dna.csv,.csv,22929.0,28.0,0.1405,19.852,
reports\strategy\transfer_portfolio_dataset.csv,.csv,6208.0,91.0,0.109292,22.463,
reports\data_quality\snapshot_refresh\candidate_20260615_154627\current_player_snapshot.csv,.csv,16546.0,23.0,0.095821,18.863,
data\processed\current_player_snapshot.csv,.csv,17430.0,24.0,0.083583,19.986,
reports\rankings\scoring_dataset_confidence.csv,.csv,6208.0,58.0,0.082113,6.28,
reports\sprint_13a1\xgboost\predictions\tuned_xgboost_full_predictions.csv,.csv,5527.0,79.0,0.080032,9.527,
reports\rankings\scoring_dataset_opportunity.csv,.csv,6208.0,64.0,0.079499,6.838,
reports\sprint_13b\productive\rankings\scoring_dataset_opportunity.csv,.csv,6208.0,63.0,0.077226,6.483,
reports\rankings\scoring_dataset_growth.csv,.csv,6208.0,49.0,0.075194,5.895,
reports\sprint_13b\productive\rankings\scoring_dataset_confidence.csv,.csv,6208.0,57.0,0.073075,5.925,
reports\sprint_13b\productive\rankings\scoring_dataset.csv,.csv,6208.0,38.0,0.069432,5.108,
reports\sprint_13b\productive\rankings\scoring_dataset_growth.csv,.csv,6208.0,48.0,0.0627,5.54,
data\processed\player_season_panel_v13a.parquet,.parquet,43591.0,52.0,0.06114,56.345,
data\processed\player_role_explainability.parquet,.parquet,22929.0,197.0,0.060948,49.247,
reports\player_role_similarity_final.csv,.csv,20490.0,11.0,0.053763,10.245,
reports\rankings\scoring_dataset.csv,.csv,6208.0,39.0,0.051759,5.463,
reports\data_quality\tm6_6_transfermarkt_refresh\transfermarkt_refresh_club_changes.csv,.csv,8093.0,17.0,0.048798,4.612,
reports\sprint_13a1\xgboost\predictions\tuned_xgboost_test_predictions.csv,.csv,2433.0,79.0,0.046782,4.193,
data\processed\current_player_snapshot.parquet,.parquet,17430.0,24.0,0.043613,19.295,
data\processed\player_season_panel.parquet,.parquet,27547.0,52.0,0.040389,36.982,
reports\player_role_similarity_v2.csv,.csv,22000.0,7.0,0.039664,6.705,
reports\data_quality\tm6_8_understat_matching_unmatched_big5.csv,.csv,1180.0,176.0,0.039328,5.935,
reports\dss\global_prospect_universe.csv,.csv,757.0,143.0,0.036929,3.444,
reports\sprint_13b\productive\predictions\04_ml_test_predictions_v13b.csv,.csv,6208.0,17.0,0.036081,3.791,
reports\assets\club_crest_coverage.csv,.csv,845.0,8.0,0.035897,0.509,
reports\player_role_dss.csv,.csv,4298.0,20.0,0.035174,4.121,
reports\player_role_similarity.csv,.csv,22000.0,7.0,0.033983,6.71,
data\processed\player_role_labels.parquet,.parquet,11889.0,64.0,0.03277,20.72,
reports\sprint_13b\econometric\03_econometric_scored_player_seasons.parquet,.parquet,4630.0,92.0,0.032102,8.808,
reports\sprint_13b\fbref_advanced_extraction_audit.csv,.csv,231.0,9.0,0.031986,0.113,
data\processed\fbref_standard_raw.parquet,.parquet,15830.0,28.0,0.031375,25.04,
data\processed\fbref_features_v13a.parquet,.parquet,43591.0,25.0,0.03113,23.05,
reports\sprint_13b\ml\predictions\04_ml_test_predictions_v13b.csv,.csv,6208.0,17.0,0.030284,3.791,
reports\sprint_13b\productive\03_econometric_scored_player_seasons.parquet,.parquet,4630.0,92.0,0.030155,8.808,
data\processed\player_identity_current.parquet,.parquet,17430.0,13.0,0.029871,10.485,
reports\tm3_contract_intelligence\contract_intelligence_dataset.csv,.csv,757.0,156.0,0.02899,3.714,
data\processed\player_role_similarity.parquet,.parquet,22000.0,7.0,0.028915,6.71,
data\processed\player_role_similarity_final.parquet,.parquet,20490.0,11.0,0.028258,10.245,
data\processed\player_role_similarity_v2.parquet,.parquet,22000.0,7.0,0.028186,6.705,
data\processed\player_season_modeling_advanced_v13a.parquet,.parquet,5527.0,59.0,0.027777,8.045,
reports\sprint_13b\poc_playwright_fbref_html_results.csv,.csv,4.0,10.0,0.027593,0.003,
data\processed\player_season_modeling_v13b_productive_candidate.parquet,.parquet,5527.0,78.0,0.027287,9.286,
data\processed\player_role_features_advanced.parquet,.parquet,12848.0,56.0,0.026646,11.225,
reports\assets\tm69a_club_crest_downloads_only_ready.csv,.csv,32.0,7.0,0.026352,0.018,
data\processed\player_season_modeling_advanced.parquet,.parquet,3916.0,59.0,0.025938,5.69,
reports\sprint_13b\econometric\03_undervalued_ranking.csv,.csv,50.0,23.0,0.025517,0.03,
reports\sprint_13a1\econometric\03_econometric_scored_player_seasons.parquet,.parquet,4716.0,68.0,0.025285,7.734,
reports\sprint_13b\fbref_advanced_coverage_audit.csv,.csv,4081.0,12.0,0.025005,1.234,
reports\scouting_reports\player_shap_report.csv,.csv,3297.0,13.0,0.024944,2.251,
data\processed\player_season_modeling_v13b_advanced.parquet,.parquet,5527.0,78.0,0.024916,9.286,
reports\data_quality\snapshot_refresh\candidate_20260615_154627\current_player_snapshot.parquet,.parquet,16546.0,23.0,0.024728,17.955,
reports\data_quality\current_snapshot_apply\transfer_portfolio_dataset_current_snapshot_apply_audit.csv,.csv,1.0,10.0,0.024604,0.001,
data\processed\player_role_archetypes.parquet,.parquet,11889.0,48.0,0.024475,8.927,
data\processed\current_performance_snapshot.csv,.csv,785.0,25.0,0.024193,0.503,
data\processed\player_role_assignments.parquet,.parquet,4298.0,7.0,0.023921,1.475,
data\processed\player_role_features_v2.parquet,.parquet,22929.0,25.0,0.023865,9.65,
