function,line,end_line,n_lines,decorators,has_cache_data,has_cache_resource,has_any_cache
render_transfer_strategy_placeholder,27888,28463,576,,False,False,False
render_individual_player_report,28542,28902,361,,False,False,False
build_opportunity_risk_matrix,18410,18728,319,,False,False,False
render_contract_intelligence_page,31039,31333,295,,False,False,False
render_tm69_executive_scouting_card,12870,13133,264,,False,False,False
render_visual_mvp_cards,27512,27768,257,,False,False,False
optimize_transfer_portfolio_with_style,9781,10025,245,,False,False,False
render_multi_player_radar_comparison,15052,15273,222,,False,False,False
render_similarity_engine,16547,16752,206,,False,False,False
render_player_profile_header,13286,13483,198,,False,False,False
build_football_universe_dataset,13799,13987,189,,False,False,False
build_opportunity_chart,18196,18378,183,,False,False,False
_render_methodology_closure_css,32400,32575,176,,False,False,False
render_player_intelligence_command_center,24505,24667,163,,False,False,False
build_similarity_bubble_chart,15756,15916,161,,False,False,False
render_snapshot_health_panel,31718,31878,161,,False,False,False
render_player_radar_benchmarking,14184,14329,146,,False,False,False
merge_role_intelligence,9131,9275,145,,False,False,False
render_similarity_decision_support_panel,16133,16268,136,,False,False,False
render_driver_analysis,17407,17542,136,,False,False,False
rank_global_command_search,23581,23716,136,,False,False,False
render_executive_recommendation_engine,17187,17321,135,,False,False,False
render_understat_xg_methodology_block,32131,32261,131,,False,False,False
render_command_palette_results,22126,22253,128,,False,False,False
render_command_palette_results,23726,23853,128,,False,False,False
_render_contract_opportunity_matrix,30756,30882,127,,False,False,False
UI,11120,11245,126,,False,False,False
render_role_market_dashboard,17649,17774,126,,False,False,False
render_role_context_filters,19322,19445,124,,False,False,False
_tm69_asset_uri,29453,29573,121,,False,False,False
build_scouting_eligibility_checks,8784,8899,116,,False,False,False
render_executive_overview_page,27771,27885,115,,False,False,False
render_shortlist_comparison_table,16368,16481,114,,False,False,False
render_role_profile_block,9557,9669,113,,False,False,False
merge_position_taxonomy,19189,19297,109,,False,False,False
render_opportunity_risk_summary,18731,18838,108,,False,False,False
render_recruitment_pipeline,17545,17646,102,,False,False,False
render_role_dna_block,9392,9490,99,,False,False,False
merge_role_explainability,8472,8568,97,,False,False,False
render_current_performance_snapshot_methodology_block,32035,32128,94,,False,False,False
build_comparative_conclusion,14933,15022,90,,False,False,False
render_replacement_analysis,16844,16933,90,,False,False,False
_render_contract_action_board,30884,30973,90,,False,False,False
render_similarity_executive_cards,15555,15642,88,,False,False,False
_tm69_collect_player_context,29166,29253,88,,False,False,False
_tm69_decision_card_html,12465,12551,87,,False,False,False
render_chart_executive_summary,18943,19027,85,,False,False,False
build_html_table,18036,18118,83,,False,False,False
_tm69_recommendation,12100,12181,82,,False,False,False
render_asset_intelligence,17323,17403,81,,False,False,False
rank_global_command_search,22030,22109,80,,False,False,False
_prepare_contract_dataset,30099,30178,80,,False,False,False
render_player_dossier_summary,13485,13563,79,,False,False,False
build_multi_player_radar_chart,14742,14820,79,,False,False,False
build_candidate_comparison_narrative,15454,15532,79,,False,False,False
_add_dynamic_contract_timing,29950,30027,78,,False,False,False
render_opportunity_risk_top5_vertical,17922,17997,76,,False,False,False
render_quick_guide,21738,21811,74,,False,False,False
_tm69_decision_card_html,33185,33258,74,,False,False,False
add_projected_market_value_features,14568,14640,73,,False,False,False
render_opportunity_risk_insight,18840,18908,69,,False,False,False
render_role_dna_filters,9493,9554,62,,False,False,False
_tm69_dna_values,11956,12017,62,,False,False,False
add_executive_decision_features,17057,17115,59,,False,False,False
tm71_latest_player_dss_metrics_from_full,25522,25578,57,,False,False,False
_contract_table_html,30657,30713,57,,False,False,False
_render_methodology_crisp_dm_flow,32269,32325,57,,False,False,False
render_tm69_executive_summary_tab,34041,34096,56,,False,False,False
render_role_similar_players_block,9724,9778,55,,False,False,False
_tm69_role_dna_context_html,12019,12073,55,,False,False,False
render_similarity_recommendation_card,15996,16048,53,,False,False,False
_tm69_club_mark_html,29628,29680,53,,False,False,False
calculate_similarity_table,16493,16544,52,,False,False,False
_build_role_similar_fallback,9671,9721,51,,False,False,False
_tm69_why_now_html,12676,12724,49,,False,False,False
add_league_strength_features,14478,14526,49,,False,False,False
render_candidate_decision_cards,15349,15397,49,,False,False,False
build_executive_recommendation_rationale,17118,17166,49,,False,False,False
_shorten_contract_club_name,30044,30091,48,,False,False,False
find_role_dataset_path,8571,8617,47,,False,False,False
role_description,9003,9049,47,,False,False,False
render_similarity_rank_panel,15707,15753,47,,False,False,False
render_market_opportunities_page,28465,28511,47,,False,False,False
explain_scouting_exclusion,8735,8780,46,,False,False,False
render_shortlist_intelligence_dashboard,17777,17822,46,,False,False,False
tm71_latest_player_analytics_from_full,25582,25627,46,,False,False,False
render_tm69_profile_role_tab,34177,34222,46,,False,False,False
_tm69_transfer_estimate,12388,12432,45,,False,False,False
build_decision_drivers,16981,17025,45,,False,False,False
_command_row_context,21839,21883,45,,False,False,False
render_tm69_evidence_tab,34225,34269,45,,False,False,False
clear_command_center_filters,23863,23906,44,,False,False,False
_tm69_why_now_html,33304,33347,44,,False,False,False
_tm69_market_benchmark_html,33350,33393,44,,False,False,False
build_similarity_recruitment_actions,16052,16094,43,,False,False,False
_tm69_typeahead_html,24291,24333,43,,False,False,False
build_replacement_narrative,16325,16366,42,,False,False,False
_tm69_merge_context,11605,11645,41,,False,False,False
_tm69_market_benchmark_html,12581,12621,41,,False,False,False
classify_similarity_recommendation,15644,15684,41,,False,False,False
render_bubble_legend,18154,18193,40,,False,False,False
_fill_from_strategy,9204,9243,40,,False,False,False
tm71_build_presentation_df,293,331,39,,False,False,False
render_role_availability_chips,9091,9129,39,,False,False,False
_build_snapshot_tags,11382,11419,38,,False,False,False
_tm69_find_matching_row,11520,11557,38,,False,False,False
_tm69_tactical_fit,12305,12342,38,,False,False,False
build_player_radar_data,14039,14076,38,,False,False,False
render_methodology_page,32577,32614,38,,False,False,False
render_eligibility_check_panel,8902,8938,37,,False,False,False
format_club_name,10322,10358,37,,False,False,False
_snapshot_value_pair,11334,11370,37,,False,False,False
render_benchmark_context,14145,14181,37,,False,False,False
_tm69_country_iso2,29707,29743,37,,False,False,False
