function,hotspot_type,count
localize_display_df,apply_generic,5
add_executive_decision_features,apply_generic,4
add_projected_market_value_features,apply_generic,4
render_replacement_analysis,apply_generic,4
render_transfer_strategy_placeholder,apply_generic,4
__module__,apply_generic,3
_add_dynamic_contract_timing,apply_generic,3
_render_contract_opportunity_matrix,apply_generic,3
add_executive_decision_features,dataframe_apply_axis1,3
render_asset_intelligence,apply_generic,3
render_recruitment_pipeline,apply_generic,3
__module__,read_parquet,2
_prepare_contract_dataset,apply_generic,2
_tm69_player_nationality_lookup,read_parquet,2
add_league_strength_features,apply_generic,2
build_similarity_bubble_chart,apply_generic,2
calculate_similarity_table,apply_generic,2
load_role_explainability_dataset,read_parquet,2
load_visual_mvp_manifest,read_csv,2
render_driver_analysis,apply_generic,2
render_executive_recommendation_engine,apply_generic,2
render_multi_player_radar_comparison,apply_generic,2
render_transfer_strategy_placeholder,dataframe_apply_axis1,2
_fill,merge,1
_fill_from_strategy,merge,1
_merge_fill,merge,1
_render_contract_league_distribution,groupby,1
_render_contract_league_distribution,plotly_figure,1
_render_contract_league_distribution,st_plotly_chart,1
_render_contract_opportunity_matrix,plotly_figure,1
_render_contract_opportunity_matrix,st_plotly_chart,1
_render_contract_window_distribution,apply_generic,1
_render_contract_window_distribution,plotly_figure,1
_render_contract_window_distribution,st_plotly_chart,1
_tm69_v13b_identity_performance_lookup,read_parquet,1
_visual_mvp_current_country_lookup,read_parquet,1
_visual_mvp_current_market_value_lookup,read_parquet,1
add_role_display_columns,apply_generic,1
add_role_display_columns,dataframe_apply_axis1,1
apply_current_context,merge,1
audit_current_season_consistency,groupby,1
build_comparative_conclusion,groupby,1
build_current_context,apply_generic,1
build_current_context,dataframe_apply_axis1,1
build_current_context,groupby,1
build_football_universe_dataset,merge,1
build_multi_player_radar_chart,plotly_figure,1
build_opportunity_chart,plotly_figure,1
build_opportunity_risk_matrix,apply_generic,1
build_opportunity_risk_matrix,dataframe_apply_axis1,1
build_opportunity_risk_matrix,plotly_figure,1
build_player_radar_chart,plotly_figure,1
build_replacement_candidates,apply_generic,1
build_similarity_bubble_chart,dataframe_apply_axis1,1
build_similarity_bubble_chart,plotly_figure,1
enrich_shortlist_with_radar_features,merge,1
load_csv,read_csv,1
load_parquet,read_parquet,1
load_position_taxonomy_dataset,read_parquet,1
load_role_explainability_dataset,read_csv,1
load_role_intelligence_dataset,read_csv,1
load_role_intelligence_dataset,read_parquet,1
load_visual_mvp_manifest,merge,1
load_visual_mvp_manifest,read_parquet,1
merge_role_explainability,merge,1
merge_role_intelligence,merge,1
optimize_transfer_portfolio_with_style,apply_generic,1
optimize_transfer_portfolio_with_style,read_csv,1
render_contract_intelligence_page,apply_generic,1
render_contract_intelligence_page,dataframe_apply_axis1,1
render_contract_intelligence_page,groupby,1
render_individual_player_report,apply_generic,1
render_individual_player_report,plotly_figure,1
render_individual_player_report,st_plotly_chart,1
render_market_opportunities_page,st_plotly_chart,1
render_metric_winners_table,apply_generic,1
render_multi_player_radar_comparison,st_plotly_chart,1
render_opportunity_risk_insight,apply_generic,1
render_opportunity_risk_summary,apply_generic,1
render_player_radar_benchmarking,apply_generic,1
render_replacement_analysis,dataframe_apply_axis1,1
render_similarity_engine,apply_generic,1
render_similarity_engine,dataframe_apply_axis1,1
render_similarity_engine,st_plotly_chart,1
render_transfer_strategy_placeholder,groupby,1
render_transfer_strategy_placeholder,plotly_figure,1
render_transfer_strategy_placeholder,st_plotly_chart,1
tm71_load_full_modeling_analytics,read_parquet,1
tm72_load_dss_authority,read_csv,1
