import time: self [us] | cumulative | imported package
import time:        99 |         99 | winreg
import time:       168 |        168 |   _io
import time:        25 |         25 |   marshal
import time:       125 |        125 |   nt
import time:       277 |        594 | _frozen_importlib_external
import time:       691 |        691 |   time
import time:       103 |        794 | zipimport
import time:        52 |         52 |     _codecs
import time:       243 |        295 |   codecs
import time:      1160 |       1160 |   encodings.aliases
import time:      1604 |       3058 | encodings
import time:      1190 |       1190 | encodings.utf_8
import time:      2326 |       2326 | encodings.cp1252
import time:       395 |        395 | _signal
import time:        77 |         77 |     _abc
import time:       247 |        324 |   abc
import time:       359 |        683 | io
import time:        64 |         64 |       _stat
import time:        88 |        151 |     stat
import time:       590 |        590 |     _collections_abc
import time:        27 |         27 |       genericpath
import time:        61 |         61 |       _winapi
import time:       459 |        546 |     ntpath
import time:       238 |       1523 |   os
import time:        46 |         46 |   _sitebuiltins
import time:      2429 |       2429 |   _distutils_hack
import time:       806 |        806 |     pywin32_system32
import time:      1385 |       2190 |   pywin32_bootstrap
import time:       727 |        727 |   sitecustomize
import time:      4604 |      11516 | site
import time:      1193 |       1193 |   app
import time:       497 |        497 |         posix
import time:       102 |        598 |       posixpath
import time:       809 |        809 |           types
import time:       187 |        187 |             _operator
import time:      1966 |       2153 |           operator
import time:       122 |        122 |               itertools
import time:       728 |        728 |               keyword
import time:       717 |        717 |               reprlib
import time:        74 |         74 |               _collections
import time:      1652 |       3291 |             collections
import time:        49 |         49 |             _functools
import time:      2036 |       5376 |           functools
import time:      1520 |       9857 |         enum
import time:        63 |         63 |           _sre
import time:       679 |        679 |             re._constants
import time:       693 |       1372 |           re._parser
import time:       531 |        531 |           re._casefix
import time:       897 |       2863 |         re._compiler
import time:       660 |        660 |         copyreg
import time:      1010 |      14388 |       re
import time:       790 |      15775 |     fnmatch
import time:       696 |        696 |     warnings
import time:        60 |         60 |     errno
import time:       654 |        654 |       urllib
import time:      1397 |       1397 |       ipaddress
import time:      1391 |       3441 |     urllib.parse
import time:      2302 |      22272 |   pathlib
import time:        62 |         62 |   math
import time:        79 |         79 |     _datetime
import time:      1258 |       1337 |   datetime
import time:       164 |        164 |         _json
import time:      1629 |       1792 |       json.scanner
import time:      1831 |       3623 |     json.decoder
import time:      2907 |       2907 |     json.encoder
import time:      1185 |       7714 |   json
import time:      2904 |       2904 |     html.entities
import time:      1576 |       4480 |   html
import time:      2617 |       2617 |   unicodedata
import time:        68 |         68 |       _heapq
import time:      1344 |       1412 |     heapq
import time:      1441 |       2853 |   difflib
import time:      1338 |       1338 |     numpy.version
import time:       563 |        563 |     numpy._expired_attrs_2_0
import time:       604 |        604 |         numpy._utils._convertions
import time:       570 |       1174 |       numpy._utils
import time:       653 |       1826 |     numpy._globals
import time:       102 |        102 |       numpy._distributor_init_local
import time:       455 |        557 |     numpy._distributor_init
import time:       840 |        840 |               numpy.exceptions
import time:       873 |        873 |               numpy._core._exceptions
import time:        41 |         41 |                   _contextvars
import time:       597 |        638 |                 contextvars
import time:       541 |       1178 |               numpy._core.printoptions
import time:       561 |        561 |               numpy.dtypes
import time:      6338 |       9789 |             numpy._core._multiarray_umath
import time:       570 |        570 |                   _ast
import time:       924 |        924 |                   contextlib
import time:      1568 |       3061 |                 ast
import time:        43 |         43 |                     _opcode
import time:       799 |        841 |                   opcode
import time:      1085 |       1925 |                 dis
import time:       636 |        636 |                 collections.abc
import time:       651 |        651 |                   importlib
import time:       114 |        764 |                 importlib.machinery
import time:       590 |        590 |                     token
import time:      1308 |       1897 |                   tokenize
import time:       605 |       2501 |                 linecache
import time:      1825 |      10710 |               inspect
import time:       600 |        600 |               numpy._utils._inspect
import time:       852 |      12161 |             numpy._core.overrides
import time:      4270 |      26220 |           numpy._core.multiarray
import time:      1892 |       1892 |           numpy._core.umath
import time:      3668 |       3668 |             numbers
import time:      1545 |       1545 |             numpy._core._dtype
import time:      1314 |       1314 |             numpy._core._string_helpers
import time:      2443 |       2443 |             numpy._core._type_aliases
import time:      3077 |      12046 |           numpy._core.numerictypes
import time:       247 |        247 |                         _struct
import time:      1886 |       2133 |                       struct
import time:      2051 |       2051 |                       _compat_pickle
import time:       321 |        321 |                       _pickle
import time:      2470 |       2470 |                           org
import time:        82 |       2552 |                         org.python
import time:        55 |       2606 |                       org.python.core
import time:      3652 |      10761 |                     pickle
import time:      1550 |      12311 |                   numpy._core._methods
import time:      2676 |      14986 |                 numpy._core.fromnumeric
import time:      1740 |      16726 |               numpy._core.shape_base
import time:      1804 |       1804 |               numpy._core._ufunc_config
import time:      1372 |       1372 |               numpy._core._asarray
import time:      1669 |       1669 |               numpy._core.arrayprint
import time:      3074 |      24643 |             numpy._core.numeric
import time:      1990 |      26633 |           numpy._core.einsumfunc
import time:       777 |        777 |           numpy._core.function_base
import time:       702 |        702 |           numpy._core.getlimits
import time:       583 |        583 |           numpy._core.memmap
import time:       999 |        999 |           numpy._core.records
import time:      1231 |       1231 |             textwrap
import time:      6295 |       7525 |           numpy._core._add_newdocs
import time:      3200 |       3200 |           numpy._core._add_newdocs_scalars
import time:      3023 |       3023 |           numpy._core._dtype_ctypes
import time:      5429 |       5429 |               _ctypes
import time:      1409 |       1409 |               ctypes._endian
import time:      2240 |       9077 |             ctypes
import time:      1905 |      10981 |           numpy._core._internal
import time:       880 |        880 |           numpy._pytesttester
import time:      1782 |      97238 |         numpy._core
import time:        50 |      97287 |       numpy._core._multiarray_umath
import time:      1065 |      98352 |     numpy.__config__
import time:       121 |        121 |           _typing
import time:      3281 |       3402 |         typing
import time:       701 |        701 |                       numpy._typing._nbit_base
import time:       628 |        628 |                       numpy._typing._nested_sequence
import time:       704 |        704 |                       numpy._typing._shape
import time:      2346 |       4378 |                     numpy._typing._array_like
import time:      1794 |       1794 |                     numpy._typing._char_codes
import time:      2043 |       2043 |                     numpy._typing._dtype_like
import time:       511 |        511 |                     numpy._typing._nbit
import time:       462 |        462 |                     numpy._typing._scalars
import time:       535 |        535 |                     numpy._typing._ufunc
import time:       747 |      10467 |                   numpy._typing
import time:       590 |        590 |                     numpy.lib._stride_tricks_impl
import time:       649 |       1238 |                   numpy.lib._twodim_base_impl
import time:       754 |        754 |                     numpy.lib._array_utils_impl
import time:       594 |       1348 |                   numpy.lib.array_utils
import time:      1368 |       1368 |                   numpy.linalg._umath_linalg
import time:      1817 |      16236 |                 numpy.linalg._linalg
import time:       638 |      16874 |               numpy.linalg
import time:       914 |      17787 |             numpy.matrixlib.defmatrix
import time:       681 |      18468 |           numpy.matrixlib
import time:      1144 |       1144 |             numpy.lib._histograms_impl
import time:      1524 |       2668 |           numpy.lib._function_base_impl
import time:      1108 |      22243 |         numpy.lib._index_tricks_impl
import time:      1388 |      27032 |       numpy.lib._arraypad_impl
import time:      1374 |       1374 |       numpy.lib._arraysetops_impl
import time:       693 |        693 |       numpy.lib._arrayterator_impl
import time:       916 |        916 |       numpy.lib._nanfunctions_impl
import time:      1171 |       1171 |           _weakrefset
import time:      1204 |       2375 |         weakref
import time:      2084 |       2084 |               platform
import time:       810 |       2893 |             numpy.lib._utils_impl
import time:      1044 |       3937 |           numpy.lib._format_impl
import time:      1257 |       5193 |         numpy.lib.format
import time:       866 |        866 |         numpy.lib._datasource
import time:       750 |        750 |         numpy.lib._iotools
import time:      1259 |      10442 |       numpy.lib._npyio_impl
import time:       591 |        591 |           numpy.lib._ufunclike_impl
import time:       645 |       1235 |         numpy.lib._type_check_impl
import time:       872 |       2107 |       numpy.lib._polynomial_impl
import time:       835 |        835 |       numpy.lib._shape_base_impl
import time:       551 |        551 |       numpy.lib._version
import time:      1186 |       1186 |       numpy.lib.introspect
import time:       782 |        782 |       numpy.lib.mixins
import time:       506 |        506 |       numpy.lib.npyio
import time:       673 |        673 |         numpy.lib._scimath_impl
import time:       484 |       1156 |       numpy.lib.scimath
import time:       395 |        395 |       numpy.lib.stride_tricks
import time:      1194 |      49163 |     numpy.lib
import time:       490 |        490 |     numpy._array_api_info
import time:      3038 |     155325 |   numpy
import time:       859 |        859 |     __future__
import time:       806 |        806 |       pytz.exceptions
import time:      1076 |       1076 |         threading
import time:       604 |       1679 |       pytz.lazy
import time:        51 |         51 |           _bisect
import time:       595 |        645 |         bisect
import time:       624 |       1269 |       pytz.tzinfo
