58-64: _tm69_asset_to_data_uri | hits=b64encode,read_bytes | cached=False
8208-8306: merge_role_explainability | hits=merge | cached=False
8840-8985: merge_role_intelligence | hits=merge,sort_values | cached=False
9380-9432: _build_role_similar_fallback | hits=sort_values | cached=False
9490-9736: optimize_transfer_portfolio_with_style | hits=read_csv,sort_values | cached=False
10031-10069: format_club_name | hits=merge | cached=False
10070-10122: apply_club_name_normalization | hits=merge | cached=False
10380-10413: build_current_context | hits=groupby,sort_values | cached=False
10414-10439: apply_current_context | hits=merge | cached=False
10440-10453: audit_current_season_consistency | hits=groupby | cached=False
11300-11342: _tm69_merge_context | hits=merge | cached=False
12496-12531: _tm69_opportunity_context_html | hits=sort_values | cached=False
12548-12564: _tm69_performance_bars_html | hits=sort_values | cached=False
12565-12835: render_tm69_executive_scouting_card | hits=merge | cached=False
12836-12856: _siq_asset_to_data_uri_safe | hits=b64encode,read_bytes | cached=False
12980-13178: render_player_profile_header | hits=merge | cached=False
13392-13465: enrich_shortlist_with_radar_features | hits=merge,sort_values | cached=False
13490-13680: build_football_universe_dataset | hits=merge,sort_values | cached=False
13769-13804: build_player_radar_chart | hits=go.Figure | cached=False
13875-14126: render_player_radar_benchmarking | hits=sort_values | cached=False
14140-14157: classify_league_quality | hits=merge | cached=False
14433-14513: build_multi_player_radar_chart | hits=go.Figure | cached=False
14549-14586: render_multi_player_summary_cards | hits=sort_values | cached=False
14587-14623: render_metric_winners_table | hits=sort_values | cached=False
14624-14714: build_comparative_conclusion | hits=groupby,sort_values | cached=False
14743-14967: render_multi_player_radar_comparison | hits=plotly_chart,sort_values | cached=False
15040-15090: render_candidate_decision_cards | hits=sort_values | cached=False
15118-15144: build_candidate_executive_summary | hits=sort_values | cached=False
15145-15224: build_candidate_comparison_narrative | hits=sort_values | cached=False
15447-15609: build_similarity_bubble_chart | hits=go.Figure,sort_values | cached=False
16059-16174: render_shortlist_comparison_table | hits=sort_values | cached=False
16184-16237: calculate_similarity_table | hits=sort_values | cached=False
16238-16445: render_similarity_engine | hits=plotly_chart,sort_values | cached=False
16446-16483: build_replacement_candidates | hits=sort_values | cached=False
16535-16627: render_replacement_analysis | hits=sort_values | cached=False
16856-16873: get_executive_decision_table | hits=sort_values | cached=False
17010-17093: render_asset_intelligence | hits=sort_values | cached=False
17094-17231: render_driver_analysis | hits=sort_values | cached=False
17336-17463: render_role_market_dashboard | hits=sort_values | cached=False
17555-17571: _tm697_asset_data_uri | hits=b64encode,read_bytes | cached=False
17608-17685: render_opportunity_risk_top5_vertical | hits=sort_values | cached=False
17806-17839: make_shap_proxy | hits=sort_values | cached=False
17882-18067: build_opportunity_chart | hits=go.Figure,sort_values | cached=False
18096-18416: build_opportunity_risk_matrix | hits=go.Figure,sort_values | cached=False
18598-18628: render_opportunity_risk_top5 | hits=sort_values | cached=False
18629-18795: render_chart_executive_summary | hits=sort_values | cached=False
18875-18985: merge_position_taxonomy | hits=merge,sort_values | cached=False
19133-19781: add_role_display_columns | hits=merge | cached=False
20142-20464: league_display_name | hits=merge | cached=False
21525-21570: _command_row_context | hits=sort_values | cached=False
21571-21684: build_search_options | hits=sort_values | cached=False
21715-21796: rank_global_command_search | hits=sort_values | cached=False
23266-23403: rank_global_command_search | hits=sort_values | cached=False
24021-24045: _tm69_command_chip_html | hits=b64encode,read_bytes | cached=False
24053-24080: _tm69_top_opportunity_html | hits=sort_values | cached=False
24981-26295: preset_label | hits=sort_values | cached=False
26320-26329: build_ranked_table_df | hits=sort_values | cached=False
26330-26340: get_metric_leader | hits=sort_values | cached=False
26457-26494: load_visual_mvp_manifest | hits=merge,read_csv,read_parquet | cached=False
26860-26976: render_executive_overview_page | hits=sort_values | cached=False
26977-27553: render_transfer_strategy_placeholder | hits=go.Figure,groupby,plotly_chart,sort_values | cached=False
27554-27602: render_market_opportunities_page | hits=plotly_chart | cached=False
27631-28233: render_individual_player_report | hits=go.Figure,plotly_chart,sort_values | cached=False
28255-28344: _tm69_collect_player_context | hits=merge | cached=False
28717-28770: _tm69_club_mark_html | hits=b64encode,read_bytes | cached=False
28775-28795: _tm69_league_chip_html | hits=b64encode,read_bytes | cached=False
28835-28854: _tm69_flag_uri | hits=b64encode,read_bytes | cached=False
29187-29268: _prepare_contract_dataset | hits=sort_values | cached=False
29844-29971: _render_contract_opportunity_matrix | hits=go.Figure,plotly_chart,sort_values | cached=False
29972-30063: _render_contract_action_board | hits=sort_values | cached=False
30064-30094: _render_contract_window_distribution | hits=go.Figure,plotly_chart,sort_values | cached=False
30095-30126: _render_contract_league_distribution | hits=go.Figure,groupby,plotly_chart,sort_values | cached=False
30127-30764: render_contract_intelligence_page | hits=groupby,sort_values | cached=False
32931-32947: _tm696_asset_data_uri | hits=b64encode,read_bytes | cached=False
32983-32999: _tm696_asset_data_uri | hits=b64encode,read_bytes | cached=False
33051-33068: _tm697_safe_asset_data_uri | hits=b64encode,read_bytes | cached=False
33188-33204: _tm696_asset_data_uri | hits=b64encode,read_bytes | cached=False
