player,season,team,league,pos_,age_,Playing Time_Min,role_cluster,primary_role,role_confidence_pct,role_similarity_score,distance_to_centroid
Aaron Ramsey,1718,Arsenal,ENG-Premier League,MF,26.0,1846,2,Creative Playmaker,76.2,76.2,3.3202843827649473
Alex Iwobi,1718,Arsenal,ENG-Premier League,"MF,FW",21.0,1830,2,Creative Playmaker,87.8,87.8,2.9029951766173774
Alexis Sánchez,1718,Arsenal,ENG-Premier League,"MF,FW",28.0,1503,2,Creative Playmaker,0.0,0.0,6.264268766817441
Alexis Sánchez,1718,Arsenal,ENG-Premier League,"MF,FW",28.0,1043,2,Creative Playmaker,0.0,0.0,6.264268766817441
Granit Xhaka,1718,Arsenal,ENG-Premier League,MF,24.0,3260,3,Box-to-Box Engine,72.1,72.1,2.9204576499514143
Jack Wilshere,1718,Arsenal,ENG-Premier League,MF,25.0,1193,3,Box-to-Box Engine,22.2,22.2,4.309040895890008
Mesut Özil,1718,Arsenal,ENG-Premier League,"MF,FW",28.0,2163,2,Creative Playmaker,0.0,0.0,6.306674337388225
Andrew Surman,1718,Bournemouth,ENG-Premier League,MF,30.0,1856,0,Defensive Anchor,32.9,32.9,3.365433269138671
Dan Gosling,1718,Bournemouth,ENG-Premier League,MF,27.0,1947,0,Defensive Anchor,87.2,87.2,2.1061091243792753
Harry Arter,1718,Bournemouth,ENG-Premier League,MF,27.0,960,0,Defensive Anchor,50.4,50.4,2.9587760847796303
Jordon Ibe,1718,Bournemouth,ENG-Premier League,"MF,FW",21.0,1995,2,Creative Playmaker,66.8,66.8,3.660835974717497
Junior Stanislas,1718,Bournemouth,ENG-Premier League,"MF,FW",27.0,1286,2,Creative Playmaker,85.7,85.7,2.9762770505773393
Lewis Cook,1718,Bournemouth,ENG-Premier League,MF,20.0,2237,3,Box-to-Box Engine,90.7,90.7,2.4023821372843392
Marc Pugh,1718,Bournemouth,ENG-Premier League,"MF,FW",30.0,985,1,Ball Progressor,15.0,15.0,4.184195793545493
Ryan Fraser,1718,Bournemouth,ENG-Premier League,"MF,DF",23.0,2004,1,Ball Progressor,50.9,50.9,3.3047271740564863
Anthony Knockaert,1718,Brighton,ENG-Premier League,"MF,FW",25.0,2421,1,Ball Progressor,84.2,84.2,2.4893706666977633
Dale Stephens,1718,Brighton,ENG-Premier League,MF,28.0,3240,0,Defensive Anchor,71.9,71.9,2.459174775331486
Davy Pröpper,1718,Brighton,ENG-Premier League,MF,25.0,3119,0,Defensive Anchor,100.0,100.0,1.6237793620216385
José Izquierdo,1718,Brighton,ENG-Premier League,"MF,FW",25.0,1984,1,Ball Progressor,47.7,47.7,3.3832960722553986
Solly March,1718,Brighton,ENG-Premier League,"MF,FW",23.0,1851,1,Ball Progressor,72.8,72.8,2.7680341405788824
Aaron Lennon,1718,Burnley,ENG-Premier League,MF,30.0,1118,1,Ball Progressor,63.2,63.2,3.002786189496557
Ashley Westwood,1718,Burnley,ENG-Premier League,MF,27.0,1111,0,Defensive Anchor,71.2,71.2,2.4764878707117948
Jack Cork,1718,Burnley,ENG-Premier League,MF,28.0,3420,0,Defensive Anchor,95.8,95.8,1.90620152348546
Jóhann Berg Guðmundsson,1718,Burnley,ENG-Premier League,MF,26.0,2833,1,Ball Progressor,74.2,74.2,2.7326429335205544
Robbie Brady,1718,Burnley,ENG-Premier League,MF,25.0,1277,1,Ball Progressor,79.5,79.5,2.60348472308727
Scott Arfield,1718,Burnley,ENG-Premier League,"MF,FW",28.0,1333,0,Defensive Anchor,36.4,36.4,3.2855819701594275
Steven Defour,1718,Burnley,ENG-Premier League,MF,29.0,1997,0,Defensive Anchor,36.9,36.9,3.2730530069375647
Cesc Fàbregas,1718,Chelsea,ENG-Premier League,MF,30.0,2306,2,Creative Playmaker,12.2,12.2,5.629124350664057
N'Golo Kanté,1718,Chelsea,ENG-Premier League,MF,26.0,2994,3,Box-to-Box Engine,24.8,24.8,4.2368394068867765
Pedro,1718,Chelsea,ENG-Premier League,"MF,FW",30.0,1523,2,Creative Playmaker,57.6,57.6,3.990492776537623
Tiemoué Bakayoko,1718,Chelsea,ENG-Premier League,MF,22.0,2126,0,Defensive Anchor,85.5,85.5,2.1444300300534653
Willian,1718,Chelsea,ENG-Premier League,"MF,FW",28.0,1890,2,Creative Playmaker,69.1,69.1,3.575406470047124
James McArthur,1718,Crystal Palace,ENG-Premier League,MF,29.0,2431,0,Defensive Anchor,83.0,83.0,2.202573440645301
Luka Milivojević,1718,Crystal Palace,ENG-Premier League,MF,26.0,3080,0,Defensive Anchor,23.1,23.1,3.5938846128972233
Ruben Loftus-Cheek,1718,Crystal Palace,ENG-Premier League,MF,21.0,1874,2,Creative Playmaker,69.8,69.8,3.549324468137871
Yohan Cabaye,1718,Crystal Palace,ENG-Premier League,MF,31.0,2376,0,Defensive Anchor,0.0,0.0,4.284600090275077
Gylfi Sigurðsson,1718,Everton,ENG-Premier League,"MF,FW",27.0,2259,1,Ball Progressor,73.1,73.1,2.761824110341378
Idrissa Gana Gueye,1718,Everton,ENG-Premier League,MF,27.0,2750,0,Defensive Anchor,23.1,23.1,3.592986731947809
Morgan Schneiderlin,1718,Everton,ENG-Premier League,MF,27.0,2130,0,Defensive Anchor,40.7,40.7,3.1840281307521288
Tom Davies,1718,Everton,ENG-Premier League,MF,19.0,1900,0,Defensive Anchor,56.2,56.2,2.8244235799836575
Wayne Rooney,1718,Everton,ENG-Premier League,"MF,FW",31.0,2268,1,Ball Progressor,40.3,40.3,3.5647024310461544
Aaron Mooy,1718,Huddersfield,ENG-Premier League,MF,26.0,3067,3,Box-to-Box Engine,100.0,100.0,1.788938109132258
Alex Pritchard,1718,Huddersfield,ENG-Premier League,"MF,FW",24.0,998,1,Ball Progressor,55.8,55.8,3.1834847606226413
Danny Williams,1718,Huddersfield,ENG-Premier League,MF,28.0,1124,0,Defensive Anchor,51.3,51.3,2.938591186820728
Jonathan Hogg,1718,Huddersfield,ENG-Premier League,MF,28.0,2398,0,Defensive Anchor,16.1,16.1,3.7559157183125778
Tom Ince,1718,Huddersfield,ENG-Premier League,"MF,FW",25.0,2452,1,Ball Progressor,73.1,73.1,2.7601194498537556
Demarai Gray,1718,Leicester City,ENG-Premier League,"MF,FW",21.0,1697,1,Ball Progressor,43.6,43.6,3.483453137974881
Marc Albrighton,1718,Leicester City,ENG-Premier League,"MF,FW",27.0,2538,1,Ball Progressor,96.7,96.7,2.1826544359034967
Matty James,1718,Leicester City,ENG-Premier League,MF,26.0,993,0,Defensive Anchor,79.9,79.9,2.274501758080803
Riyad Mahrez,1718,Leicester City,ENG-Premier League,"MF,FW",26.0,2950,2,Creative Playmaker,100.0,100.0,1.809982020601167
Vicente Iborra,1718,Leicester City,ENG-Premier League,MF,29.0,1410,0,Defensive Anchor,56.7,56.7,2.8126509200992653
Wilfred Ndidi,1718,Leicester City,ENG-Premier League,MF,20.0,2896,0,Defensive Anchor,10.1,10.1,3.8955651367870296
Alex Oxlade-Chamberlain,1718,Liverpool,ENG-Premier League,"MF,FW",23.0,1493,2,Creative Playmaker,63.7,63.7,3.770854690941015
Emre Can,1718,Liverpool,ENG-Premier League,MF,23.0,2091,3,Box-to-Box Engine,60.0,60.0,3.2563414640349646
Georginio Wijnaldum,1718,Liverpool,ENG-Premier League,MF,26.0,2387,0,Defensive Anchor,50.3,50.3,2.9614276843863245
James Milner,1718,Liverpool,ENG-Premier League,MF,31.0,1775,3,Box-to-Box Engine,0.0,0.0,4.95659391734346
Jordan Henderson,1718,Liverpool,ENG-Premier League,MF,27.0,2171,3,Box-to-Box Engine,57.7,57.7,3.3208538901733045
Philippe Coutinho,1718,Liverpool,ENG-Premier League,"MF,FW",25.0,1109,2,Creative Playmaker,0.0,0.0,6.171028312961311
Philippe Coutinho,1718,Liverpool,ENG-Premier League,"MF,FW",25.0,1296,2,Creative Playmaker,0.0,0.0,6.171028312961311
David Silva,1718,Manchester City,ENG-Premier League,MF,31.0,2430,2,Creative Playmaker,3.6,3.6,5.937956270737281
Fernandinho,1718,Manchester City,ENG-Premier League,MF,32.0,2881,3,Box-to-Box Engine,27.9,27.9,4.150055767517051
Kevin De Bruyne,1718,Manchester City,ENG-Premier League,MF,26.0,3073,2,Creative Playmaker,0.0,0.0,6.200200115592286
İlkay Gündoğan,1718,Manchester City,ENG-Premier League,MF,26.0,1517,3,Box-to-Box Engine,12.6,12.6,4.576033200892352
Ander Herrera,1718,Manchester Utd,ENG-Premier League,MF,27.0,1268,3,Box-to-Box Engine,11.3,11.3,4.612340560586507
Henrikh Mkhitaryan,1718,Manchester Utd,ENG-Premier League,"MF,FW",28.0,922,2,Creative Playmaker,86.4,86.4,2.9530599438849685
Jesse Lingard,1718,Manchester Utd,ENG-Premier League,"MF,FW",24.0,1817,2,Creative Playmaker,71.9,71.9,3.476117572186641
Nemanja Matić,1718,Manchester Utd,ENG-Premier League,MF,28.0,3118,3,Box-to-Box Engine,37.2,37.2,3.8913493581995215
Paul Pogba,1718,Manchester Utd,ENG-Premier League,MF,24.0,2148,2,Creative Playmaker,23.8,23.8,5.209953091415695
Ayoze Pérez,1718,Newcastle Utd,ENG-Premier League,"MF,FW",24.0,2492,1,Ball Progressor,99.5,99.5,2.113726716487923
Isaac Hayden,1718,Newcastle Utd,ENG-Premier League,MF,22.0,1374,0,Defensive Anchor,82.3,82.3,2.220015986492627
Jacob Murphy,1718,Newcastle Utd,ENG-Premier League,"MF,FW",22.0,1148,1,Ball Progressor,58.6,58.6,3.114553427847988
Jonjo Shelvey,1718,Newcastle Utd,ENG-Premier League,MF,25.0,2268,3,Box-to-Box Engine,98.8,98.8,2.175862031222499
Kenedy,1718,Newcastle Utd,ENG-Premier League,"MF,DF",21.0,1023,1,Ball Progressor,42.7,42.7,3.5041838978956736
Matt Ritchie,1718,Newcastle Utd,ENG-Premier League,"MF,FW",27.0,2804,1,Ball Progressor,100.0,100.0,1.9265911680817396
Mikel Merino,1718,Newcastle Utd,ENG-Premier League,MF,21.0,1347,3,Box-to-Box Engine,20.3,20.3,4.362386640084695
Mohamed Diamé,1718,Newcastle Utd,ENG-Premier League,MF,30.0,2041,0,Defensive Anchor,41.9,41.9,3.1571619210554616
Dušan Tadić,1718,Southampton,ENG-Premier League,"MF,FW",28.0,2791,2,Creative Playmaker,64.1,64.1,3.7550451139880514
Mario Lemina,1718,Southampton,ENG-Premier League,MF,23.0,1720,0,Defensive Anchor,3.6,3.6,4.046141063191583
Oriol Romeu,1718,Southampton,ENG-Premier League,MF,25.0,2897,0,Defensive Anchor,22.6,22.6,3.6058706167018473
