player,season,team,league,pos_,age_,Playing Time_Min,primary_role,secondary_role,primary_role_similarity,secondary_role_similarity,role_confidence,role_ambiguity,primary_role_cluster,secondary_role_cluster
Aaron Ramsey,1718,Arsenal,ENG-Premier League,MF,26.0,1846,Creative Playmaker,Box-to-Box Engine,35.9,23.3,12.6,87.4,2,3
Alex Iwobi,1718,Arsenal,ENG-Premier League,"MF,FW",21.0,1830,Creative Playmaker,Ball Progressor,38.2,23.4,14.8,85.2,2,1
Alexis Sánchez,1718,Arsenal,ENG-Premier League,"MF,FW",28.0,1503,Creative Playmaker,Ball Progressor,35.6,23.8,11.8,88.2,2,1
Alexis Sánchez,1718,Arsenal,ENG-Premier League,"MF,FW",28.0,1043,Creative Playmaker,Ball Progressor,35.6,23.8,11.8,88.2,2,1
Granit Xhaka,1718,Arsenal,ENG-Premier League,MF,24.0,3260,Box-to-Box Engine,Defensive Anchor,37.9,21.6,16.3,83.7,3,0
Jack Wilshere,1718,Arsenal,ENG-Premier League,MF,25.0,1193,Box-to-Box Engine,Creative Playmaker,30.8,25.4,5.4,94.6,3,2
Mesut Özil,1718,Arsenal,ENG-Premier League,"MF,FW",28.0,2163,Creative Playmaker,Box-to-Box Engine,34.9,23.3,11.6,88.4,2,3
Andrew Surman,1718,Bournemouth,ENG-Premier League,MF,30.0,1856,Defensive Anchor,Box-to-Box Engine,29.8,29.1,0.7,99.3,0,3
Dan Gosling,1718,Bournemouth,ENG-Premier League,MF,27.0,1947,Defensive Anchor,Box-to-Box Engine,37.7,27.2,10.5,89.5,0,3
Harry Arter,1718,Bournemouth,ENG-Premier League,MF,27.0,960,Defensive Anchor,Box-to-Box Engine,34.4,27.6,6.8,93.2,0,3
Jordon Ibe,1718,Bournemouth,ENG-Premier League,"MF,FW",21.0,1995,Creative Playmaker,Ball Progressor,31.8,29.5,2.3,97.7,2,1
Junior Stanislas,1718,Bournemouth,ENG-Premier League,"MF,FW",27.0,1286,Creative Playmaker,Ball Progressor,33.0,29.6,3.4,96.6,2,1
Lewis Cook,1718,Bournemouth,ENG-Premier League,MF,20.0,2237,Box-to-Box Engine,Defensive Anchor,36.1,27.1,9.0,91.0,3,0
Marc Pugh,1718,Bournemouth,ENG-Premier League,"MF,FW",30.0,985,Ball Progressor,Creative Playmaker,30.5,25.8,4.7,95.3,1,2
Ryan Fraser,1718,Bournemouth,ENG-Premier League,"MF,DF",23.0,2004,Ball Progressor,Creative Playmaker,31.4,30.2,1.2,98.8,1,2
Anthony Knockaert,1718,Brighton,ENG-Premier League,"MF,FW",25.0,2421,Ball Progressor,Box-to-Box Engine,32.0,24.7,7.3,92.7,1,3
Dale Stephens,1718,Brighton,ENG-Premier League,MF,28.0,3240,Defensive Anchor,Box-to-Box Engine,39.8,26.0,13.8,86.2,0,3
Davy Pröpper,1718,Brighton,ENG-Premier League,MF,25.0,3119,Defensive Anchor,Box-to-Box Engine,43.5,23.4,20.1,79.9,0,3
José Izquierdo,1718,Brighton,ENG-Premier League,"MF,FW",25.0,1984,Ball Progressor,Creative Playmaker,33.8,25.1,8.7,91.3,1,2
Solly March,1718,Brighton,ENG-Premier League,"MF,FW",23.0,1851,Ball Progressor,Defensive Anchor,33.5,23.9,9.6,90.4,1,0
Aaron Lennon,1718,Burnley,ENG-Premier League,MF,30.0,1118,Ball Progressor,Defensive Anchor,34.5,26.0,8.5,91.5,1,0
Ashley Westwood,1718,Burnley,ENG-Premier League,MF,27.0,1111,Defensive Anchor,Box-to-Box Engine,38.4,24.8,13.6,86.4,0,3
Jack Cork,1718,Burnley,ENG-Premier League,MF,28.0,3420,Defensive Anchor,Ball Progressor,40.7,23.0,17.7,82.3,0,1
Jóhann Berg Guðmundsson,1718,Burnley,ENG-Premier League,MF,26.0,2833,Ball Progressor,Creative Playmaker,33.9,24.3,9.6,90.4,1,2
Robbie Brady,1718,Burnley,ENG-Premier League,MF,25.0,1277,Ball Progressor,Box-to-Box Engine,32.1,24.0,8.1,91.9,1,3
Scott Arfield,1718,Burnley,ENG-Premier League,"MF,FW",28.0,1333,Defensive Anchor,Ball Progressor,32.4,30.2,2.2,97.8,0,1
Steven Defour,1718,Burnley,ENG-Premier League,MF,29.0,1997,Defensive Anchor,Box-to-Box Engine,31.7,28.6,3.1,96.9,0,3
Cesc Fàbregas,1718,Chelsea,ENG-Premier League,MF,30.0,2306,Creative Playmaker,Box-to-Box Engine,30.4,27.8,2.6,97.4,2,3
N'Golo Kanté,1718,Chelsea,ENG-Premier League,MF,26.0,2994,Box-to-Box Engine,Defensive Anchor,33.5,25.7,7.8,92.2,3,0
Pedro,1718,Chelsea,ENG-Premier League,"MF,FW",30.0,1523,Creative Playmaker,Ball Progressor,30.1,29.6,0.5,99.5,2,1
Tiemoué Bakayoko,1718,Chelsea,ENG-Premier League,MF,22.0,2126,Defensive Anchor,Box-to-Box Engine,36.0,27.9,8.1,91.9,0,3
Willian,1718,Chelsea,ENG-Premier League,"MF,FW",28.0,1890,Creative Playmaker,Ball Progressor,40.6,22.5,18.1,81.9,2,1
James McArthur,1718,Crystal Palace,ENG-Premier League,MF,29.0,2431,Defensive Anchor,Ball Progressor,35.6,26.5,9.1,90.9,0,1
Luka Milivojević,1718,Crystal Palace,ENG-Premier League,MF,26.0,3080,Defensive Anchor,Box-to-Box Engine,33.0,27.4,5.6,94.4,0,3
Ruben Loftus-Cheek,1718,Crystal Palace,ENG-Premier League,MF,21.0,1874,Creative Playmaker,Ball Progressor,28.9,28.3,0.6,99.4,2,1
Yohan Cabaye,1718,Crystal Palace,ENG-Premier League,MF,31.0,2376,Defensive Anchor,Box-to-Box Engine,29.6,28.5,1.1,98.9,0,3
Gylfi Sigurðsson,1718,Everton,ENG-Premier League,"MF,FW",27.0,2259,Ball Progressor,Defensive Anchor,33.5,24.9,8.6,91.4,1,0
Idrissa Gana Gueye,1718,Everton,ENG-Premier League,MF,27.0,2750,Defensive Anchor,Box-to-Box Engine,35.4,27.1,8.3,91.7,0,3
Morgan Schneiderlin,1718,Everton,ENG-Premier League,MF,27.0,2130,Defensive Anchor,Box-to-Box Engine,38.4,24.5,13.9,86.1,0,3
Tom Davies,1718,Everton,ENG-Premier League,MF,19.0,1900,Defensive Anchor,Ball Progressor,31.6,30.8,0.8,99.2,0,1
Wayne Rooney,1718,Everton,ENG-Premier League,"MF,FW",31.0,2268,Ball Progressor,Creative Playmaker,30.7,24.3,6.4,93.6,1,2
