player,season,team,role,similar_player,similar_team,similar_league,similar_season,similar_pos,similarity_score,rank
Aaron Hunt,1718,Hamburger SV,Creative Playmaker,Pascal Groß,Brighton,ENG-Premier League,2021,"MF,DF",90.7,1
Aaron Hunt,1718,Hamburger SV,Creative Playmaker,Téji Savanier,Montpellier,FRA-Ligue 1,2425,MF,90.3,2
Aaron Hunt,1718,Hamburger SV,Creative Playmaker,Robert Snodgrass,West Ham,ENG-Premier League,1819,MF,87.8,3
Aaron Hunt,1718,Hamburger SV,Creative Playmaker,Piotr Zieliński,Napoli,ITA-Serie A,2223,MF,87.0,4
Aaron Hunt,1718,Hamburger SV,Creative Playmaker,Mark Uth,Köln,GER-Bundesliga,2122,"MF,FW",86.3,5
Aaron Lennon,1718,Burnley,Ball Progressor,Aleix Vidal,Espanyol,ESP-La Liga,2223,"MF,FW",81.3,1
Aaron Lennon,1718,Burnley,Ball Progressor,Patrick Ciurria,Monza,ITA-Serie A,2425,"MF,DF",80.7,2
Aaron Lennon,1718,Burnley,Ball Progressor,André Ayew,Swansea City,ENG-Premier League,1718,"MF,FW",78.8,3
Aaron Lennon,1718,Burnley,Ball Progressor,Salvi,Cádiz,ESP-La Liga,2122,"MF,FW",78.5,4
Aaron Lennon,1718,Burnley,Ball Progressor,Jóhann Berg Guðmundsson,Burnley,ENG-Premier League,2122,MF,78.0,5
Aaron Lennon,1819,Burnley,Ball Progressor,Patrick Ciurria,Monza,ITA-Serie A,2425,"MF,DF",85.6,1
Aaron Lennon,1819,Burnley,Ball Progressor,Anuar,Valladolid,ESP-La Liga,2425,"MF,FW",81.2,2
Aaron Lennon,1819,Burnley,Ball Progressor,Florent Mollet,Schalke 04,GER-Bundesliga,2223,MF,77.6,3
Aaron Lennon,1819,Burnley,Ball Progressor,Masaya Okugawa,Arminia,GER-Bundesliga,2021,MF,77.3,4
Aaron Lennon,1819,Burnley,Ball Progressor,Selim Amallah,Valladolid,ESP-La Liga,2425,MF,77.0,5
Aaron Lennon,2122,Burnley,Ball Progressor,Anuar,Valladolid,ESP-La Liga,2425,"MF,FW",85.1,1
Aaron Lennon,2122,Burnley,Ball Progressor,Theo Walcott,Southampton,ENG-Premier League,2021,"MF,FW",83.0,2
Aaron Lennon,2122,Burnley,Ball Progressor,André Hahn,Augsburg,GER-Bundesliga,2122,"MF,FW",81.2,3
Aaron Lennon,2122,Burnley,Ball Progressor,Josan,Elche,ESP-La Liga,2021,"MF,DF",81.0,4
Aaron Lennon,2122,Burnley,Ball Progressor,Rômulo,Brescia,ITA-Serie A,1920,MF,80.4,5
Aaron Mooy,1718,Huddersfield,Box-to-Box Engine,Abdoulaye Doucouré,Watford,ENG-Premier League,1718,MF,84.9,1
Aaron Mooy,1718,Huddersfield,Box-to-Box Engine,Remo Freuler,Atalanta,ITA-Serie A,1718,MF,84.8,2
Aaron Mooy,1718,Huddersfield,Box-to-Box Engine,Youri Tielemans,Leicester City,ENG-Premier League,2021,MF,83.6,3
Aaron Mooy,1718,Huddersfield,Box-to-Box Engine,Manu Trigueros,Villarreal,ESP-La Liga,1718,MF,83.5,4
Aaron Mooy,1718,Huddersfield,Box-to-Box Engine,Thiago Mendes,Lille,FRA-Ligue 1,1819,MF,83.5,5
Aaron Mooy,1819,Huddersfield,Box-to-Box Engine,N'Golo Kanté,Chelsea,ENG-Premier League,1819,MF,67.7,1
Aaron Mooy,1819,Huddersfield,Box-to-Box Engine,Allan,Napoli,ITA-Serie A,1718,MF,65.3,2
Aaron Mooy,1819,Huddersfield,Box-to-Box Engine,Remo Freuler,Atalanta,ITA-Serie A,1718,MF,64.4,3
Aaron Mooy,1819,Huddersfield,Box-to-Box Engine,João Moutinho,Wolves,ENG-Premier League,1819,MF,63.5,4
Aaron Mooy,1819,Huddersfield,Box-to-Box Engine,Renaud Cohade,Metz,FRA-Ligue 1,1718,MF,62.4,5
Aaron Mooy,1920,Brighton,Ball Progressor,Roberto Soriano,Torino,ITA-Serie A,1819,MF,71.3,1
Aaron Mooy,1920,Brighton,Ball Progressor,Marcos Llorente,Atlético Madrid,ESP-La Liga,2223,"MF,DF",67.0,2
Aaron Mooy,1920,Brighton,Ball Progressor,Henrikh Mkhitaryan,Roma,ITA-Serie A,2122,"MF,FW",65.3,3
Aaron Mooy,1920,Brighton,Ball Progressor,Vladimír Darida,Hertha BSC,GER-Bundesliga,1920,MF,65.3,4
Aaron Mooy,1920,Brighton,Ball Progressor,Nathan Redmond,Southampton,ENG-Premier League,2021,"MF,FW",62.0,5
Aaron Ramsey,1718,Arsenal,Creative Playmaker,Josip Iličić,Atalanta,ITA-Serie A,1718,"MF,FW",88.0,1
Aaron Ramsey,1718,Arsenal,Creative Playmaker,Neymar,Paris S-G,FRA-Ligue 1,1920,"MF,FW",87.7,2
Aaron Ramsey,1718,Arsenal,Creative Playmaker,Julian Brandt,Dortmund,GER-Bundesliga,2122,"MF,FW",86.8,3
Aaron Ramsey,1718,Arsenal,Creative Playmaker,Leroy Sané,Bayern Munich,GER-Bundesliga,2223,"MF,FW",86.5,4
Aaron Ramsey,1718,Arsenal,Creative Playmaker,Isco,Real Madrid,ESP-La Liga,1718,MF,86.3,5
Aaron Ramsey,1819,Arsenal,Creative Playmaker,Vincenzo Grifo,Hoffenheim,GER-Bundesliga,1819,"MF,FW",85.4,1
Aaron Ramsey,1819,Arsenal,Creative Playmaker,Hakim Ziyech,Chelsea,ENG-Premier League,2122,"MF,FW",84.7,2
Aaron Ramsey,1819,Arsenal,Creative Playmaker,Leroy Sané,Bayern Munich,GER-Bundesliga,2223,"MF,FW",84.6,3
Aaron Ramsey,1819,Arsenal,Creative Playmaker,Alexis Sánchez,Arsenal,ENG-Premier League,1718,"MF,FW",83.8,4
Aaron Ramsey,1819,Arsenal,Creative Playmaker,Franck Ribéry,Bayern Munich,GER-Bundesliga,1819,"MF,FW",83.3,5
