player_name_fbref,club,league,season,season_start_year_fbref,position,position_group,age_fbref,matches_played,starts,minutes_played,nineties,goals,assists,g_a,goals_minus_pk,penalties_scored,penalties_attempted,yellow_cards,red_cards,goals_per90,assists_per90,g_a_per90,goals_minus_pk_per90,g_a_minus_pk_per90,player_name_norm,player_id_tm,player_name_tm,season_start_year_tm,valuation_date,market_value_eur,log_market_value_eur,market_value_prev_eur,market_value_next_eur,market_value_growth_1y,delta_log_market_value_1y,age_tm,date_of_birth,nationality,position_tm,sub_position_tm,foot,height_in_cm,current_club_name_tm,current_club_id_tm,competition_id_tm,source,matching_method,matching_confidence,age_diff,club_score,matching_status,season_start_year,age,log_minutes_played,predicted_log_market_value,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score,inefficiency_score_z
António Silva,Benfica,Liga Portugal,2024-2025,2024,DF,DEF,20.0,23,22,2037,22.6,1,2,3,1,0,0,2,0,0.04,0.09,0.13,0.04,0.13,antonio silva,650568.0,António Silva,2024.0,2024-10-08,40000000.0,17.50439001207821,45000000.0,38000000.0,-0.05,-0.051293294387551924,20.941820670773442,2003-10-30 00:00:00,Portugal,Defender,Centre-Back,right,187.0,Sport Lisboa e Benfica,294.0,PO1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,0.941820670773442,48.275862068965516,True,2024,20.941820670773442,7.61972421378267,14.786069225154824,2639418.604113901,-37360581.3958861,-0.9340145348971525,-0.9340145348971525,-0.793834457419322
Ousmane Diomande,Sporting CP,Liga Portugal,2024-2025,2024,DF,DEF,20.0,31,29,2521,28.0,2,0,2,2,0,0,7,2,0.07,0.0,0.07,0.07,0.07,ousmane diomande,974982.0,Ousmane Diomande,2024.0,2024-12-19,40000000.0,17.50439001207821,40000000.0,45000000.0,0.125,0.11778303565638382,21.04312114989733,2003-12-04 00:00:00,Cote d'Ivoire,Defender,Centre-Back,right,190.0,Sporting Clube de Portugal,336.0,PO1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,1.0431211498973312,59.45945945945945,True,2024,21.04312114989733,7.8328075165248645,14.788127641557976,2644857.222213426,-37355142.777786575,-0.9338785694446644,-0.9338785694446644,-0.7937559523434378
Gavi,Barcelona,LaLiga,2024-2025,2024,MF,MID,19.0,26,14,1085,12.1,1,1,2,1,0,0,4,0,0.08,0.08,0.17,0.08,0.17,gavi,646740.0,Gavi,2024.0,2024-12-27,80000000.0,18.197537192638155,90000000.0,70000000.0,-0.125,-0.13353139262452274,20.39425051334702,2004-08-05 00:00:00,Spain,Midfield,Central Midfield,right,173.0,Futbol Club Barcelona,131.0,ES1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,1.3942505133470213,60.0,True,2024,20.39425051334702,6.990256500493881,15.614787064089334,6045272.164469106,-73954727.83553089,-0.9244340979441361,-0.9244340979441361,-0.7883028101057025
Johan Bakayoko,PSV,Eredivisie,2024-2025,2024,"FW,MF",MID,21.0,30,17,1579,17.5,9,1,10,9,0,0,1,0,0.51,0.06,0.57,0.51,0.57,johan bakayoko,565424.0,Johan Bakayoko,2024.0,2024-12-17,40000000.0,17.50439001207821,45000000.0,35000000.0,-0.125,-0.13353139262452274,21.661875427789184,2003-04-20 00:00:00,Belgium,Attack,Right Winger,left,179.0,RasenBallsport Leipzig,23826.0,L1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,0.6618754277891838,16.000000000000004,True,2024,21.661875427789184,7.365180126021013,14.927389144023373,3040064.055423385,-36959935.94457661,-0.9239983986144154,-0.9239983986144154,-0.7880512417233191
Endrick,Real Madrid,LaLiga,2024-2025,2024,FW,ATT,18.0,22,3,363,4.0,1,0,1,1,0,0,1,0,0.25,0.0,0.25,0.25,0.25,endrick,971570.0,Endrick,2024.0,2024-12-27,40000000.0,17.50439001207821,60000000.0,35000000.0,-0.125,-0.13353139262452274,18.43668720054757,2006-07-21 00:00:00,Brazil,Attack,Centre-Forward,left,173.0,Olympique Lyonnais,1041.0,FR1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,0.4366872005475706,27.586206896551722,True,2024,18.43668720054757,5.8971538676367405,15.042032941468404,3409352.475918564,-36590647.52408144,-0.9147661881020359,-0.9147661881020359,-0.7827206568314165
Jorrel Hato,Ajax,Eredivisie,2024-2025,2024,DF,DEF,18.0,31,30,2588,28.8,2,6,8,2,0,0,5,0,0.07,0.21,0.28,0.07,0.28,jorrel hato,904802.0,Jorrel Hato,2024.0,2024-12-17,30000000.0,17.216707939626428,30000000.0,35000000.0,0.16666666666666666,0.15415067982726072,18.781656399726216,2006-03-07 00:00:00,Netherlands,Defender,Left-Back,left,182.0,Chelsea Football Club,631.0,GB1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,0.7816563997262165,16.000000000000004,True,2024,18.781656399726216,7.859026979751538,14.76097966336345,2574020.5823660614,-27425979.41763394,-0.9141993139211313,-0.9141993139211313,-0.7823933494178466
Brian Brobbey,Ajax,Eredivisie,2024-2025,2024,FW,ATT,22.0,30,22,1555,17.3,4,3,7,4,0,0,6,0,0.23,0.17,0.41,0.23,0.41,brian brobbey,473169.0,Brian Brobbey,2024.0,2024-12-17,30000000.0,17.216707939626428,35000000.0,27000000.0,-0.1,-0.105360515657825,22.874743326488705,2002-02-01 00:00:00,Netherlands,Attack,Centre-Forward,right,180.0,Sunderland Association Football Club,289.0,GB1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,0.874743326488705,9.999999999999998,True,2024,22.874743326488705,7.349873704738337,14.781497512509414,2627379.4813784584,-27372620.51862154,-0.9124206839540514,-0.9124206839540514,-0.7813663864799794
Warren Zaïre-Emery,Paris Saint-Germain,Ligue 1,2024-2025,2024,"MF,DF",DEF,18.0,29,23,2050,22.8,1,2,3,1,0,0,3,0,0.04,0.09,0.13,0.04,0.13,warren zaire emery,810092.0,Warren Zaïre-Emery,2024.0,2024-12-10,60000000.0,17.909855120186375,60000000.0,55000000.0,-0.08333333333333333,-0.08701137698962924,18.759753593429156,2006-03-08 00:00:00,France,Midfield,Central Midfield,right,178.0,Paris Saint-Germain Football Club,583.0,FR1,transfermarkt_kaggle_player_scores,exact_age_club_validated,1.0,0.7597535934291564,73.07692307692308,True,2024,18.759753593429156,7.62608275807238,15.48365078951557,5302297.576125475,-54697702.42387453,-0.9116283737312422,-0.9116283737312422,-0.7809089145779096
Eduardo Camavinga,Real Madrid,LaLiga,2024-2025,2024,"MF,DF",DEF,21.0,19,11,1102,12.2,1,2,3,1,0,0,2,0,0.08,0.16,0.25,0.08,0.25,eduardo camavinga,640428.0,Eduardo Camavinga,2024.0,2024-12-27,80000000.0,18.197537192638155,100000000.0,70000000.0,-0.125,-0.13353139262452274,22.130047912388775,2002-11-10 00:00:00,France,Midfield,Central Midfield,left,182.0,Real Madrid Club de Fútbol,418.0,ES1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,1.1300479123887754,59.45945945945945,True,2024,22.130047912388775,7.005789019253503,15.87441787472775,7837401.332800838,-72162598.66719916,-0.9020324833399895,-0.9020324833399895,-0.775368344605488
Ahmetcan Kaplan,Ajax,Eredivisie,2024-2025,2024,DF,DEF,21.0,8,7,562,6.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ahmetcan kaplan,662131.0,Ahmetcan Kaplan,2024.0,2024-10-14,8000000.0,15.89495209964411,10000000.0,6000000.0,-0.25,-0.2876820724517799,21.744010951403148,2003-01-16 00:00:00,Türkiye,Defender,Centre-Back,left,189.0,Nijmegen Eendracht Combinatie,467.0,NL1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,0.7440109514031477,12.121212121212121,True,2024,21.744010951403148,6.333279628139691,13.578789149597378,789211.1250099952,-7210788.874990005,-0.9013486093737506,-0.9013486093737506,-0.7749734827002583
