player_name_fbref,club,league,season,season_start_year_fbref,position,position_group,age_fbref,matches_played,starts,minutes_played,nineties,goals,assists,g_a,goals_minus_pk,penalties_scored,penalties_attempted,yellow_cards,red_cards,goals_per90,assists_per90,g_a_per90,goals_minus_pk_per90,g_a_minus_pk_per90,player_name_norm,player_id_tm,player_name_tm,season_start_year_tm,valuation_date,market_value_eur,log_market_value_eur,market_value_prev_eur,market_value_next_eur,market_value_growth_1y,delta_log_market_value_1y,age_tm,date_of_birth,nationality,position_tm,sub_position_tm,foot,height_in_cm,current_club_name_tm,current_club_id_tm,competition_id_tm,source,matching_method,matching_confidence,age_diff,club_score,matching_status,season_start_year,age,log_minutes_played,predicted_log_market_value,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score,inefficiency_score_z
Antony,Manchester Utd,Premier League,2022-2023,2022,MF,MID,22.0,25,23,1802,20.0,4,2,6,4,0,0,5,0,0.2,0.1,0.3,0.2,0.3,antony,798687.0,Antony,2022.0,2023-06-16,600000.0,13.304684934198283,400000.0,1800000.0,2.0,1.0986122886681091,21.76865160848734,2001-09-08 00:00:00,Brazil,Attack,Left Winger,right,185.0,Portland Timbers,4291.0,MLS1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,0.23134839151266107,33.333333333333336,True,2022,21.76865160848734,7.497207223203318,16.82364924035399,20249673.751580786,19649673.751580786,32.749456252634644,32.749456252634644,16.287928258172034
Mohamed Bamba,Lorient,Ligue 1,2023-2024,2023,FW,ATT,21.0,16,14,1138,12.6,8,3,11,7,1,1,3,0,0.63,0.24,0.87,0.55,0.79,mohamed bamba,619461.0,Mohamed Bamba,2023.0,2023-09-11,500000.0,13.122363377404328,300000.0,1200000.0,1.4,0.8754687373539003,21.752224503764545,2001-12-10 00:00:00,Cote d'Ivoire,Attack,Centre-Forward,right,185.0,Football Club Lorient-Bretagne Sud,1158.0,FR1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,0.7522245037645447,34.14634146341463,True,2023,21.752224503764545,7.037905963447182,16.31599008639023,12188337.213747656,11688337.213747656,23.376674427495313,23.376674427495313,11.534907648568769
Pascal Struijk,Leeds United,Premier League,2020-2021,2020,"DF,MF",DEF,20.0,27,22,2075,23.1,1,0,1,1,0,0,3,0,0.04,0.0,0.04,0.04,0.04,pascal struijk,410708.0,Pascal Struijk,2020.0,2020-10-13,750000.0,13.527828485512494,,2500000.0,2.3333333333333335,1.203972804325936,21.17453798767967,1999-08-11 00:00:00,Netherlands,Defender,Centre-Back,left,190.0,Leeds United Association Football Club,399.0,GB1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,1.1745379876796704,48.0,True,2020,21.17453798767967,7.638198244285779,16.48249645787754,14396511.206666913,13646511.206666913,18.195348275555883,18.195348275555883,8.907411303866601
Lasse Rosenboom,Holstein Kiel,Bundesliga,2024-2025,2024,MF,MID,22.0,26,21,1734,19.3,2,2,4,2,0,0,3,0,0.1,0.1,0.21,0.1,0.21,lasse rosenboom,512352.0,Lasse Rosenboom,2024.0,2024-12-20,500000.0,13.122363377404328,500000.0,1000000.0,1.0,0.6931471805599454,22.91854893908282,2002-01-19 00:00:00,Germany,Defender,Right-Back,right,190.0,Holstein Kiel,269.0,L1,transfermarkt_kaggle_player_scores,exact_age_club_validated,1.0,0.9185489390828216,100.0,True,2024,22.91854893908282,7.45876269238096,16.071604985900716,9545734.714167481,9045734.714167481,18.091469428334964,18.091469428334964,8.854733421146813
Romain Faivre,Brest,Ligue 1,2020-2021,2020,"MF,FW",MID,22.0,36,33,2891,32.1,6,5,11,5,1,1,0,0,0.19,0.16,0.34,0.16,0.31,romain faivre,555076.0,Romain Faivre,2020.0,2020-08-03,500000.0,13.122363377404328,450000.0,3000000.0,5.0,1.7917594692280563,22.05612594113621,1998-07-14 00:00:00,France,Midfield,Attacking Midfield,left,180.0,Association de la Jeunesse auxerroise,290.0,FR1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,0.056125941136208723,14.28571428571429,True,2020,22.05612594113621,7.969703583278656,16.067408331276646,9505758.504283583,9005758.504283583,18.011517008567164,18.011517008567164,8.814188841529614
Denis Huseinbasic,Köln,Bundesliga,2022-2023,2022,"MF,FW",MID,21.0,24,7,791,8.8,4,1,5,4,0,0,3,0,0.46,0.11,0.57,0.46,0.57,denis huseinbasic,678479.0,Denis Huseinbasic,2022.0,2022-09-21,500000.0,13.122363377404328,250000.0,2000000.0,3.0,1.3862943611198908,21.218343600273784,2001-07-03 00:00:00,Bosnia-Herzegovina,Midfield,Central Midfield,right,184.0,1. Fußball-Club Köln,3.0,L1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,0.21834360027378352,38.095238095238095,True,2022,21.218343600273784,6.674561391814426,15.972393562947488,8644151.84476431,8144151.844764311,16.28830368952862,16.28830368952862,7.940332117566951
Christoph Baumgartner,Hoffenheim,Bundesliga,2019-2020,2019,"MF,FW",MID,19.0,26,17,1493,16.6,7,2,9,7,0,0,3,0,0.42,0.12,0.54,0.42,0.54,christoph baumgartner,324278.0,Christoph Baumgartner,2019.0,2019-10-02,800000.0,13.592367006650065,500000.0,2000000.0,1.5,0.9162907318741542,20.16974674880219,1999-08-01 00:00:00,Austria,Midfield,Attacking Midfield,right,180.0,RasenBallsport Leipzig,23826.0,L1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,1.16974674880219,12.5,True,2019,20.16974674880219,7.309212365692763,16.37694902573606,12954438.461601546,12154438.461601546,15.193048077001933,15.193048077001933,7.384918303798207
Dara O'Shea,West Brom,Premier League,2020-2021,2020,DF,DEF,21.0,28,25,2102,23.4,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,dara o shea,401320.0,Dara O'Shea,2020.0,2020-10-13,900000.0,13.710150042306449,900000.0,2500000.0,1.7777777777777777,1.021651247531981,21.61259411362081,1999-03-04 00:00:00,Ireland,Defender,Centre-Back,right,189.0,Ipswich Town,677.0,GB1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,0.6125941136208084,19.047619047619047,True,2020,21.61259411362081,7.6511201757027,16.44872725147019,13918469.421460822,13018469.421460822,14.464966023845358,14.464966023845358,7.0157014513527995
Luiz Felipe,Lazio,Serie A,2019-2020,2019,DF,DEF,22.0,26,24,2024,22.5,1,1,2,1,0,0,6,0,0.04,0.04,0.09,0.04,0.09,luiz felipe,573907.0,Luiz Felipe,2019.0,2020-01-08,500000.0,13.122363377404328,500000.0,400000.0,-0.2,-0.22314355131420882,22.70773442847365,1997-04-24 00:00:00,Brazil,Goalkeeper,Goalkeeper,left,198.0,SC Farense,4294.0,PO1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,0.7077344284736498,13.33333333333333,True,2019,22.70773442847365,7.613324979540639,15.85072417401489,7653886.943961513,7153886.943961513,14.307773887923027,14.307773887923027,6.9359879281272345
Mario Martín,Valladolid,LaLiga,2024-2025,2024,MF,MID,20.0,30,20,1748,19.4,0,1,1,0,0,0,8,3,0.0,0.05,0.05,0.0,0.05,mario martin,948273.0,Mario Martín,2024.0,2024-10-11,500000.0,13.122363377404328,300000.0,800000.0,0.6,0.4700036292457366,20.602327173169062,2004-03-05 00:00:00,Spain,Midfield,Defensive Midfield,right,177.0,Getafe Club de Fútbol S. A. D. Team Dubai,3709.0,ES1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,0.602327173169062,20.833333333333336,True,2024,20.602327173169062,7.466799475018602,15.79028003420254,7204958.548217997,6704958.548217997,13.409917096435993,13.409917096435993,6.480676803423156
Nathan Tella,Southampton,Premier League,2020-2021,2020,"FW,MF",MID,21.0,18,7,745,8.3,1,1,2,1,0,0,2,0,0.12,0.12,0.24,0.12,0.24,nathan tella,340322.0,Nathan Tella,2020.0,2020-10-13,750000.0,13.527828485512494,,1500000.0,1.0,0.6931471805599454,21.27583846680356,1999-07-05 00:00:00,Nigeria,Attack,Right Winger,right,173.0,Bayer 04 Leverkusen Fußball,15.0,L1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,0.2758384668035596,11.428571428571432,True,2020,21.27583846680356,6.61472560020376,16.191615618992618,10762900.278535135,10012900.278535135,13.350533704713513,13.350533704713513,6.450562959956956
Papa Ndiaga Yade,Metz,Ligue 1,2020-2021,2020,"FW,MF",MID,20.0,28,9,1001,11.1,3,4,7,3,0,0,4,0,0.27,0.36,0.63,0.27,0.63,papa ndiaga yade,568702.0,Papa Ndiaga Yade,2020.0,2020-10-15,600000.0,13.304684934198283,250000.0,1500000.0,1.5,0.916290731874156,20.777549623545518,2000-01-05 00:00:00,Mauritania,Attack,Left Winger,left,185.0,FC Oleksandriya,18303.0,UKR1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,0.7775496235455179,10.526315789473683,True,2020,20.777549623545518,6.90975328164481,15.908657263457483,8110396.080709038,7510396.080709038,12.517326801181731,12.517326801181731,6.028036365565498
Dominik Javorček,Holstein Kiel,Bundesliga,2024-2025,2024,"MF,DF",DEF,21.0,13,4,386,4.3,0,2,2,0,0,0,2,0,0.0,0.47,0.47,0.0,0.47,dominik javorcek,610608.0,Dominik Javorcek,2024.0,2024-12-20,550000.0,13.217673557208654,550000.0,550000.0,0.0,0.0,22.132785763175907,2002-11-02 00:00:00,Slovakia,Defender,Left-Back,left,183.0,"SK Slavia Praha, a.s.",62.0,TS1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,1.1327857631759066,31.25,True,2024,22.132785763175907,5.958424693029782,15.795697824825577,7244099.43791243,6694099.43791243,12.171089887113508,12.171089887113508,5.852456562357261
Wilfried Singo,Torino,Serie A,2020-2021,2020,MF,MID,19.0,28,20,1854,20.6,1,2,3,1,0,0,4,1,0.05,0.1,0.15,0.05,0.15,wilfried singo,648779.0,Wilfried Singo,2020.0,2020-08-25,500000.0,13.122363377404328,150000.0,6000000.0,11.0,2.4849066497880017,19.665982203969882,2000-12-25 00:00:00,Cote d'Ivoire,Defender,Centre-Back,right,190.0,Galatasaray Spor Kulübü,141.0,TR1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,0.6659822039698824,20.68965517241379,True,2020,19.665982203969882,7.5256399750415355,15.613250330933624,6035989.3287462145,5535989.3287462145,11.071978657492428,11.071978657492428,5.295087531038993
Jack Hinshelwood,Brighton,Premier League,2023-2024,2023,"DF,MF",DEF,18.0,12,8,869,9.7,3,0,3,3,0,0,1,0,0.31,0.0,0.31,0.31,0.31,jack hinshelwood,867688.0,Jack Hinshelwood,2023.0,2023-10-09,1000000.0,13.815510557964274,,7000000.0,6.0,1.9459101490553135,18.494182067077343,2005-04-11 00:00:00,England,Midfield,Defensive Midfield,right,182.0,Brighton and Hove Albion Football Club,1237.0,GB1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,0.49418206707734313,34.78260869565217,True,2023,18.494182067077343,6.76849321164863,16.29500884057267,11935274.780491188,10935274.780491188,10.935274780491188,10.935274780491188,5.225763785226751
Gabriel Strefezza,SPAL,Serie A,2019-2020,2019,MF,MID,22.0,32,24,2110,23.4,1,2,3,1,0,0,9,1,0.04,0.09,0.13,0.04,0.13,gabriel strefezza,457673.0,Gabriel Strefezza,2019.0,2019-10-08,700000.0,13.458835614025542,300000.0,1500000.0,1.1428571428571428,0.762140052046897,22.472279260780287,1997-04-18 00:00:00,Brazil,Attack,Right Winger,right,168.0,Parma Calcio 1913,130.0,IT1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,0.4722792607802866,25.0,True,2019,22.472279260780287,7.65491704784832,15.908762009357183,8111245.655937417,7411245.655937417,10.58749379419631,10.58749379419631,5.04940096932784
Arne Engels,Augsburg,Bundesliga,2022-2023,2022,MF,MID,18.0,18,18,1440,16.0,0,3,3,0,0,0,5,0,0.0,0.19,0.19,0.0,0.19,arne engels,565435.0,Arne Engels,2022.0,2022-10-05,600000.0,13.304684934198283,350000.0,500000.0,-0.16666666666666666,-0.1823215567939549,19.07460643394935,2003-09-08 00:00:00,Belgium,Midfield,Central Midfield,right,185.0,The Celtic Football Club,371.0,SC1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,1.0746064339493486,12.5,True,2022,19.07460643394935,7.273092595999522,15.753174288208882,6942512.427404023,6342512.427404023,10.570854045673372,10.570854045673372,5.040962805595488
Yan Diomandé,Leganés,LaLiga,2024-2025,2024,MF,MID,17.0,10,6,545,6.1,2,1,3,2,0,0,1,0,0.33,0.17,0.5,0.33,0.5,yan diomande,1390649.0,Yan Diomande,2024.0,2025-05-05,600000.0,13.304684934198283,,1500000.0,1.5,0.916290731874156,18.472279260780287,2006-11-14 00:00:00,Cote d'Ivoire,Attack,Left Winger,right,180.0,RasenBallsport Leipzig,23826.0,L1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,1.4722792607802866,41.379310344827594,True,2024,18.472279260780287,6.302618975744905,15.74285036143445,6871207.146053758,6271207.146053758,10.452011910089597,10.452011910089597,4.980696906926652
Jorge Herrando,Osasuna,LaLiga,2023-2024,2023,DF,DEF,22.0,19,18,1644,18.3,0,1,1,0,0,0,4,0,0.0,0.05,0.05,0.0,0.05,jorge herrando,555500.0,Jorge Herrando,2023.0,2023-10-13,600000.0,13.304684934198283,400000.0,800000.0,0.3333333333333333,0.2876820724517817,22.62012320328542,2001-02-28 00:00:00,Spain,Defender,Centre-Back,left,192.0,Club Atlético Osasuna,331.0,ES1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,0.62012320328542,50.0,True,2023,22.62012320328542,7.405495663199472,15.721509573028207,6726123.771281423,6126123.771281423,10.210206285469038,10.210206285469038,4.8580751347803215
Johan Manzambi,Freiburg,Bundesliga,2024-2025,2024,MF,MID,18.0,11,4,335,3.7,2,1,3,2,0,0,2,0,0.54,0.27,0.81,0.54,0.81,johan manzambi,927353.0,Johan Manzambi,2024.0,2024-10-09,750000.0,13.527828485512494,250000.0,750000.0,0.0,0.0,18.986995208761122,2005-10-14 00:00:00,Switzerland,Midfield,Central Midfield,right,182.0,Sport-Club Freiburg,60.0,L1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,0.9869952087611225,59.25925925925925,True,2024,18.986995208761122,5.817111159963204,15.94137247160569,8380117.313676566,7630117.313676566,10.173489751568754,10.173489751568754,4.839455855510087
Michael Obafemi,Southampton,Premier League,2019-2020,2019,FW,ATT,19.0,21,8,665,7.4,3,2,5,3,0,0,1,0,0.41,0.27,0.68,0.41,0.68,michael obafemi,444208.0,Michael Obafemi,2019.0,2019-09-12,2000000.0,14.508657738524219,1000000.0,2500000.0,0.25,0.2231435513142106,19.184120465434635,2000-07-06 00:00:00,Ireland,Attack,Centre-Forward,right,170.0,Burnley Football Club,1132.0,GB1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,0.1841204654346349,18.75,True,2019,19.184120465434635,6.501289670540389,16.9139638983201,22163645.14281021,20163645.14281021,10.081822571405105,10.081822571405105,4.792970617224327
