player_name_fbref,player_id_tm,club,current_club_name_tm,league,season,position_group,age,minutes_played,market_value_eur,log_market_value_eur,model,feature_set,predicted_log_market_value_ml,predicted_market_value_ml_eur,residual_log_observed_minus_predicted,inefficiency_score_ml,market_value_growth_prev,delta_log_market_value_prev,growth_index,breakout_indicator,career_year,matching_confidence,matching_method,goals_per90,assists_per90,predicted_market_value_eur,residual_observed_minus_predicted_log,inefficiency_score_log,market_value_gap_eur,market_value_gap_pct,inefficiency_score_log_winsorized,market_value_gap_pct_winsorized,inefficiency_score_z,market_value_gap_pct_z,is_undervalued,is_overvalued,inefficiency_rank,market_value_growth_prev_growth_component_z,delta_log_market_value_prev_growth_component_z,growth_index_growth_component_z,breakout_indicator_growth_component_z,career_year_growth_component_z,growth_score_raw,growth_score_z,growth_score,growth_rank,high_growth_flag,matching_confidence_component,minutes_reliability_component,feature_completeness_component,temporal_stability_component,confidence_score_raw,confidence_score,confidence_score_z,confidence_rank,low_confidence_flag,position
Pape Matar Sarr,568693.0,Tottenham Hotspur,Tottenham Hotspur Football Club,Premier League,2024-2025,MID,22.25598904859685,1913,45000000.0,17.622173047734595,HistGradientBoosting,A_v13A_current,16.72090033375367,18272364.389627576,0.9012727139809265,-0.9012727139809265,0.0,0.0,-0.283298444277076,0,4,1.0,exact_age_club_validated,0.14,0.09,18272364.389627576,0.9012727139809265,-0.9012727139809265,-26727635.610372424,-0.5939474580082761,-0.9012727139809265,-0.5939474580082761,-0.8278702210458895,-0.7363833838807867,False,True,4847,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,-1.7834404731013829,-0.6373785784873676,-0.7074061460524678,7.565371053184755,5133,False,1.0,1.0,1.0,1.0,1.0,100.0,1.7633028085790543,16,False,MID
Pape Matar Sarr,568693.0,Tottenham Hotspur,Tottenham Hotspur Football Club,Premier League,2024-2025,MID,22.25598904859685,1913,45000000.0,17.622173047734595,RandomForest,B_v13B_advanced,16.642807931543913,16899725.4051262,0.9793651161906816,-0.9793651161906816,0.0,0.0,-0.283298444277076,0,4,1.0,exact_age_club_validated,0.14,0.09,16899725.4051262,0.9793651161906816,-0.9793651161906816,-28100274.5948738,-0.6244505465527511,-0.9793651161906816,-0.6244505465527511,-0.9098050576837172,-0.7604173417024835,False,True,4979,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,-1.7834404731013829,-0.6373785784873676,-0.7074061460524678,7.565371053184755,5141,False,1.0,1.0,1.0,1.0,1.0,100.0,1.7633028085790543,15,False,MID
Destiny Udogie,556385.0,Tottenham Hotspur,Tottenham Hotspur Football Club,Premier League,2024-2025,DEF,22.050650239561943,1924,45000000.0,17.622173047734595,XGBoost,A_v13A_current,16.382017135620117,13020259.0,1.2401559121144778,-1.2401559121144778,0.0,0.0,-0.283298444277076,0,4,1.0,exact_age_club_validated,0.0,0.05,13020259.632786611,1.2401559121144778,-1.2401559121144778,-31979740.36721339,-0.7106608970491864,-1.2401559121144778,-0.7106608970491864,-1.1834277233467807,-0.8283441001552867,False,True,5452,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,-1.7834404731013829,-0.6373785784873676,-0.7074061460524678,7.565371053184755,5182,False,1.0,1.0,1.0,1.0,1.0,100.0,1.7633028085790543,14,False,DEF
Pape Matar Sarr,568693.0,Tottenham Hotspur,Tottenham Hotspur Football Club,Premier League,2024-2025,MID,22.25598904859685,1913,45000000.0,17.622173047734595,RandomForest,A_v13A_current,16.767635247871766,19146591.110922,0.854537799862829,-0.854537799862829,0.0,0.0,-0.283298444277076,0,4,1.0,exact_age_club_validated,0.14,0.09,19146591.110922,0.854537799862829,-0.854537799862829,-25853408.889078,-0.5745201975350667,-0.854537799862829,-0.5745201975350667,-0.7788357766544364,-0.7210762795485991,False,True,4769,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,-1.7834404731013829,-0.6373785784873676,-0.7074061460524678,7.565371053184755,5127,False,1.0,1.0,1.0,1.0,1.0,100.0,1.7633028085790543,24,False,MID
Pape Matar Sarr,568693.0,Tottenham Hotspur,Tottenham Hotspur Football Club,Premier League,2024-2025,MID,22.25598904859685,1913,45000000.0,17.622173047734595,HistGradientBoosting,B_v13B_advanced,16.52733330802445,15056695.109666944,1.094839739710146,-1.094839739710146,0.0,0.0,-0.283298444277076,0,4,1.0,exact_age_club_validated,0.14,0.09,15056695.109666944,1.094839739710146,-1.094839739710146,-29943304.890333056,-0.6654067753407346,-1.094839739710146,-0.6654067753407346,-1.0309614588976124,-0.7926875255493074,False,True,5191,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,-1.7834404731013829,-0.6373785784873676,-0.7074061460524678,7.565371053184755,5151,False,1.0,1.0,1.0,1.0,1.0,100.0,1.7633028085790543,23,False,MID
Pape Matar Sarr,568693.0,Tottenham Hotspur,Tottenham Hotspur Football Club,Premier League,2024-2025,MID,22.25598904859685,1913,45000000.0,17.622173047734595,LightGBM,A_v13A_current,16.74906193528484,18794257.617883675,0.8731111124497559,-0.8731111124497559,0.0,0.0,-0.283298444277076,0,4,1.0,exact_age_club_validated,0.14,0.09,18794257.617883675,0.8731111124497559,-0.8731111124497559,-26205742.382116325,-0.5823498307136962,-0.8731111124497559,-0.5823498307136962,-0.7983229647748074,-0.7272453949580164,False,True,4796,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,-1.7834404731013829,-0.6373785784873676,-0.7074061460524678,7.565371053184755,5128,False,1.0,1.0,1.0,1.0,1.0,100.0,1.7633028085790543,22,False,MID
Destiny Udogie,556385.0,Tottenham Hotspur,Tottenham Hotspur Football Club,Premier League,2024-2025,DEF,22.050650239561943,1924,45000000.0,17.622173047734595,HistGradientBoosting,A_v13A_current,16.44592589688784,13879533.415609738,1.1762471508467556,-1.1762471508467556,0.0,0.0,-0.283298444277076,0,4,1.0,exact_age_club_validated,0.0,0.05,13879533.415609738,1.1762471508467556,-1.1762471508467556,-31120466.58439026,-0.6915659240975613,-1.1762471508467556,-0.6915659240975613,-1.1163744151372064,-0.8132988114181589,False,True,5354,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,-1.7834404731013829,-0.6373785784873676,-0.7074061460524678,7.565371053184755,5173,False,1.0,1.0,1.0,1.0,1.0,100.0,1.7633028085790543,21,False,DEF
Pape Matar Sarr,568693.0,Tottenham Hotspur,Tottenham Hotspur Football Club,Premier League,2024-2025,MID,22.25598904859685,1913,45000000.0,17.622173047734595,XGBoost,B_v13B_advanced,16.5220947265625,14978026.0,1.100078321172095,-1.100078321172095,0.0,0.0,-0.283298444277076,0,4,1.0,exact_age_club_validated,0.14,0.09,14978025.623950714,1.100078321172095,-1.100078321172095,-30021974.376049288,-0.6671549861344286,-1.100078321172095,-0.6671549861344286,-1.0364577979031135,-0.794064973751571,False,True,5211,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,-1.7834404731013829,-0.6373785784873676,-0.7074061460524678,7.565371053184755,5154,False,1.0,1.0,1.0,1.0,1.0,100.0,1.7633028085790543,20,False,MID
Destiny Udogie,556385.0,Tottenham Hotspur,Tottenham Hotspur Football Club,Premier League,2024-2025,DEF,22.050650239561943,1924,45000000.0,17.622173047734595,RandomForest,A_v13A_current,16.44616466896125,13882847.856263522,1.1760083787733464,-1.1760083787733464,0.0,0.0,-0.283298444277076,0,4,1.0,exact_age_club_validated,0.0,0.05,13882847.856263522,1.1760083787733464,-1.1760083787733464,-31117152.14373648,-0.6914922698608106,-1.1760083787733464,-0.6914922698608106,-1.1161238945964769,-0.8132407778581515,False,True,5352,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,-1.7834404731013829,-0.6373785784873676,-0.7074061460524678,7.565371053184755,5172,False,1.0,1.0,1.0,1.0,1.0,100.0,1.7633028085790543,10,False,DEF
Destiny Udogie,556385.0,Tottenham Hotspur,Tottenham Hotspur Football Club,Premier League,2024-2025,DEF,22.050650239561943,1924,45000000.0,17.622173047734595,LightGBM,A_v13A_current,16.451761073586265,13960759.699967796,1.1704119741483296,-1.1704119741483296,0.0,0.0,-0.283298444277076,0,4,1.0,exact_age_club_validated,0.0,0.05,13960759.699967796,1.1704119741483296,-1.1704119741483296,-31039240.30003221,-0.6897608955562713,-1.1704119741483296,-0.6897608955562713,-1.1102521262075586,-0.8118765954427153,False,True,5343,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,-1.7834404731013829,-0.6373785784873676,-0.7074061460524678,7.565371053184755,5170,False,1.0,1.0,1.0,1.0,1.0,100.0,1.7633028085790543,11,False,DEF
