league,players,avg_score,avg_roi,avg_confidence
Austrian Bundesliga,384,44.76546153764911,0.4611457553998988,77.44109302784575
Belgian Pro League,888,48.676013011853755,0.22117157830542036,81.26339797918746
Bundesliga,616,45.04187003130579,0.3072262613072638,80.46724900280095
Championship,360,43.83997071191485,0.15279026768801687,82.48833367250035
Eredivisie,744,48.07465745861192,0.33162744103379577,82.23259973826863
LaLiga,576,52.05978493840573,0.7883722507519336,81.48424773528942
Liga Portugal,480,46.04058398600238,0.4486260220156624,77.54909333857864
Ligue 1,792,45.39739993976641,0.39990833217061195,80.33262363338122
Premier League,592,41.810241406848256,-0.07381674204643204,83.00724776053724
Serie A,616,47.76850852229999,0.35918782069604965,79.22461413045829
Spanish Segunda División,160,52.04973536367913,0.530507855799908,83.84103174603175
