player_name_fbref,player_name_tm,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score_z,growth_score,confidence_score,opportunity_score,opportunity_tier,matching_confidence,matching_method
Unai Gómez,Unai Gómez,Athletic Club,LaLiga,2023-2024,MID,20.386036960985628,875,1000000.0,3857107.082643215,2857107.0826432146,2.8571070826432146,1.604663100775532,92.91707003213963,73.68055555555557,100.0,target_scouting,1.0,exact_age_club_validated
Javi Rodríguez,Javi Rodríguez,Celta Vigo,LaLiga,2024-2025,DEF,21.29226557152635,2514,3000000.0,6869514.554108109,3869514.554108109,1.2898381847027032,0.997218770862496,100.0,86.41666666666667,99.98819283864373,target_scouting,0.85,exact_age_validated
Yassin Belkhdim,Yassin Belkhdim,Angers,Ligue 1,2024-2025,MID,22.64476386036961,1523,500000.0,2637953.539268849,2137953.539268849,4.275907078537698,1.9695623676788188,63.89222691416951,81.03055555555557,98.06645565534534,target_scouting,0.85,exact_age_validated
João Ferreira,João Ferreira,Udinese,Serie A,2023-2024,DEF,22.55441478439425,1822,1000000.0,6927205.2015274735,5927205.2015274735,5.0,2.286783530869604,39.33613975470298,88.08333333333334,96.96818779223,target_scouting,0.85,exact_age_validated
Kévin Danois,Kévin Danois,Auxerre,Ligue 1,2024-2025,MID,20.27652292950034,1460,500000.0,2401081.935034661,1901081.935034661,3.802163870069322,1.8599597305445368,63.89222691416951,79.80555555555557,95.84261924188178,target_scouting,0.85,exact_age_validated
Lamine Camara,Lamine Camara,Metz,Ligue 1,2023-2024,MID,19.789185489390828,2255,800000.0,3558782.322228944,2758782.322228944,3.44847790278618,1.7708360844589834,55.3144990596991,86.41666666666667,94.55344219904408,target_scouting,0.85,exact_age_validated
Murillo,Murillo,Nottingham Forest,Premier League,2023-2024,DEF,21.05681040383299,2789,3500000.0,7784997.172097425,4284997.172097425,1.22428490631355,0.9633821662705838,79.28563559331063,91.66666666666669,94.26383524246314,target_scouting,1.0,exact_age_club_validated
Christantus Uche,Christantus Uche,Getafe,LaLiga,2024-2025,MID,21.399041752224505,2486,5000000.0,8135741.9569352595,3135741.9569352595,0.6271483913870519,0.5992130127391044,100.0,86.41666666666667,94.10901650246043,target_scouting,0.85,exact_age_validated
Javi López,Javi López,Alavés,LaLiga,2023-2024,DEF,21.5523613963039,2386,1000000.0,11866893.237267008,10866893.237267008,5.0,2.3196196230899084,25.00181297571708,90.9404761904762,93.4547824327198,target_scouting,0.85,exact_age_validated
Mario Martín,Mario Martín,Valladolid,LaLiga,2024-2025,MID,20.602327173169066,1748,500000.0,4901990.965278227,4401990.965278227,5.0,2.3196196230899084,29.60592242531749,87.07222222222224,93.28225491004224,target_scouting,0.85,exact_age_validated
Tiago Araújo,Tiago Araújo,Estoril,Liga Portugal,2023-2024,DEF,22.50787132101301,2253,600000.0,3816800.255023187,3216800.255023187,5.0,2.1875088532671545,26.141697109770465,90.58333333333334,91.7571022555283,target_scouting,0.85,exact_age_validated
Lasse Rosenboom,Lasse Rosenboom,Holstein Kiel,Bundesliga,2024-2025,MID,22.91854893908282,1734,500000.0,4800040.915959416,4300040.915959416,5.0,2.3196196230899084,10.994299876987418,95.38333333333334,90.36259147066542,target_scouting,1.0,exact_age_club_validated
Óscar Aranda,Óscar Aranda,Famalicão,Liga Portugal,2024-2025,MID,22.444900752908968,2599,1500000.0,5963493.350696075,4463493.350696075,2.975662233797383,1.639930504241193,44.76041705536112,88.08333333333334,89.46002175376991,target_scouting,0.85,exact_age_validated
Tomáš Suslov,Tomas Suslov,Hellas Verona,Serie A,2023-2024,MID,21.53593429158111,2092,2000000.0,19102160.465557605,17102160.465557605,5.0,2.3196196230899084,9.113049802511323,94.75,89.3399899415865,target_scouting,0.85,exact_age_validated
Kobbie Mainoo,Kobbie Mainoo,Manchester Utd,Premier League,2023-2024,MID,18.666666666666668,1924,6000000.0,10666259.50541498,4666259.505414981,0.7777099175691635,0.702307038861566,82.89124705606373,86.41666666666667,89.17580217771655,target_scouting,0.85,exact_age_validated
Jorge Herrando,Jorge Herrando,Osasuna,LaLiga,2023-2024,DEF,22.62012320328542,1644,600000.0,3374956.522555456,2774956.522555456,4.624927537592427,2.044185733006209,27.08232214700851,85.88333333333334,87.67436371741357,target_scouting,0.85,exact_age_validated
Rabby Nzingoula,Rabby Nzingoula,Montpellier,Ligue 1,2024-2025,MID,18.86652977412731,1689,1500000.0,3375378.418488724,1875378.418488724,1.2502522789924828,0.9769035142924256,63.89231250162032,89.50833333333334,87.58916102574213,target_scouting,1.0,exact_age_club_validated
Mohamed Bamba,Mohamed Bamba,Lorient,Ligue 1,2023-2024,ATT,21.752224503764545,1138,500000.0,4233200.989715051,3733200.989715051,5.0,2.3196196230899084,29.60592242531749,75.21111111111112,87.42594875775379,target_scouting,0.85,exact_age_validated
Kike Salas,Kike Salas,Sevilla,LaLiga,2023-2024,DEF,21.66461327857632,1605,2000000.0,9994744.87171942,7994744.87171942,3.99737243585971,1.906377687897117,33.25677897678998,84.29166666666667,87.18281394672697,target_scouting,0.85,exact_age_validated
