player_name_fbref,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score_z,growth_score,confidence_score,opportunity_score,opportunity_tier,matching_confidence,matching_method,risk_age_component,risk_minutes_component,risk_confidence_component,risk_gap_component,risk_score_raw,risk_score,risk_level,risk_adjusted_opportunity_score
Javi Rodríguez,Celta Vigo,LaLiga,2024-2025,DEF,21.29226557152635,2514,3000000.0,10343657.407693762,7343657.407693762,2.4478858025645875,1.41641209062389,100.0,86.41666666666667,100.0,target_scouting,0.85,exact_age_validated,15,10,13.583333333333329,15,13.08,21.5,Bajo,78.5
Javi Rodríguez,Celta Vigo,LaLiga,2024-2025,DEF,21.29226557152635,2514,3000000.0,9902956.824254254,6902956.824254254,2.300985608084752,1.3707296157101856,100.0,86.41666666666667,99.37227110925238,target_scouting,0.85,exact_age_validated,15,10,13.583333333333329,15,13.08,21.5,Bajo,78.01
Javi Rodríguez,Celta Vigo,LaLiga,2024-2025,DEF,21.29226557152635,2514,3000000.0,9679933.283383902,6679933.283383902,2.2266444277946342,1.346830463090546,100.0,86.41666666666667,99.04386971261016,target_scouting,0.85,exact_age_validated,15,10,13.583333333333329,15,13.08,21.5,Bajo,77.75
Javi Rodríguez,Celta Vigo,LaLiga,2024-2025,DEF,21.29226557152635,2514,3000000.0,9567151.844374591,6567151.844374593,2.189050614791531,1.3345343615615697,100.0,86.41666666666667,98.87490736571706,target_scouting,0.85,exact_age_validated,15,10,13.583333333333329,15,13.08,21.5,Bajo,77.62
Javi Rodríguez,Celta Vigo,LaLiga,2024-2025,DEF,21.29226557152635,2514,3000000.0,9383321.776628183,6383321.776628185,2.127773925542728,1.314178011668241,100.0,86.41666666666667,98.59518808688316,target_scouting,0.85,exact_age_validated,15,10,13.583333333333329,15,13.08,21.5,Bajo,77.4
Christantus Uche,Getafe,LaLiga,2024-2025,MID,21.399041752224505,2486,5000000.0,15213449.210620528,10213449.210620528,2.0426898421241058,1.28524138836739,100.0,86.41666666666667,98.19756614365572,target_scouting,0.85,exact_age_validated,15,10,13.583333333333329,15,13.08,21.5,Bajo,77.09
Javi Rodríguez,Celta Vigo,LaLiga,2024-2025,DEF,21.29226557152635,2514,3000000.0,9048019.009930355,6048019.009930357,2.0160063366434526,1.275999593556138,100.0,86.41666666666667,98.07057342672556,target_scouting,0.85,exact_age_validated,15,10,13.583333333333329,15,13.08,21.5,Bajo,76.99
Javi Rodríguez,Celta Vigo,LaLiga,2024-2025,DEF,21.29226557152635,2514,3000000.0,8448697.974024856,5448697.974024856,1.8162326580082853,1.2040939963455148,100.0,86.41666666666667,97.08250916661632,target_scouting,0.85,exact_age_validated,15,10,13.583333333333329,15,13.08,21.5,Bajo,76.21
Christantus Uche,Getafe,LaLiga,2024-2025,MID,21.399041752224505,2486,5000000.0,13847654.191652045,8847654.191652045,1.769530838330409,1.186549084742017,100.0,86.41666666666667,96.84142223076329,target_scouting,0.85,exact_age_validated,15,10,13.583333333333329,15,13.08,21.5,Bajo,76.02
Christantus Uche,Getafe,LaLiga,2024-2025,MID,21.399041752224505,2486,5000000.0,13660356.929808794,8660356.929808794,1.7320713859617587,1.1722611731626966,100.0,86.41666666666667,96.6450901602323,target_scouting,0.85,exact_age_validated,15,10,13.583333333333329,15,13.08,21.5,Bajo,75.87
Javi Rodríguez,Celta Vigo,LaLiga,2024-2025,DEF,21.29226557152635,2514,3000000.0,8143429.279190545,5143429.279190545,1.7144764263968484,1.1654822881244855,100.0,86.41666666666667,96.55194061013502,target_scouting,0.85,exact_age_validated,15,10,13.583333333333329,15,13.08,21.5,Bajo,75.79
