player_name_fbref,player_name_tm,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score_z,growth_score,confidence_score,opportunity_score,opportunity_tier,matching_confidence,matching_method
Javi Rodríguez,Javi Rodríguez,Celta Vigo,LaLiga,2024-2025,DEF,21.29226557152635,2514,3000000.0,6869514.554108109,3869514.554108109,1.2898381847027032,0.997218770862496,100.0,86.41666666666667,99.98819283864373,target_scouting,0.85,exact_age_validated
Christantus Uche,Christantus Uche,Getafe,LaLiga,2024-2025,MID,21.399041752224505,2486,5000000.0,8135741.9569352595,3135741.9569352595,0.6271483913870519,0.5992130127391044,100.0,86.41666666666667,94.10901650246043,target_scouting,0.85,exact_age_validated
Saba Goglichidze,Saba Goglichidze,Empoli,Serie A,2024-2025,DEF,20.314852840520192,2539,5000000.0,3961601.814285021,-1038398.1857149788,-0.2076796371429957,-0.2391025917272952,100.0,86.41666666666667,81.72576534732498,target_scouting,0.85,exact_age_validated
Nicolò Savona,Nicolò Savona,Juventus,Serie A,2024-2025,DEF,21.58521560574949,1724,7000000.0,4780233.726358731,-2219766.2736412687,-0.3171094676630384,-0.4122497314557757,100.0,84.9388888888889,78.43846931617375,high_priority,0.85,exact_age_validated
Fermin López,Fermín López,Barcelona,LaLiga,2023-2024,MID,20.424366872005475,1446,8000000.0,5364437.05837458,-2635562.94162542,-0.3294453677031775,-0.4334859618988241,100.0,79.53333333333335,75.45583698397564,high_priority,0.85,exact_age_validated
Raúl Asencio,Raúl Asencio,Real Madrid,LaLiga,2024-2025,DEF,21.869952087611225,1670,7500000.0,4210588.575316239,-3289411.424683761,-0.4385881899578348,-0.6404389078991061,100.0,83.8888888888889,74.54932614050027,high_priority,0.85,exact_age_validated
Assane Diao,Assane Diao,Real Betis,LaLiga,2023-2024,MID,18.09719370294319,1048,8000000.0,4272197.970681085,-3727802.029318914,-0.4659752536648643,-0.6987007186895874,100.0,71.79444444444445,67.71719460938772,high_priority,0.85,exact_age_validated
Kenan Yıldız,Kenan Yıldız,Juventus,Serie A,2023-2024,ATT,18.628336755646817,952,10000000.0,3144743.856104407,-6855256.143895593,-0.6855256143895593,-1.3155848997505803,100.0,69.92777777777779,57.6831886155341,monitoring,0.85,exact_age_validated
Soungoutou Magassa,Soungoutou Magassa,Monaco,Ligue 1,2023-2024,DEF,20.021902806297057,1346,10000000.0,2131916.7166076107,-7868083.283392389,-0.786808328339239,-1.7684116363168834,100.0,77.5888888888889,54.776817218839206,monitoring,0.85,exact_age_validated
Iker Muñoz,Iker Muñoz,Osasuna,LaLiga,2023-2024,MID,21.10335386721424,1854,5000000.0,5389067.918449643,389067.9184496431,0.0778135836899286,0.1193787856536627,99.99998899808593,86.41666666666667,87.02109973752431,target_scouting,0.85,exact_age_validated
Brajan Gruda,Brajan Gruda,Mainz 05,Bundesliga,2023-2024,MID,19.381245722108144,1641,5000000.0,4814221.943392764,-185778.05660723613,-0.0371556113214472,-0.0120246226141914,99.99998899808593,83.325,83.55358317422643,target_scouting,0.85,exact_age_validated
Reda Belahyane,Reda Belahyane,Hellas Verona,Serie A,2024-2025,MID,20.38056125941136,1658,5000000.0,3461058.4131138287,-1538941.5868861713,-0.3077883173772343,-0.3964563033921485,99.99998899808593,83.65555555555557,78.0381260227936,high_priority,0.85,exact_age_validated
Matteo Dams,Matteo Dams,PSV,Eredivisie,2024-2025,DEF,20.59958932238193,916,3500000.0,779497.6868527966,-2720502.3131472035,-0.7772863751849153,-1.717509241914372,99.99997661840656,69.2277777777778,51.400501686522695,monitoring,0.85,exact_age_validated
Samuel Mbangula,Samuel Mbangula,Juventus,Serie A,2024-2025,MID,20.75564681724846,709,8000000.0,4992697.985147099,-3007302.014852901,-0.3759127518566126,-0.517146450247519,95.66167139087584,65.20277777777778,65.50737819299479,high_priority,0.85,exact_age_validated
Mathis Amougou,Mathis Amougou,Saint-Étienne,Ligue 1,2024-2025,MID,18.71868583162217,859,6000000.0,1917807.1846643025,-4082192.8153356975,-0.6803654692226162,-1.296624701568552,95.66167139087584,68.11944444444447,55.43332335083151,monitoring,0.85,exact_age_validated
Tomás Palacios,Tomás Palacios,Monza,Serie A,2024-2025,DEF,21.475701574264203,446,6000000.0,1952700.804066201,-4047299.1959337993,-0.6745498659889665,-1.2756195875197414,95.66167139087584,60.0888888888889,51.77859492200892,monitoring,0.85,exact_age_validated
Luca Lipani,Luca Lipani,Sassuolo,Serie A,2023-2024,MID,18.39835728952772,384,4000000.0,1836905.6463928483,-2163094.353607152,-0.5407735884017879,-0.8744894665221626,92.91717835387892,58.88333333333336,56.0730432620677,monitoring,0.85,exact_age_validated
Alex Padilla,Álex Padilla,Athletic Club,LaLiga,2024-2025,GK,21.111567419575632,321,2000000.0,2206409.2977424725,206409.2977424725,0.1032046488712362,0.1465042056865292,92.9171422465332,62.90833333333335,73.1420294945697,high_priority,1.0,exact_age_club_validated
Unai Gómez,Unai Gómez,Athletic Club,LaLiga,2023-2024,MID,20.386036960985628,875,1000000.0,3857107.082643215,2857107.0826432146,2.8571070826432146,1.604663100775532,92.91707003213963,73.68055555555557,100.0,target_scouting,1.0,exact_age_club_validated
Kobbie Mainoo,Kobbie Mainoo,Manchester Utd,Premier League,2023-2024,MID,18.666666666666668,1924,6000000.0,10666259.50541498,4666259.505414981,0.7777099175691635,0.702307038861566,82.89124705606373,86.41666666666667,89.17580217771655,target_scouting,0.85,exact_age_validated
Gerard Martín,Gerard Martín,Barcelona,LaLiga,2024-2025,DEF,22.622861054072555,1038,3000000.0,3642314.903592986,642314.903592986,0.2141049678643286,0.2580917822869996,82.89122967101068,71.60000000000002,75.29844925540168,high_priority,0.85,exact_age_validated
Neil El Aynaoui,Neil El Aynaoui,Lens,Ligue 1,2023-2024,MID,22.46132785763176,1566,5000000.0,2644316.029887956,-2355683.9701120444,-0.4711367940224089,-0.7100150914574727,80.32368596359638,81.86666666666669,65.09816425712803,high_priority,0.85,exact_age_validated
Conrad Harder,Conrad Harder,Sporting CP,Liga Portugal,2024-2025,MID,19.50444900752909,784,16000000.0,3835805.462248787,-12164194.537751213,-0.7602621586094508,-1.631700309057181,79.34257292092772,66.66111111111113,43.60559111130409,monitoring,0.85,exact_age_validated
Murillo,Murillo,Nottingham Forest,Premier League,2023-2024,DEF,21.05681040383299,2789,3500000.0,7784997.172097425,4284997.172097425,1.22428490631355,0.9633821662705838,79.28563559331063,91.66666666666669,94.26383524246314,target_scouting,1.0,exact_age_club_validated
Diego López,Diego López,Valencia,LaLiga,2023-2024,MID,21.418206707734427,2656,10000000.0,8453625.833319983,-1546374.1666800175,-0.1546374166680017,-0.1636143992986622,76.83706759263936,86.41666666666667,74.10019306856047,high_priority,0.85,exact_age_validated
Michael Kayode,Michael Kayode,Fiorentina,Serie A,2023-2024,DEF,19.252566735112936,2058,5000000.0,3809261.8950431705,-1190738.1049568297,-0.2381476209913658,-0.2847835599041016,73.71934411802488,86.41666666666667,71.13384326175529,high_priority,0.85,exact_age_validated
Patrick Dorgu,Patrick Dorgu,Lecce,Serie A,2023-2024,DEF,18.95687885010267,1564,2500000.0,4720324.003428662,2220324.003428662,0.8881296013714649,0.7725074526369564,73.71932726789737,81.82777777777778,84.48598371323628,target_scouting,0.85,exact_age_validated
Alonzo Engwanda,Alonzo Engwanda,Utrecht,Eredivisie,2024-2025,MID,21.71389459274469,1270,2500000.0,747487.6033781784,-1752512.3966218214,-0.7010049586487286,-1.37438621700216,73.71932726789737,76.11111111111113,49.95041140577463,monitoring,0.85,exact_age_validated
Anrie Chase,Anrie Chase,Stuttgart,Bundesliga,2024-2025,DEF,20.54483230663929,734,2500000.0,2365540.275219687,-134459.7247803132,-0.0537838899121252,-0.0323189101834912,73.24086282508023,65.68888888888891,64.44845416987832,high_priority,0.85,exact_age_validated
