player_name_fbref,player_name_tm,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score_z,growth_score,confidence_score,opportunity_score,opportunity_tier,matching_confidence,matching_method
Enzo Tchato,Enzo Tchato,Montpellier,Ligue 1,2024-2025,DEF,22.04791238877481,1899,2500000.0,7431334.42378054,4931334.42378054,1.972533769512216,1.3011918793766486,9.113049802511323,100.0,76.8883323186148,high_priority,1.0,exact_age_club_validated
Ansgar Knauff,Ansgar Knauff,Eintracht Frankfurt,Bundesliga,2023-2024,MID,21.924709103353862,2109,8000000.0,21480905.882147383,13480905.882147385,1.6851132352684228,1.1827265661495268,9.113049802511323,100.0,75.13841174091424,high_priority,1.0,exact_age_club_validated
Pape Matar Sarr,Pape Matar Sarr,Tottenham Hotspur,Premier League,2024-2025,MID,22.25598904859685,1913,45000000.0,39100272.72518736,-5899727.274812646,-0.1311050505513921,-0.1316289807357842,8.172424765273277,100.0,55.36834584144793,monitoring,1.0,exact_age_club_validated
Destiny Udogie,Destiny Udogie,Tottenham Hotspur,Premier League,2024-2025,DEF,22.050650239561943,1924,45000000.0,27935644.16407296,-17064355.835927047,-0.3792079074650455,-0.5233136058910851,8.172424765273277,100.0,49.582542665339226,monitoring,1.0,exact_age_club_validated
João Neves,João Neves,Paris Saint-Germain,Ligue 1,2024-2025,DEF,20.02737850787132,1844,60000000.0,20374832.57745464,-39625167.42254536,-0.6604194570424227,-1.2261072252574157,10.963646855781544,99.54545454545456,40.03002099355113,monitoring,1.0,exact_age_club_validated
Jamal Musiala,Jamal Musiala,Bayern Munich,Bundesliga,2024-2025,MID,21.39082819986311,1798,130000000.0,34838024.28141353,-95161975.71858647,-0.7320151978352806,-1.5019438156807348,9.873335355683343,99.54444444444444,35.543543616581424,interesting,1.0,exact_age_club_validated
Nico Williams,Nico Williams,Athletic Club,LaLiga,2024-2025,MID,22.01779603011636,1996,70000000.0,33691764.88398165,-36308235.11601835,-0.5186890730859763,-0.8197718852475392,11.479006625753522,99.16666666666669,46.03968938262258,monitoring,1.0,exact_age_club_validated
Jamal Musiala,Jamal Musiala,Bayern Munich,Bundesliga,2023-2024,MID,20.79671457905544,1755,110000000.0,43510724.243167125,-66489275.75683288,-0.6044479614257534,-1.0483702510702388,9.113049802511323,99.125,41.749550356944766,monitoring,1.0,exact_age_club_validated
Michael Olise,Michael Olise,Bayern Munich,Bundesliga,2024-2025,MID,22.82546201232033,2334,65000000.0,60646349.38293232,-4353650.61706768,-0.0669792402625796,-0.04867885238248,11.761787235504109,99.0909090909091,57.49926070763964,monitoring,1.0,exact_age_club_validated
Callum Hudson-Odoi,Callum Hudson-Odoi,Nottingham Forest,Premier League,2023-2024,MID,22.91854893908282,1854,12000000.0,41520382.11771278,29520382.11771278,2.460031843142732,1.478103939663017,2.651474708614667,99.0,76.56955510041213,high_priority,1.0,exact_age_club_validated
Bradley Barcola,Bradley Barcola,Paris Saint-Germain,Ligue 1,2024-2025,ATT,22.09719370294319,2181,65000000.0,32039946.1675768,-32960053.832423203,-0.5070777512680493,-0.792001971000893,14.82246405745816,98.5,47.38240599149509,monitoring,1.0,exact_age_club_validated
