player_name_fbref,player_name_tm,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score_z,growth_score,confidence_score,opportunity_score,opportunity_tier,matching_confidence,matching_method
Prosper Peter,Prosper Peter,Angers,Ligue 1,2025-2026,ATT,18.17111567419576,1273,1000000.0,2744471.273545463,1744471.273545463,1.744471273545463,1.3866117654292558,100.0,76.16944444444447,92.55388202556222,target_scouting,0.85,exact_age_validated
Robinio Vaz,Robinio Vaz,Marseille,Ligue 1,2025-2026,ATT,18.64476386036961,379,4000000.0,12071851.763633331,8071851.763633331,2.017962940908333,1.4950783088307895,96.29257736924694,58.786111111111126,85.24433679207804,target_scouting,0.85,exact_age_validated
Marko Milovanović,Marko Milovanović,Alverca,Liga Portugal,2025-2026,ATT,22.15742642026009,1529,1000000.0,5734046.299797386,4734046.299797386,4.734046299797386,2.227949454103863,21.19521222192881,84.48055555555557,75.53692782346417,high_priority,0.85,exact_age_validated
Álvaro Rodríguez,Álvaro Rodríguez,Elche,LaLiga,2025-2026,ATT,21.218343600273784,2201,4000000.0,17434873.804324627,13434873.804324629,3.3587184510811565,1.9148102820269275,20.52214367042897,90.08333333333334,73.67497964934627,high_priority,0.85,exact_age_validated
Pablo,Pablo,Gil Vicente FC,Liga Portugal,2025-2026,ATT,21.744010951403148,945,1500000.0,14982688.611168023,13482688.611168023,5.0,2.361008690955276,16.63417865619177,73.75,70.95861789776802,high_priority,0.85,exact_age_validated
Carlos Espí,Carlos Espí,Levante,LaLiga,2025-2026,ATT,20.386036960985628,1343,2000000.0,6937596.868733299,4937596.868733299,2.4687984343666494,1.654050875145403,8.194605026608228,82.53055555555557,62.42859226767608,high_priority,0.85,exact_age_validated
Igor Matanovic,Igor Matanovic,Freiburg,Bundesliga,2025-2026,ATT,22.54072553045859,1571,7000000.0,16262786.193198588,9262786.193198588,1.323255170456941,1.196361098378337,18.36787284675358,86.63055555555556,62.39993472474127,high_priority,0.85,exact_age_validated
Abdoulie Ceesay,Abdoulie Ceesay,St Pauli,Bundesliga,2025-2026,ATT,21.95482546201232,336,800000.0,3533675.1277337605,2733675.1277337605,3.4170939096672006,1.930001082300036,15.504516888341245,59.95,59.394395909002135,monitoring,0.85,exact_age_validated
Gustavo Varela,Gustavo Varela,Gil Vicente FC,Liga Portugal,2025-2026,ATT,20.88158795345654,1524,1000000.0,2393810.486252004,1393810.4862520038,1.3938104862520038,1.2305213830533366,5.532309455162573,85.21666666666668,57.19235928888735,monitoring,0.85,exact_age_validated
Emersonn,Emersonn,Toulouse,Ligue 1,2025-2026,ATT,21.234770704996578,1589,2500000.0,3593826.247505825,1093826.2475058257,0.4375304990023302,0.6482342947550047,23.11316763980886,83.38531746031748,56.05753832337973,monitoring,0.85,exact_age_validated
Lequincio Zeefuik,Lequincio Zeefuik,Heracles Almelo,Eredivisie,2025-2026,ATT,21.01574264202601,1061,850000.0,1745149.8781715853,895149.8781715853,1.0531175037312768,1.0552196380916894,7.430932594939907,83.9638888888889,55.224678581156994,monitoring,1.0,exact_age_club_validated
Rodrigo Ribeiro,Rodrigo Ribeiro,Augsburg,Bundesliga,2025-2026,ATT,20.64065708418892,636,2500000.0,6546005.013954721,4046005.0139547214,1.6184020055818886,1.3329181081735395,7.430932594939907,70.45000000000002,53.09717438211685,monitoring,0.85,exact_age_validated
Milan Smit,Milan Smit,Go Ahead Eagles,Eredivisie,2025-2026,ATT,22.80082135523614,1364,2000000.0,2151648.821689252,151648.8216892518,0.0758244108446259,0.3172870491185769,17.597549414040557,88.18888888888888,51.7363276256372,monitoring,1.0,exact_age_club_validated
Umar Abubakar,Umar Abubakar,Famalicão,Liga Portugal,2025-2026,ATT,19.62217659137577,414,600000.0,1663526.825084231,1063526.825084231,1.7725447084737185,1.3982323060220814,14.383110323445136,57.52222222222223,51.28815048343618,monitoring,0.85,exact_age_validated
