role_subgroup,archetype_id,rank,player,team,league,season,pos_,age_,minutes,archetype_similarity,progressive_passes_p90,pass_completion_pct,long_pass_completion_pct,passes_final_third_p90,blocks_p90,clearances_p90,interceptions_p90,tackles_p90,tackles_won_p90,aerials_won_p90,aerials_won_pct,duel_index_role,defending_index_role,errors_p90,recoveries_p90,progressive_carries_p90,progressive_receipts_p90,key_passes_p90,sca_p90,gca_p90,gca_live_p90,passes_penalty_area_p90,touches_att_third_p90,touches_box_p90,takeons_attempted_p90,takeons_success_pct,creation_index_role,progression_index_role,xg_p90,shots_p90,sot_p90,g_per_shot,g_per_sot,shot_distance,carries_box_p90,finishing_index_role
DEF_CB,0,1,Abdou Diallo,Dortmund,GER-Bundesliga,1819,DF,22.0,2379,83.5,4.734848484848485,88.3,76.1,4.659090909090909,1.0606060606060606,3.4469696969696972,0.9848484848484849,1.3636363636363638,0.7575757575757576,1.8560606060606062,55.1,43.685353535353535,2.5303030303030303,0.03787878787878788,5.795454545454546,,,,,,,,,,,,,,,,,,,,,
DEF_CB,0,2,Alessandro Bastoni,Inter,ITA-Serie A,2122,DF,22.0,2311,82.8,5.136186770428016,88.3,74.7,4.669260700389105,0.8560311284046693,2.295719844357977,1.3618677042801557,1.7120622568093387,0.9727626459143969,1.6731517509727627,62.3,40.62438391699092,2.428015564202335,0.038910505836575876,5.914396887159533,,,,,,,,,,,,,,,,,,,,,
DEF_CB,0,3,Claudio Terzi,Spezia,ITA-Serie A,2021,DF,36.0,1869,81.4,3.942307692307692,83.5,68.2,5.240384615384615,1.1057692307692308,2.644230769230769,1.7307692307692306,1.5865384615384615,0.9615384615384615,1.6826923076923077,50.0,42.2275641025641,2.4903846153846154,0.04807692307692307,5.384615384615384,,,,,,,,,,,,,,,,,,,,,
DEF_CB,0,4,Jérôme Boateng,Lyon,FRA-Ligue 1,2122,DF,32.0,1622,80.5,4.722222222222222,87.3,59.9,4.444444444444445,1.1111111111111112,4.055555555555555,1.1111111111111112,1.1111111111111112,0.8333333333333334,1.0,72.0,41.0,2.666666666666667,0.0,5.944444444444445,,,,,,,,,,,,,,,,,,,,,
DEF_CB,0,5,Emiliano Moretti,Torino,ITA-Serie A,1819,DF,37.0,2010,80.4,5.291479820627803,85.3,61.6,3.452914798206278,0.6278026905829596,2.914798206278027,1.0762331838565022,1.3452914798206277,0.9417040358744394,1.704035874439462,56.7,41.70134529147982,2.2062780269058293,0.04484304932735426,5.067264573991031,,,,,,,,,,,,,,,,,,,,,
DEF_CB,0,6,Axel Disasi,Monaco,FRA-Ligue 1,2021,DF,22.0,2011,80.4,3.9013452914798203,85.8,56.5,4.2152466367713,0.8071748878923767,2.9596412556053813,1.1659192825112108,1.3004484304932735,0.8968609865470851,2.242152466367713,61.0,45.31405082212257,2.4573991031390134,0.04484304932735426,6.053811659192825,,,,,,,,,,,,,,,,,,,,,
DEF_CB,0,7,Niklas Moisander,Werder Bremen,GER-Bundesliga,1718,DF,31.0,2250,80.2,5.04,83.1,65.1,4.32,0.84,3.92,1.52,1.44,1.12,1.6,57.1,40.76666666666667,2.568,0.08,5.12,,,,,,,,,,,,,,,,,,,,,
DEF_CB,0,8,Guillermo Maripán,Monaco,FRA-Ligue 1,2122,DF,27.0,1832,79.5,3.9215686274509807,88.5,69.2,3.9215686274509807,1.0294117647058825,3.235294117647059,1.2254901960784315,1.7647058823529413,1.1764705882352942,2.2058823529411766,55.6,45.93529411764706,2.607843137254902,0.04901960784313726,5.784313725490197,,,,,,,,,,,,,,,,,,,,,
DEF_CB,0,9,Stefano Denswil,Bologna,ITA-Serie A,1920,DF,26.0,2240,79.2,4.5381526104417675,85.1,66.0,3.9759036144578315,0.9236947791164659,2.7309236947791167,1.244979919678715,1.9678714859437751,1.1244979919678715,1.887550200803213,54.7,42.66251673360107,2.36144578313253,0.0,4.9397590361445785,,,,,,,,,,,,,,,,,,,,,
DEF_CB,0,10,Ștefan Radu,Lazio,ITA-Serie A,1920,DF,32.0,2306,78.8,4.4921875,86.2,66.0,4.6484375,0.7421875,3.3203125,1.328125,1.6796875,0.9765625,1.25,54.2,44.583333333333336,2.453125,0.0,5.1953125,,,,,,,,,,,,,,,,,,,,,
DEF_CB,0,11,Gabriel Magalhães,Arsenal,ENG-Premier League,2223,DF,24.0,3409,78.5,4.036939313984169,89.4,61.0,4.511873350923483,1.2928759894459103,3.2981530343007917,0.8443271767810027,1.266490765171504,0.79155672823219,2.638522427440633,56.8,42.04617414248021,2.3482849604221636,0.079155672823219,5.03957783641161,,,,,,,,,,,,,,,,,,,,,
DEF_CB,0,12,Mario Hermoso,Atlético Madrid,ESP-La Liga,2223,DF,27.0,2110,78.4,4.914529914529915,86.5,65.3,3.8034188034188037,0.811965811965812,3.632478632478633,0.811965811965812,0.9401709401709403,0.6410256410256411,1.4957264957264957,56.5,40.53190883190883,2.41025641025641,0.042735042735042736,5.854700854700855,,,,,,,,,,,,,,,,,,,,,
