league,season,team,player,nation_,pos_,age_,Playing Time_Min,Playing Time_90s,primary_role,secondary_role,role_confidence,role_ambiguity,primary_role_similarity,secondary_role_similarity,finishing_index_role,chance_creation_index,ball_progression_index,passing_security_index,passing_volume_index,crossing_width_index,availability_index_role,discipline_risk_index,role_fit_explainability_score,role_explainability_quality,dominant_tactical_dimension,dominant_tactical_score,role_explanation_text
ENG-Premier League,1718,Arsenal,Aaron Ramsey,WAL,MF,26.0,1846,20.5,Creative Playmaker,Creative Playmaker,0.5,99.5,35.3,34.7,87.17588176658296,91.47590111487806,83.24802233597022,62.670301768034015,74.35758233803837,53.148751357220405,62.20173535791756,70.7700650759219,79.1314084062941,High,chance_creation_index,91.47590111487806,Rol explicado principalmente por: Chance Creation P91 · Ball Progression P83 · Passing Security P63
ENG-Premier League,1718,Arsenal,Ainsley Maitland-Niles,ENG,"DF,MF",19.0,914,10.2,Ball Winner,Creative Playmaker,3.2,96.8,37.7,34.4,33.808379120879124,45.63492063492063,51.683673469387756,68.19082377476538,50.17857142857144,45.714285714285715,39.714285714285715,61.42857142857143,53.196260986146285,High,passing_security_index,68.19082377476538,Rol explicado principalmente por: Passing Security P68 · Ball Progression P52 · Availability P40
ENG-Premier League,1718,Arsenal,Alex Iwobi,NGA,"MF,FW",21.0,1830,20.3,Creative Playmaker,Creative Playmaker,3.6,96.4,29.6,26.0,50.40715270925918,72.8739913097455,87.23064644852354,86.33220346195264,86.89478584729983,37.08100558659218,66.78770949720669,56.703910614525135,82.1456137400739,High,ball_progression_index,87.23064644852354,Rol explicado principalmente por: Ball Progression P87 · Passing Security P86 · Chance Creation P73
ENG-Premier League,1718,Arsenal,Alex Oxlade-Chamberlain,ENG,DF,23.0,241,2.7,,,,,,,41.20396121846248,50.63597570983095,39.24878666385314,45.52536593914391,15.940423436730674,56.34231905465288,13.212703101920237,73.07976366322009,,No role assigned,discipline_risk_index,73.07976366322009,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1718,Arsenal,Alexandre Lacazette,FRA,FW,26.0,2202,24.5,Creator Forward,Mobile Forward,1.8,98.2,30.2,28.4,75.17697447774918,83.70426572247513,79.14589204422285,62.71340344302059,81.94233687405158,60.86874051593323,79.55993930197269,52.010622154779966,79.34237741481572,High,chance_creation_index,83.70426572247513,Rol explicado principalmente por: Chance Creation P84 · Ball Progression P79 · Finishing P75
ENG-Premier League,1718,Arsenal,Alexis Sánchez,CHI,"MF,FW",28.0,1503,16.7,Creative Playmaker,Attacking Progressor,13.8,86.2,39.1,25.3,62.381160448612164,86.21973929236498,85.97366320830008,43.104657092559556,75.95437616387336,73.35893854748602,55.3631284916201,34.14804469273743,71.76601986440821,High,chance_creation_index,86.21973929236498,Rol explicado principalmente por: Chance Creation P86 · Ball Progression P86 · Passing Security P43
ENG-Premier League,1718,Arsenal,Calum Chambers,ENG,DF,22.0,866,9.6,,,,,,,47.853553310482944,40.06236665025439,48.60202574382781,53.904038627364685,41.35278188084687,49.20605612998523,31.484490398818316,64.198670605613,,No role assigned,discipline_risk_index,64.198670605613,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1718,Arsenal,Danny Welbeck,ENG,"FW,MF",26.0,1194,13.3,Attacking Progressor,Creative Playmaker,6.7,93.3,51.7,45.1,72.81729350191794,47.86226318484383,46.14878209348256,53.86791900449867,50.94086021505376,23.732718894009217,56.98156682027651,52.93778801843318,48.31730183112671,High,finishing_index_role,72.81729350191794,Rol explicado principalmente por: Passing Volume P51 · Chance Creation P48 · Ball Progression P46
ENG-Premier League,1718,Arsenal,David Ospina,COL,GK,28.0,381,4.2,,,,,,,50.4375,41.354166666666664,35.982142857142854,59.66778958081957,29.088541666666668,50.0390625,28.15625,62.5,,No role assigned,discipline_risk_index,62.5,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1718,Arsenal,Eddie Nketiah,ENG,FW,18.0,20,0.2,,,,,,,35.33954852172442,22.921935592648794,8.367656622588337,46.91573605942251,11.456752655538693,32.113050075872536,12.094081942336874,66.42640364188165,,No role assigned,discipline_risk_index,66.42640364188165,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1718,Arsenal,Francis Coquelin,FRA,"MF,DF",26.0,169,1.9,,,,,,,31.59965034965035,39.20940170940171,16.552197802197803,47.21291630416093,16.346153846153847,23.197115384615387,16.442307692307693,69.71153846153845,,No role assigned,discipline_risk_index,69.71153846153845,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1718,Arsenal,Granit Xhaka,SUI,MF,24.0,3260,36.2,Ball Winner,Attacking Progressor,6.1,93.9,25.0,18.9,36.46594796699438,84.65057503068073,96.10671630215604,76.9925551471103,99.728555917481,83.98479913137894,98.27548806941431,29.175704989154013,90.45825317289355,High,passing_volume_index,99.728555917481,Rol explicado principalmente por: Availability P98 · Ball Progression P96 · Passing Security P77
ENG-Premier League,1718,Arsenal,Henrikh Mkhitaryan,ARM,"FW,MF",28.0,794,8.8,,,,,,,54.54587128418068,69.5852534562212,63.00197498354179,50.427674551215794,62.80721966205838,71.34216589861751,39.60829493087558,67.28110599078342,,No role assigned,crossing_width_index,71.34216589861751,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1718,Arsenal,Hector Bellerin,ESP,DF,22.0,3051,33.9,Aggressive Defender,Ball-Playing Centre-Back,21.8,78.2,56.5,34.7,59.989758127993454,92.51600196947317,89.85017936273475,71.2943344509578,87.7400295420975,66.60819793205317,90.66469719350074,38.01698670605613,83.93640366906443,High,chance_creation_index,92.51600196947317,Rol explicado principalmente por: Availability P91 · Ball Progression P90 · Passing Security P71
ENG-Premier League,1718,Arsenal,Jack Wilshere,ENG,MF,25.0,1193,13.3,Creative Playmaker,Ball Winner,3.5,96.5,32.4,29.0,58.1735451949187,75.41088849208961,69.00108577633007,60.87650033838805,56.858487151646756,38.05646036916395,47.0824295010846,37.988069414316705,68.42949153560257,High,chance_creation_index,75.41088849208961,Rol explicado principalmente por: Chance Creation P75 · Ball Progression P69 · Passing Security P61
ENG-Premier League,1718,Arsenal,Joe Willock,ENG,MF,17.0,82,0.9,,,,,,,43.425272636952,12.896491647172883,13.773848301535597,30.644298555630257,14.784654361201595,24.55211726384365,14.370932754880695,70.7700650759219,,No role assigned,discipline_risk_index,70.7700650759219,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1718,Arsenal,Konstantinos Mavropanos,GRE,DF,19.0,195,2.2,,,,,,,34.63810930576071,15.13211882488101,10.999155940071745,61.8617484514871,12.149187592319054,30.67762186115214,12.422451994091583,48.33825701624816,,No role assigned,passing_security_index,61.8617484514871,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1718,Arsenal,Laurent Koscielny,FRA,DF,31.0,2225,24.7,Ball-Playing Centre-Back,Aerial Defender,8.2,91.8,35.8,27.6,81.14553423524325,37.887740029542094,75.90208904832244,83.75476360855252,86.6506646971935,40.555760709010336,69.32053175775482,43.38995568685377,78.90701227795583,High,passing_volume_index,86.6506646971935,Rol explicado principalmente por: Passing Volume P87 · Passing Security P84 · Ball Progression P76
ENG-Premier League,1718,Arsenal,Mesut Özil,GER,"MF,FW",28.0,2163,24.0,Creative Playmaker,Attacking Progressor,12.7,87.3,35.1,22.4,56.58338473727632,91.07697082557418,98.92258579409418,84.2941451148269,97.8584729981378,80.97067039106145,73.96648044692736,34.14804469273743,91.43123391149841,High,ball_progression_index,98.92258579409418,Rol explicado principalmente por: Ball Progression P99 · Chance Creation P91 · Passing Security P84
ENG-Premier League,1718,Arsenal,Mohamed Elneny,EGY,MF,25.0,867,9.6,,,,,,,26.210173143328532,47.826938421143296,52.869551729486595,81.26737931229468,58.993847267462904,44.842562432138976,38.70932754880694,25.32537960954447,,No role assigned,passing_security_index,81.26737931229468,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1718,Arsenal,Nacho Monreal,ESP,DF,31.0,2243,24.9,Ball-Playing Centre-Back,Aerial Defender,14.0,86.0,63.6,49.6,85.25573661787084,77.00640078778926,86.2576492930998,82.13898393330764,84.91506646971935,60.01661742983752,71.9423929098966,49.40915805022156,81.31352315150585,High,ball_progression_index,86.2576492930998,Rol explicado principalmente por: Ball Progression P86 · Passing Volume P85 · Passing Security P82
ENG-Premier League,1718,Arsenal,Olivier Giroud,FRA,FW,30.0,388,4.3,,,,,,,82.72604402478896,49.308716911144835,32.701062215478,30.079570903897235,33.952959028831565,47.780728376327765,31.57814871016692,66.42640364188165,,No role assigned,finishing_index_role,82.72604402478896,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
ENG-Premier League,1718,Arsenal,Per Mertesacker,GER,DF,32.0,366,4.1,,,,,,,84.17658679888487,15.13211882488101,13.789829077864528,67.6701228814334,20.901033973412112,30.67762186115214,17.163958641063516,73.07976366322009,,No role assigned,finishing_index_role,84.17658679888487,"Sin rol táctico asignado. La capa de índices está disponible, pero no se genera explicación de rol."
