position_taxonomy,player,team,season,pos_,position_confidence,representative_score
CB,Boubakar Kouyaté,Metz,2021,DF,84.02,65.113
CB,Salif Sané,Schalke 04,2021,DF,83.71,64.77859668559417
CB,Sol Bamba,Cardiff City,1819,DF,83.31,64.6515
CB,Ewerton,Nürnberg,1819,DF,84.59,64.63373973576657
CB,Grant Hanley,Norwich City,1920,DF,84.49,64.16959873860056
CB,Alexander Hack,Mainz 05,1718,DF,82.49,64.1185
CB,Felipe,Nott'ham Forest,2223,DF,82.39,64.0535
CB,Dario Dainelli,Chievo,1718,DF,82.7,63.56312275028116
CB,Emiliano Velázquez,Rayo Vallecano,1819,DF,81.63,63.5595
CB,Boubakar Kouyaté,Metz,2122,DF,81.61,63.5465
CB,Toni Leistner,Köln,1920,DF,80.4,62.760000000000005
CB,Guilherme Ramos,Arminia,2122,DF,79.98,62.487
CB,Leon Balogun,Mainz 05,1718,DF,79.81,62.3765
CB,Giangiacomo Magnani,Hellas Verona,2021,DF,82.11,62.28778360516246
CB,Alexander Hack,Mainz 05,2021,DF,79.63,62.259499999999996
FB,Marcelo,Real Madrid,1718,DF,82.14,63.891000000000005
FB,Achraf Hakimi,Paris S-G,2425,DF,80.16,62.604
FB,Álvaro Odriozola,Real Madrid,1819,DF,78.66,60.62896174725274
FB,Jesús Navas,Sevilla,1920,DF,79.57,60.266336948688064
FB,Achraf Hakimi,Paris S-G,2324,DF,76.38,59.042781441797956
FB,Raphaël Guerreiro,Dortmund,2021,DF,76.75,58.68127552481067
FB,João Cancelo,Manchester City,2223,DF,72.49,57.56479790098636
FB,Trent Alexander-Arnold,Liverpool,2021,DF,74.47,57.3059498795227
FB,João Cancelo,Manchester City,2122,DF,72.19,56.95102854756702
FB,Alphonso Davies,Bayern Munich,2122,DF,72.83,56.89534574990128
FB,Mário Rui,Napoli,1819,DF,72.62,56.715906203692036
FB,Jordi Alba,Barcelona,2223,DF,73.14,56.586002631509245
FB,Álvaro Odriozola,Real Sociedad,1718,DF,76.79,56.521384836902975
FB,Alphonso Davies,Bayern Munich,2425,DF,72.41,56.02000489589016
FB,Alphonso Davies,Bayern Munich,2223,DF,70.12,55.47198339729762
DM,Bruno Zuculini,Hellas Verona,1718,MF,54.19,42.26316277675445
DM,Jonathan Hogg,Huddersfield,1718,MF,50.19,40.48237523772549
DM,Rubén Pérez,Leganés,1718,MF,47.6,39.5565111241723
DM,Otávio,Bordeaux,1718,MF,47.97,38.70376154536575
DM,Wilfred Ndidi,Leicester City,1920,MF,49.61,38.62617016260946
DM,Wilfred Ndidi,Leicester City,1718,MF,48.68,37.93940834620537
DM,Nuri Şahin,Werder Bremen,1819,MF,45.6,37.905209284118094
DM,Adrien Silva,Monaco,1819,MF,43.23,37.62321329805182
DM,Ander Herrera,Manchester Utd,1718,MF,43.88,37.57558035418697
DM,Oriol Romeu,Southampton,1819,MF,46.93,37.50560103761007
