player,team,season,position_taxonomy,position_confidence,position_taxonomy_v1,_score_DM,_score_CM,_score_AM,_score_W,_score_CF
Lucas Pérez,Cádiz,2122,AM,93.0,AM,0.3330503373250168,0.45829770927042124,0.6243737753480951,0.5658449398901679,0.49999999999999994
Andreas Pereira,Fulham,2324,AM,84.4,AM,0.4145066888617847,0.5346368382605006,0.6636704071073458,0.5866490390568301,0.49999999999999994
Isaac Success,Udinese,2122,AM,83.0,AM,0.3685851706827678,0.49440657852529135,0.617399690725791,0.5621527774430658,0.49999999999999994
Ryan Fraser,Newcastle Utd,2021,AM,82.1,AM,0.3653467558020879,0.47304917961009596,0.5919676141026218,0.5486887368778586,0.49999999999999994
Adama Traoré,Metz,1920,AM,81.4,AM,0.4462144267765649,0.5541909547903476,0.6700000000000002,0.59,0.49999999999999994
Simone Verdi,Torino,2021,AM,80.9,AM,0.44561322370658724,0.5562968276563656,0.6700000000000002,0.59,0.49999999999999994
Nicolas Viola,Cagliari,2324,AM,79.8,AM,0.42144776292103575,0.5297136947535405,0.6388652980994629,0.573516922523245,0.49999999999999994
Max Kruse,Union Berlin,2122,AM,79.0,AM,0.3978171774944564,0.5209988468291117,0.6263929944211295,0.5669139382229509,0.49999999999999994
Emil Forsberg,RB Leipzig,2021,AM,78.9,AM,0.4058492637502707,0.5297155808909207,0.635052818015551,0.5714985507141151,0.49999999999999994
Thomas Müller,Bayern Munich,2425,AM,78.8,AM,0.41764669896752654,0.565390620760902,0.6700000000000002,0.59,0.49999999999999994
Rodrigo Zalazar,Schalke 04,2223,AM,78.6,AM,0.4931277055258158,0.5338677598098511,0.6376234409953143,0.5728594687622252,0.49999999999999994
Andreas Pereira,Fulham,2425,AM,76.6,AM,0.4549435487916665,0.5422436210901771,0.6373765297648086,0.5727287510519575,0.49999999999999994
Dwight McNeil,Everton,2425,AM,75.8,AM,0.46296403337140984,0.5694520418399558,0.6612308027362157,0.585357483801526,0.49999999999999994
Dani Raba,Leganés,2425,AM,75.4,AM,0.4987377587495549,0.5719655558952059,0.6621932148774374,0.5858669961115845,0.49999999999999994
Albert Guðmundsson,Genoa,2324,AM,75.1,AM,0.4229346385068054,0.529015771567222,0.6179378503755095,0.5624376854929168,0.49999999999999994
Ewerton,Nürnberg,1819,CB,84.6,CB,0.6190959400806029,0.33459989289473197,0.3477753574113271,0.41941048333540837,0.49999999999999994
Grant Hanley,Norwich City,1920,CB,84.5,CB,0.5758227247288257,0.31966655647747205,0.32999999999999996,0.4099999999999999,0.49999999999999994
Boubakar Kouyaté,Metz,2021,CB,84.0,CB,0.6187146433274271,0.3319433995563459,0.3447772332490841,0.417823241131868,0.49999999999999994
Salif Sané,Schalke 04,2021,CB,83.7,CB,0.6395310966031134,0.4102325792475129,0.3858090631686399,0.43954597461869166,0.49999999999999994
Federico Fazio,Salernitana,2324,CB,83.5,CB,0.5514398993977376,0.35550623040309565,0.3632113036598968,0.4275824548787688,0.49999999999999994
Yerry Mina,Cagliari,2324,CB,83.4,CB,0.5326825520822129,0.33725398423261055,0.3495665503419602,0.42035876194574356,0.49999999999999994
Sol Bamba,Cardiff City,1819,CB,83.3,CB,0.6342091568428394,0.36626480454974425,0.36230259583727253,0.4271013742667913,0.49999999999999994
Jubal,Auxerre,2425,CB,83.2,CB,0.566487010543534,0.33611682485697414,0.356797492563897,0.4241869078279454,0.49999999999999994
Andreas Hanche-Olsen,Mainz 05,2425,CB,83.1,CB,0.5369698594136174,0.3587816998343397,0.3546456436894677,0.4230476937179534,0.49999999999999994
Christopher Jullien,Montpellier,2324,CB,83.0,CB,0.5801933995105564,0.35616478216857717,0.36388869390613376,0.4279410732444237,0.49999999999999994
Kastriot Dermaku,Parma,1920,CB,82.8,CB,0.5048506943497182,0.3179433404677973,0.3475206443763798,0.41927563525808337,0.49999999999999994
Jon Martin,Real Sociedad,2425,CB,82.7,CB,0.5536413487307197,0.39373036197667804,0.38204702390961426,0.4375543067756781,0.49999999999999994
Dario Dainelli,Chievo,1718,CB,82.7,CB,0.652611838596346,0.38361142969535844,0.34994382155214654,0.42055849376290105,0.49999999999999994
Matija Nastasić,Leganés,2425,CB,82.5,CB,0.5241652366475114,0.3408915466496844,0.3419539916106266,0.4163285837938611,0.49999999999999994
Yunis Abdelhamid,Saint-Étienne,2425,CB,82.5,CB,0.5536676199834323,0.3652907133246509,0.3551983139621245,0.4233402838623011,0.49999999999999994
Martin Satriano,Brest,2122,CF,93.3,CF,0.3106021804755855,0.35060940052886774,0.3570921466273296,0.424342901155645,0.49999999999999994
Anuar,Valladolid,1819,CF,91.0,CF,0.5081375796808361,0.3884785509814933,0.36587200896026045,0.42899106356719663,0.49999999999999994
Milan Đurić,Monza,2425,CF,90.2,CF,0.24462833548827861,0.3191845088847166,0.36853083948899773,0.4303986797294693,0.49999999999999994
Sammie Szmodics,Ipswich Town,2425,CF,87.0,CF,0.43024998398461295,0.408287124059332,0.3806595776126389,0.4368197763831617,0.49999999999999994
Elias Kachunga,Huddersfield,1819,CF,86.9,CF,0.4245755546595726,0.42731186183277636,0.38093875060016885,0.4369675738471481,0.49999999999999994
Rafa Mir,Huesca,2021,CF,86.4,CF,0.31815007196087086,0.37225272374250695,0.38287860229914755,0.4379945541583722,0.49999999999999994
Orri Steinn Óskarsson,Real Sociedad,2425,CF,86.3,CF,0.30234206180812684,0.36559970570326467,0.38307193845133597,0.43809690859188366,0.49999999999999994
Diego,Leganés,2425,CF,86.2,CF,0.27087941307523233,0.34739458786166333,0.3832651520060912,0.4381991981208717,0.49999999999999994
Youssef En-Nesyri,Sevilla,2324,CF,86.0,CF,0.25853958433095847,0.3255843749901697,0.3841870298351266,0.4386872510891846,0.49999999999999994
Milan Đurić,Monza,2324,CF,86.0,CF,0.284534208118198,0.3198499487032164,0.38428320109155256,0.4387381652837631,0.49999999999999994
Mattia Destro,Genoa,2021,CF,85.3,CF,0.29567054974231355,0.3681864839760337,0.38687050834222786,0.4401079161811794,0.49999999999999994
Youssef En-Nesyri,Sevilla,2122,CF,85.2,CF,0.31549385302794397,0.36315453921460894,0.38723353767631413,0.440300108181578,0.49999999999999994
Cameron Archer,Southampton,2425,CF,84.8,CF,0.30291954628981965,0.3728108371772313,0.38879748377759055,0.44112807964695966,0.49999999999999994
Karlan Grant,West Brom,2021,CF,84.5,CF,0.34303305801730827,0.40328340186646006,0.38987364404639835,0.44169781155397553,0.49999999999999994
Fran Beltrán,Celta Vigo,2021,CF,84.4,CF,0.5602122307570285,0.44388892277178643,0.3901892335680429,0.44186488835955207,0.49999999999999994
Vinicius Júnior,Real Madrid,1920,CM,83.1,AM,0.5672121212121213,0.6961855054757339,0.5729135734032416,0.5386013035664219,0.49999999999999994
Luka Modrić,Real Madrid,2122,CM,82.9,AM,0.5861163850898363,0.7083834333991889,0.5779930389358893,0.5412904323778237,0.49999999999999994
Pablo Sarabia,Paris S-G,1920,CM,82.9,AM,0.5734019262391354,0.6959116495667153,0.538300337865225,0.5202766494580602,0.49999999999999994
Corentin Tolisso,Bayern Munich,1718,CM,82.6,AM,0.5773361038961038,0.6983849459790091,0.5388030443634902,0.5205427881924359,0.49999999999999994
Frenkie de Jong,Barcelona,2425,CM,82.1,CM,0.5925239799570508,0.7114239383609681,0.5704158987922465,0.537279005242954,0.49999999999999994
Bernardo Silva,Manchester City,1718,CM,82.0,AM,0.5921668449197861,0.7105141392130656,0.5645453899226271,0.5341710887825672,0.49999999999999994
Sada Thioub,Angers,1920,CM,82.0,AM,0.5409559867484617,0.6650278529791726,0.5466855689298228,0.5247158894334355,0.49999999999999994
Eliesse Ben Seghir,Monaco,2425,CM,81.8,AM,0.5770890225586607,0.6962652304693718,0.5785355327456623,0.5415776349829976,0.49999999999999994
Riyad Mahrez,Manchester City,1819,CM,81.6,AM,0.6020768761439901,0.7190225084717258,0.5851767066677205,0.5450935505887932,0.49999999999999994
Isco,Real Madrid,1819,CM,81.6,AM,0.6074637281910009,0.7241648404850244,0.6007891982173712,0.5533589872915495,0.49999999999999994
Ernest Nuamah,Lyon,2324,CM,81.4,AM,0.5422903247742394,0.6609270188437,0.5449021080106986,0.523771704240958,0.49999999999999994
Toni Kroos,Real Madrid,2122,CM,81.3,CM,0.6027485107485109,0.7184160313451029,0.5765184660519385,0.5405097761451438,0.49999999999999994
Maxime Lopez,Marseille,1920,CM,81.3,AM,0.5954855875831486,0.7110308268834692,0.5516269750928378,0.5273319279903258,0.49999999999999994
Piotr Zieliński,Napoli,1920,CM,81.3,AM,0.5739468531468532,0.7018956214286329,0.5863218094796794,0.545699781489242,0.49999999999999994
Arnaut Danjuma,Girona,2425,CM,81.2,AM,0.4589073305205093,0.6095896946171566,0.4946128592012268,0.49714798428300233,0.49999999999999994
Idrissa Gana Gueye,Everton,1718,DM,100.0,DM,0.7077694967225825,0.5082480631964946,0.4158140301337397,0.45543095712962683,0.49999999999999994
Morgan Schneiderlin,Everton,1718,DM,100.0,DM,0.6567809623717571,0.4566758668085695,0.3732561113340365,0.43290029423566634,0.49999999999999994
Jonathan Hogg,Huddersfield,1718,DM,100.0,DM,0.7037734046801738,0.48892635133309514,0.3964615397179245,0.44518552102713643,0.49999999999999994
Wilfred Ndidi,Leicester City,1718,DM,100.0,DM,0.7016494436923182,0.49018038085275384,0.40250075324223483,0.4483827517164772,0.49999999999999994
Geoff Cameron,Stoke City,1718,DM,100.0,DM,0.6135362271262743,0.41144159583844253,0.3779392061218465,0.4353795797115657,0.49999999999999994
Claudio Yacob,West Brom,1718,DM,100.0,DM,0.6580332185148614,0.4059784183599765,0.35778450148558355,0.4247094419629559,0.49999999999999994
Declan Rice,West Ham,1718,DM,100.0,DM,0.5908703585243054,0.38594488084308304,0.3587935940189425,0.42524366742179304,0.49999999999999994
Calum Chambers,Fulham,1819,DM,100.0,DM,0.7100918198758175,0.5038775021409996,0.4049616284211988,0.44968556798769344,0.49999999999999994
Jonathan Hogg,Huddersfield,1819,DM,100.0,DM,0.7200421104965227,0.5180513540220236,0.40507157143748446,0.4497437731139623,0.49999999999999994
Oriol Romeu,Southampton,1819,DM,100.0,DM,0.7219428071062501,0.515473130359124,0.39760449541357623,0.4457906152189521,0.49999999999999994
Étienne Capoue,Watford,1819,DM,100.0,DM,0.7000537834939446,0.48717788732660955,0.4014496221172107,0.4478262705326409,0.49999999999999994
Declan Rice,West Ham,1819,DM,100.0,DM,0.6695382363586011,0.4514430932175498,0.3831999272351525,0.43816466735978654,0.49999999999999994
Romain Saïss,Wolves,1819,DM,100.0,DM,0.703570653521421,0.4774282919950097,0.38057953263396727,0.4367773996297473,0.49999999999999994
Marvelous Nakamba,Aston Villa,1920,DM,100.0,DM,0.6489296889614553,0.42354351841661975,0.39684854375653245,0.44539040551816417,0.49999999999999994
Wilfred Ndidi,Leicester City,1920,DM,100.0,DM,0.6950520127882003,0.48808183061006544,0.41276848436571834,0.4538186093700861,0.49999999999999994
Marcelo,Real Madrid,1718,FB,82.1,FB,0.6897525051309912,0.7802825910835407,0.648579298583676,0.5786596286619461,0.49999999999999994
Achraf Hakimi,Paris S-G,2425,FB,80.2,FB,0.6790081686429512,0.7713092470586538,0.6283473567358897,0.5679486006248827,0.49999999999999994
Jesús Navas,Sevilla,1920,FB,79.6,FB,0.632025279533301,0.7320917203512378,0.540056858147053,0.5212065719602044,0.49999999999999994
Álvaro Odriozola,Real Madrid,1819,FB,78.7,FB,0.589508712987588,0.6629271368209784,0.5118793003924046,0.5062890413842142,0.49999999999999994
Manuel Lazzari,Lazio,1920,FB,78.7,FB,0.44949262781010096,0.5519789489808526,0.49149248867749207,0.4954960234174957,0.49999999999999994
Álvaro Odriozola,Real Sociedad,1718,FB,76.8,FB,0.587260970176892,0.6482740505974847,0.5010019874947367,0.5005304639678017,0.49999999999999994
Raphaël Guerreiro,Dortmund,2021,FB,76.8,FB,0.6883557526484354,0.7760409678790472,0.6198108353169922,0.5634292657560547,0.49999999999999994
Achraf Hakimi,Paris S-G,2324,FB,76.4,FB,0.6761206483439042,0.7683223318727456,0.618019621033655,0.5624809758413468,0.49999999999999994
Jeremie Frimpong,Leverkusen,2324,FB,75.9,FB,0.5416140796153,0.6702173255923226,0.562450618062488,0.5330620919154347,0.49999999999999994
Nico Schulz,Hoffenheim,1819,FB,74.6,FB,0.6199182757761583,0.7112622181486026,0.6060104772989512,0.5561231938641507,0.49999999999999994
Trent Alexander-Arnold,Liverpool,2021,FB,74.5,FB,0.724559031465968,0.7925820693882961,0.6017741587616061,0.5538804369914385,0.49999999999999994
Jordi Alba,Barcelona,2223,FB,73.1,FB,0.7002731108553892,0.7816011479704994,0.604912509083066,0.5555419165733879,0.49999999999999994
Manuel Lazzari,SPAL,1819,FB,73.0,FB,0.5513280782794143,0.6453916379579405,0.5673826310693186,0.5356731576249333,0.49999999999999994
Alphonso Davies,Bayern Munich,2122,FB,72.8,FB,0.7345021196420158,0.7804112003622988,0.5597761849121206,0.5316462155417108,0.49999999999999994
Mário Rui,Napoli,1819,FB,72.6,FB,0.691188563900937,0.7687213204017894,0.5576001076210287,0.5304941746228975,0.49999999999999994
Eden Hazard,Chelsea,1819,W,100.0,W,0.48695608391608386,0.6583594151303243,0.6700000000000002,0.59,0.49999999999999994
Willian,Chelsea,1819,W,100.0,W,0.5817344258030954,0.716518852197354,0.6700000000000002,0.59,0.49999999999999994
Callum Hudson-Odoi,Chelsea,2021,W,100.0,W,0.5934196199280943,0.7236893122286034,0.6700000000000002,0.59,0.49999999999999994
Jack Grealish,Manchester City,2122,W,100.0,W,0.5021249110826576,0.667667559073449,0.6700000000000002,0.59,0.49999999999999994
Allan Saint-Maximin,Newcastle Utd,2223,W,100.0,W,0.5655676167956574,0.7062997619940318,0.6700000000000002,0.59,0.49999999999999994
Bukayo Saka,Arsenal,2324,W,100.0,W,0.6257328843995511,0.7435179063360883,0.6700000000000002,0.59,0.49999999999999994
Mohamed Salah,Liverpool,2324,W,100.0,CF,0.4716366078392828,0.6396157097689619,0.6696919663197001,0.5898369233457235,0.49999999999999994
Lionel Messi,Barcelona,1718,W,100.0,CF,0.4624344344344344,0.6433120393120394,0.6700000000000002,0.59,0.49999999999999994
Lionel Messi,Barcelona,1819,W,100.0,CF,0.44879855028692234,0.6349445649487933,0.6700000000000002,0.59,0.49999999999999994
Lionel Messi,Barcelona,1920,W,100.0,CF,0.4425545454545455,0.6311130165289257,0.6700000000000002,0.59,0.49999999999999994
Ousmane Dembélé,Barcelona,2122,W,100.0,W,0.5514757768770508,0.6979510449018267,0.6700000000000002,0.59,0.49999999999999994
Vinicius Júnior,Real Madrid,2122,W,100.0,W,0.5382260058781798,0.6898205036070649,0.6700000000000002,0.59,0.49999999999999994
Antoine Griezmann,Atlético Madrid,2223,W,100.0,CF,0.5626276415941995,0.6608896180619387,0.6700000000000002,0.59,0.49999999999999994
Ousmane Dembélé,Barcelona,2223,W,100.0,W,0.5241914688284115,0.6812084013265253,0.6700000000000002,0.59,0.49999999999999994
Raphinha,Barcelona,2223,W,100.0,CF,0.588368906455863,0.7205900107797342,0.6700000000000002,0.59,0.49999999999999994
