player,team,season,position_taxonomy,position_confidence,position_taxonomy_v1,_score_DM,_score_CM,_score_AM,_score_W,_score_CF
Lucas Pérez,Cádiz,2122,AM,93.9,AM,0.3330503373250168,0.45829770927042124,0.6280318275642154,0.5365805221612043,0.5
Andreas Pereira,Fulham,2324,AM,85.6,AM,0.4145066888617847,0.5346368382605006,0.668484242610503,0.5481383550315723,0.5
Isaac Success,Udinese,2122,AM,83.8,AM,0.3685851706827678,0.49440657852529135,0.6208526228059612,0.5345293208017032,0.5
Ryan Fraser,Newcastle Utd,2021,AM,82.7,AM,0.3653467558020879,0.47304917961009596,0.5946725439291694,0.5270492982654769,0.5
Adama Traoré,Metz,1920,AM,82.5,AM,0.4462144267765649,0.5541909547903476,0.6749999999999999,0.5499999999999999,0.5
Simone Verdi,Torino,2021,AM,82.1,AM,0.44561322370658724,0.5562968276563656,0.6749999999999999,0.5499999999999999,0.5
Nicolas Viola,Cagliari,2324,AM,80.8,AM,0.42144776292103575,0.5297136947535405,0.6429495715729764,0.5408427347351361,0.5
Emil Forsberg,RB Leipzig,2021,AM,79.9,AM,0.4058492637502707,0.5297155808909207,0.6390249597218906,0.5397214170633973,0.5
Thomas Müller,Bayern Munich,2425,AM,79.9,AM,0.41764669896752654,0.565390620760902,0.6749999999999999,0.5499999999999999,0.5
Max Kruse,Union Berlin,2122,AM,79.8,AM,0.3978171774944564,0.5209988468291117,0.6301104354335155,0.5371744101238616,0.5
Rodrigo Zalazar,Schalke 04,2223,AM,79.5,AM,0.4931277055258158,0.5338677598098511,0.6416711892598822,0.5404774826456806,0.5
Andreas Pereira,Fulham,2425,AM,77.5,AM,0.4549435487916665,0.5422436210901771,0.6414170159343617,0.5404048616955319,0.5
Dwight McNeil,Everton,2425,AM,76.9,AM,0.46296403337140984,0.5694520418399558,0.6659728851696338,0.547420824334181,0.5
Dani Raba,Leganés,2425,AM,76.6,AM,0.4987377587495549,0.5719655558952059,0.6669636035503032,0.547703886728658,0.5
Albert Guðmundsson,Genoa,2324,AM,76.0,AM,0.4229346385068054,0.529015771567222,0.6214066106806715,0.5346876030516203,0.5
Ewerton,Nürnberg,1819,CB,84.6,CB,0.6190959400806029,0.33459989289473197,0.34329816204107205,0.4552280462974491,0.5
Grant Hanley,Norwich City,1920,CB,84.5,CB,0.5758227247288257,0.31966655647747205,0.325,0.44999999999999996,0.5
Boubakar Kouyaté,Metz,2021,CB,84.0,CB,0.6187146433274271,0.3319433995563459,0.34021185775641016,0.45434624507326,0.5
Salif Sané,Schalke 04,2021,CB,83.7,CB,0.6395310966031134,0.4102325792475129,0.3824505062030117,0.4664144303437176,0.5
Federico Fazio,Salernitana,2324,CB,83.5,CB,0.5514398993977376,0.35550623040309565,0.35918810670871726,0.4597680304882049,0.5
Yerry Mina,Cagliari,2324,CB,83.4,CB,0.5326825520822129,0.33725398423261055,0.3451420371167238,0.45575486774763535,0.5
Sol Bamba,Cardiff City,1819,CB,83.3,CB,0.6342091568428394,0.36626480454974425,0.35825267218542767,0.4595007634815507,0.5
Jubal,Auxerre,2425,CB,83.2,CB,0.566487010543534,0.33611682485697414,0.35258565410989395,0.45788161545996964,0.5
Andreas Hanche-Olsen,Mainz 05,2425,CB,83.1,CB,0.5369698594136174,0.3587816998343397,0.3503705155626874,0.45724871873219636,0.5
Christopher Jullien,Montpellier,2324,CB,83.0,CB,0.5801933995105564,0.35616478216857717,0.3598854201974907,0.4599672629135687,0.5
Kastriot Dermaku,Parma,1920,CB,82.8,CB,0.5048506943497182,0.3179433404677973,0.34303595744627335,0.4551531306989352,0.5
Jon Martin,Real Sociedad,2425,CB,82.7,CB,0.5536413487307197,0.39373036197667804,0.37857781873048524,0.46530794820871,0.5
Dario Dainelli,Chievo,1718,CB,82.7,CB,0.652611838596346,0.38361142969535844,0.34553040453897443,0.45586582986827834,0.5
Matija Nastasić,Leganés,2425,CB,82.5,CB,0.5241652366475114,0.3408915466496844,0.3373055795991745,0.45351587988547837,0.5
Yunis Abdelhamid,Saint-Étienne,2425,CB,82.5,CB,0.5536676199834323,0.3652907133246509,0.35093944084336337,0.4574112688123895,0.5
Martin Satriano,Brest,2122,CF,93.3,CF,0.3106021804755855,0.35060940052886774,0.3528889744693099,0.45796827841980275,0.5
Anuar,Valladolid,1819,CF,91.0,CF,0.5081375796808361,0.3884785509814933,0.361927068047327,0.4605505908706648,0.5
Milan Đurić,Monza,2425,CF,90.2,CF,0.24462833548827861,0.3191845088847166,0.3646640994739683,0.4613325998497052,0.5
Sammie Szmodics,Ipswich Town,2425,CF,87.0,CF,0.43024998398461295,0.408287124059332,0.3771495651894812,0.4648998757684232,0.5
Elias Kachunga,Huddersfield,1819,CF,86.9,CF,0.4245755546595726,0.42731186183277636,0.3774369491472327,0.46498198547063785,0.5
Rafa Mir,Huesca,2021,CF,86.4,CF,0.31815007196087086,0.37225272374250695,0.37943385530794604,0.46555253008798453,0.5
Orri Steinn Óskarsson,Real Sociedad,2425,CF,86.3,CF,0.30234206180812684,0.36559970570326467,0.37963287781755173,0.4656093936621576,0.5
Diego,Leganés,2425,CF,86.2,CF,0.27087941307523233,0.34739458786166333,0.37983177412391744,0.46566622117826206,0.5
Youssef En-Nesyri,Sevilla,2324,CF,86.0,CF,0.25853958433095847,0.3255843749901697,0.38078076600674793,0.46593736171621364,0.5
Milan Đurić,Monza,2324,CF,86.0,CF,0.284534208118198,0.3198499487032164,0.3808797658295394,0.46596564737986834,0.5
Mattia Destro,Genoa,2021,CF,85.3,CF,0.29567054974231355,0.3681864839760337,0.38354317035229335,0.4667266201006552,0.5
Youssef En-Nesyri,Sevilla,2122,CF,85.2,CF,0.31549385302794397,0.36315453921460894,0.3839168770197352,0.46683339343421,0.5
Cameron Archer,Southampton,2425,CF,84.8,CF,0.30291954628981965,0.3728108371772313,0.385526821535755,0.46729337758164424,0.5
Karlan Grant,West Brom,2021,CF,84.5,CF,0.34303305801730827,0.40328340186646006,0.38663463357717476,0.4676098953077642,0.5
Fran Beltrán,Celta Vigo,2021,CF,84.4,CF,0.5602122307570285,0.44388892277178643,0.3869595051435736,0.4677027157553067,0.5
Luka Modrić,Real Madrid,2122,CM,82.9,AM,0.5861163850898363,0.7083834333991889,0.5802869518457683,0.5229391290987909,0.5
Pablo Sarabia,Paris S-G,1920,CM,82.9,AM,0.5734019262391354,0.6959116495667153,0.5394268183906727,0.5112648052544779,0.5
Vinicius Júnior,Real Madrid,1920,CM,82.6,AM,0.5672121212121213,0.6961855054757339,0.5750580902680426,0.5214451686480122,0.5
Corentin Tolisso,Bayern Munich,1718,CM,82.6,AM,0.5773361038961038,0.6983849459790091,0.539944310374181,0.5114126601069089,0.5
Frenkie de Jong,Barcelona,2425,CM,82.1,CM,0.5925239799570508,0.7114239383609681,0.5724869546390773,0.5207105584683077,0.5
Bernardo Silva,Manchester City,1718,CM,82.0,AM,0.5921668449197861,0.7105141392130656,0.5664437837438808,0.5189839382125373,0.5
Sada Thioub,Angers,1920,CM,81.7,AM,0.5409559867484617,0.6650278529791726,0.5480586738983468,0.513731049685242,0.5
Riyad Mahrez,Manchester City,1819,CM,81.6,AM,0.6020768761439901,0.7190225084717258,0.5876819039226533,0.5250519725493294,0.5
Isco,Real Madrid,1819,CM,81.6,AM,0.6074637281910009,0.7241648404850244,0.603753586400235,0.5296438818286385,0.5
Toni Kroos,Real Madrid,2122,CM,81.3,CM,0.6027485107485109,0.7184160313451029,0.578769009171113,0.5225054311917465,0.5
Maxime Lopez,Marseille,1920,CM,81.3,AM,0.5954855875831486,0.7110308268834692,0.5531454155367447,0.5151844044390699,0.5
Eliesse Ben Seghir,Monaco,2425,CM,81.3,AM,0.5770890225586607,0.6962652304693718,0.5808454013558287,0.5230986861016653,0.5
Arnaut Danjuma,Girona,2425,CM,81.2,AM,0.4589073305205093,0.6095896946171566,0.49445441388361566,0.49841554682389017,0.5
Ernest Nuamah,Lyon,2324,CM,81.1,AM,0.5422903247742394,0.6609270188437,0.5462227582463072,0.5132065023560878,0.5
Rodrigo De Paul,Atlético Madrid,2425,CM,80.9,CM,0.6112913752913753,0.7248340074272798,0.5890569419753472,0.5254448405643849,0.5
Idrissa Gana Gueye,Everton,1718,DM,100.0,DM,0.7077694967225825,0.5082480631964946,0.4133379721964967,0.47523942062757046,0.5
Morgan Schneiderlin,Everton,1718,DM,100.0,DM,0.6567809623717571,0.4566758668085695,0.3695283499026847,0.4627223856864813,0.5
Jonathan Hogg,Huddersfield,1718,DM,100.0,DM,0.7037734046801738,0.48892635133309514,0.39341629088609875,0.46954751168174247,0.5
Wilfred Ndidi,Leicester City,1718,DM,100.0,DM,0.7016494436923182,0.49018038085275384,0.3996331283375947,0.47132375095359846,0.5
Geoff Cameron,Stoke City,1718,DM,100.0,DM,0.6135362271262743,0.41144159583844253,0.3743491827724891,0.4640997665064254,0.5
Claudio Yacob,West Brom,1718,DM,100.0,DM,0.6580332185148614,0.4059784183599765,0.3536016927057478,0.45817191220164216,0.5
Declan Rice,West Ham,1718,DM,100.0,DM,0.5908703585243054,0.38594488084308304,0.3546404644312644,0.45846870412321833,0.5
Calum Chambers,Fulham,1819,DM,100.0,DM,0.7100918198758175,0.5038775021409996,0.4021663821982929,0.4720475377709408,0.5
Jonathan Hogg,Huddersfield,1819,DM,100.0,DM,0.7200421104965227,0.5180513540220236,0.4022795588327046,0.4720798739522013,0.5
Oriol Romeu,Southampton,1819,DM,100.0,DM,0.7219428071062501,0.515473130359124,0.39459286292574025,0.46988367512164003,0.5
Étienne Capoue,Watford,1819,DM,100.0,DM,0.7000537834939446,0.48717788732660955,0.3985510815912463,0.47101459474035606,0.5
Declan Rice,West Ham,1819,DM,100.0,DM,0.6695382363586011,0.4514430932175498,0.3797646309773629,0.46564703742210367,0.5
Romain Saïss,Wolves,1819,DM,100.0,DM,0.703570653521421,0.4774282919950097,0.37706716594673106,0.4648763331276374,0.5
Marvelous Nakamba,Aston Villa,1920,DM,100.0,DM,0.6489296889614553,0.42354351841661975,0.3938146773964305,0.4696613363989801,0.5
Wilfred Ndidi,Leicester City,1920,DM,100.0,DM,0.6950520127882003,0.48808183061006544,0.41020285155294534,0.47434367187227006,0.5
Marcelo,Real Madrid,1718,FB,82.1,FB,0.6897525051309912,0.7802825910835407,0.652949277953784,0.5436997937010811,0.5
Achraf Hakimi,Paris S-G,2425,FB,80.2,FB,0.6790081686429512,0.7713092470586538,0.6321222789928276,0.5377492225693793,0.5
Jesús Navas,Sevilla,1920,FB,79.6,FB,0.632025279533301,0.7320917203512378,0.5412350010337309,0.5117814288667802,0.5
Álvaro Odriozola,Real Madrid,1819,FB,78.7,FB,0.589508712987588,0.6629271368209784,0.5122286915804165,0.5034939118801189,0.5
Manuel Lazzari,Lazio,1920,FB,78.7,FB,0.44949262781010096,0.5519789489808526,0.4912422677562418,0.4974977907874976,0.5
Álvaro Odriozola,Real Sociedad,1718,FB,76.8,FB,0.587260970176892,0.6482740505974847,0.50103145771517,0.5002947022043343,0.5
Raphaël Guerreiro,Dortmund,2021,FB,76.8,FB,0.6883557526484354,0.7760409678790472,0.6233346834145508,0.5352384809755859,0.5
Achraf Hakimi,Paris S-G,2324,FB,76.4,FB,0.6761206483439042,0.7683223318727456,0.6214907863581742,0.5347116532451927,0.5
Jeremie Frimpong,Leverkusen,2324,FB,75.9,FB,0.5416140796153,0.6702173255923226,0.5642874009466786,0.5183678288419081,0.5
Nico Schulz,Hoffenheim,1819,FB,74.6,FB,0.6199182757761583,0.7112622181486026,0.6091284325136261,0.5311795521467503,0.5
Trent Alexander-Arnold,Liverpool,2021,FB,74.5,FB,0.724559031465968,0.7925820693882961,0.6047675163722416,0.5299335761063547,0.5
Jordi Alba,Barcelona,2223,FB,73.1,FB,0.7002731108553892,0.7816011479704994,0.6079981711149208,0.5308566203185487,0.5
Manuel Lazzari,SPAL,1819,FB,73.0,FB,0.5513280782794143,0.6453916379579405,0.5693644731595926,0.5198184209027407,0.5
Alphonso Davies,Bayern Munich,2122,FB,72.8,FB,0.7345021196420158,0.7804112003622988,0.561534307997771,0.517581230856506,0.5
Mário Rui,Napoli,1819,FB,72.6,FB,0.691188563900937,0.7687213204017894,0.5592942284334118,0.5169412081238319,0.5
Eden Hazard,Chelsea,1819,W,100.0,W,0.48695608391608386,0.6583594151303243,0.6749999999999999,0.5499999999999999,0.5
Willian,Chelsea,1819,W,100.0,W,0.5817344258030954,0.716518852197354,0.6749999999999999,0.5499999999999999,0.5
Callum Hudson-Odoi,Chelsea,2021,W,100.0,W,0.5934196199280943,0.7236893122286034,0.6749999999999999,0.5499999999999999,0.5
Jack Grealish,Manchester City,2122,W,100.0,W,0.5021249110826576,0.667667559073449,0.6749999999999999,0.5499999999999999,0.5
Allan Saint-Maximin,Newcastle Utd,2223,W,100.0,W,0.5655676167956574,0.7062997619940318,0.6749999999999999,0.5499999999999999,0.5
Bukayo Saka,Arsenal,2324,W,100.0,W,0.6257328843995511,0.7435179063360883,0.6749999999999999,0.5499999999999999,0.5
Mohamed Salah,Liverpool,2324,W,100.0,CF,0.4716366078392828,0.6396157097689619,0.6746829065055735,0.5499094018587353,0.5
Lionel Messi,Barcelona,1718,W,100.0,CF,0.4624344344344344,0.6433120393120394,0.6749999999999999,0.5499999999999999,0.5
Lionel Messi,Barcelona,1819,W,100.0,CF,0.44879855028692234,0.6349445649487933,0.6749999999999999,0.5499999999999999,0.5
Lionel Messi,Barcelona,1920,W,100.0,CF,0.4425545454545455,0.6311130165289257,0.6749999999999999,0.5499999999999999,0.5
Ousmane Dembélé,Barcelona,2122,W,100.0,W,0.5514757768770508,0.6979510449018267,0.6749999999999999,0.5499999999999999,0.5
