role_subgroup,archetype_id,primary_role,role_fit_bucket,n
ATT_CF,2,Box Finisher,Ambiguous Fit,825
ATT_CF,2,Box Finisher,Good Fit,62
ATT_CF,2,Box Finisher,Hybrid Fit,119
ATT_CF,2,Box Finisher,Strong Fit,5
ATT_CF,0,Creator Forward,Ambiguous Fit,353
ATT_CF,0,Creator Forward,Good Fit,21
ATT_CF,0,Creator Forward,Hybrid Fit,50
ATT_CF,1,Mobile Forward,Ambiguous Fit,307
ATT_CF,1,Mobile Forward,Good Fit,14
ATT_CF,1,Mobile Forward,Hybrid Fit,40
ATT_CF,1,Mobile Forward,Strong Fit,1
DEF_CB,2,Aerial Defender,Ambiguous Fit,1500
DEF_CB,2,Aerial Defender,Good Fit,35
DEF_CB,2,Aerial Defender,Hybrid Fit,202
DEF_CB,2,Aerial Defender,Strong Fit,1
DEF_CB,1,Aggressive Defender,Ambiguous Fit,1449
DEF_CB,1,Aggressive Defender,Good Fit,55
DEF_CB,1,Aggressive Defender,Hybrid Fit,188
DEF_CB,1,Aggressive Defender,Strong Fit,2
DEF_CB,0,Ball-Playing Centre-Back,Ambiguous Fit,846
DEF_CB,0,Ball-Playing Centre-Back,Good Fit,35
DEF_CB,0,Ball-Playing Centre-Back,Hybrid Fit,100
DEF_CB,0,Ball-Playing Centre-Back,Strong Fit,2
MID,0,Attacking Progressor,Ambiguous Fit,1557
MID,0,Attacking Progressor,Good Fit,117
MID,0,Attacking Progressor,Hybrid Fit,354
MID,0,Attacking Progressor,Strong Fit,22
MID,1,Ball Winner,Ambiguous Fit,2036
MID,1,Ball Winner,Good Fit,123
MID,1,Ball Winner,Hybrid Fit,356
MID,1,Ball Winner,Strong Fit,13
MID,2,Creative Playmaker,Ambiguous Fit,897
MID,2,Creative Playmaker,Good Fit,55
MID,2,Creative Playmaker,Hybrid Fit,140
MID,2,Creative Playmaker,Strong Fit,7
