feature,non_null_rate,non_zero_rate
goals_p90,1.0,0.6647727272727273
assists_p90,1.0,0.6608810709838107
xg_p90,1.0,0.9088574097135741
xag_p90,1.0,0.8976494396014943
shots_p90,1.0,0.926447696139477
sot_p90,1.0,0.8667496886674969
progressive_carries_p90,1.0,0.9232565379825654
progressive_passes_p90,1.0,0.949252801992528
key_passes_p90,1.0,0.949953300124533
progressive_receipts_p90,1.0,0.9122820672478207
crosses_penalty_area_p90,1.0,0.7028331257783312
passes_penalty_area_p90,1.0,0.9244240348692403
passes_final_third_p90,1.0,0.9989103362391034
recoveries_p90,1.0,1.0
tackles_p90,1.0,0.9592154420921544
tackles_won_p90,1.0,0.9460616438356164
pass_completion_pct,1.0,1.0
long_pass_completion_pct,1.0,0.9996886674968867
through_balls_p90,1.0,0.6330168119551681
switches_p90,1.0,0.9147727272727273
sca_p90,1.0,0.9941625155666252
gca_p90,1.0,0.8609122042341221
sca_live_p90,1.0,0.9902708592777086
gca_live_p90,1.0,0.813667496886675
takeons_attempted_p90,1.0,0.9431818181818182
takeons_success_p90,1.0,0.9328300124533001
carries_box_p90,1.0,0.7771637608966376
touches_box_p90,1.0,0.9290161892901619
touches_att_third_p90,1.0,0.9340753424657534
defending_index_role,1.0,1.0
errors_p90,1.0,0.43462017434620176
finishing_index_role,1.0,0.9319738480697385
interceptions_p90,1.0,0.9540006226650062
tkl_int_p90,1.0,0.9768057285180572
blocks_p90,1.0,0.9401463262764632
clearances_p90,1.0,0.9968088418430884
aerials_won_p90,1.0,0.9950186799501868
duel_index_role,1.0,0.9985211706102117
progression_index_role,1.0,0.9991438356164384
creation_index_role,1.0,0.9943181818181818
aerials_won_pct,0.9985211706102117,0.9950186799501868
takeons_success_pct,0.9431818181818182,0.9328300124533001
shot_distance,0.926447696139477,0.926447696139477
g_per_shot,0.926447696139477,0.6573785803237858
g_per_sot,0.8667496886674969,0.6573785803237858
