role_subgroup,archetype_id,role_name,rank,player,team,league,season,minutes,primary_role_similarity,role_confidence,secondary_role
ATT_CF,0,Creator Forward,1,Gianluca Scamacca,Atalanta,ITA-Serie A,2324,1453,79.8,10.8,Mobile Forward
ATT_CF,0,Creator Forward,2,Stephan El Shaarawy,Roma,ITA-Serie A,2122,1055,79.7,14.4,Mobile Forward
ATT_CF,0,Creator Forward,3,Anthony Limbombe,Nantes,FRA-Ligue 1,1819,1237,79.1,4.6,Mobile Forward
ATT_CF,0,Creator Forward,4,Jacob Murphy,Newcastle Utd,ENG-Premier League,2324,1189,78.5,9.8,Creator Forward
ATT_CF,0,Creator Forward,5,Hirving Lozano,Napoli,ITA-Serie A,2223,1605,77.8,12.0,Box Finisher
ATT_CF,0,Creator Forward,6,Mykhailo Mudryk,Chelsea,ENG-Premier League,2324,1576,77.6,7.3,Mobile Forward
ATT_CF,0,Creator Forward,7,Andy Delort,Montpellier,FRA-Ligue 1,2021,2482,76.8,3.5,Creator Forward
ATT_CF,0,Creator Forward,8,Roberto Firmino,Liverpool,ENG-Premier League,2122,990,75.9,6.4,Box Finisher
ATT_CF,0,Creator Forward,9,Harry Kane,Tottenham,ENG-Premier League,2021,3082,74.9,7.5,Creator Forward
ATT_CF,0,Creator Forward,10,François Kamano,Bordeaux,FRA-Ligue 1,1718,2014,74.7,4.4,Mobile Forward
ATT_CF,0,Creator Forward,11,Victor Boniface,Leverkusen,GER-Bundesliga,2324,1546,74.7,9.7,Box Finisher
ATT_CF,0,Creator Forward,12,Sheraldo Becker,Union Berlin,GER-Bundesliga,2223,2554,74.4,10.2,Creator Forward
ATT_CF,0,Creator Forward,13,Wilfried Zaha,Crystal Palace,ENG-Premier League,2122,2760,74.0,6.9,Creator Forward
ATT_CF,0,Creator Forward,14,Matteo Politano,Napoli,ITA-Serie A,2122,1650,72.6,2.3,Creator Forward
ATT_CF,0,Creator Forward,15,Jadon Sancho,Chelsea,ENG-Premier League,2425,1764,72.5,8.2,Box Finisher
ATT_CF,0,Creator Forward,16,Dodi Lukebakio,Sevilla,ESP-La Liga,2425,3092,72.3,8.8,Creator Forward
ATT_CF,0,Creator Forward,17,Marcus Rashford,Manchester Utd,ENG-Premier League,2324,2271,72.1,0.6,Creator Forward
ATT_CF,0,Creator Forward,18,Diogo Jota,Liverpool,ENG-Premier League,2021,1112,71.6,7.2,Mobile Forward
ATT_CF,0,Creator Forward,19,Duván Zapata,Atalanta,ITA-Serie A,1920,2026,71.6,1.6,Box Finisher
ATT_CF,0,Creator Forward,20,Ferrán Torres,Barcelona,ESP-La Liga,2324,1211,70.8,8.0,Creator Forward
ATT_CF,1,Mobile Forward,1,Jim Allevinah,Clermont Foot,FRA-Ligue 1,2122,1488,81.6,11.3,Creator Forward
ATT_CF,1,Mobile Forward,2,Ridle Baku,Wolfsburg,GER-Bundesliga,2021,2678,78.3,11.7,Creator Forward
ATT_CF,1,Mobile Forward,3,Sergi Canós,Brentford,ENG-Premier League,2122,2083,77.6,18.7,Mobile Forward
ATT_CF,1,Mobile Forward,4,Mitchel Bakker,Lille,FRA-Ligue 1,2425,1139,75.8,1.3,Mobile Forward
ATT_CF,1,Mobile Forward,5,Tim Skarke,Darmstadt 98,GER-Bundesliga,2324,2404,75.8,16.3,Creator Forward
ATT_CF,1,Mobile Forward,6,Caiuby,Augsburg,GER-Bundesliga,1718,2855,75.4,6.7,Mobile Forward
ATT_CF,1,Mobile Forward,7,Miguel Almirón,Newcastle Utd,ENG-Premier League,2324,1937,74.4,4.5,Mobile Forward
ATT_CF,1,Mobile Forward,8,Pavel Kadeřábek,Hoffenheim,GER-Bundesliga,1718,2199,72.9,12.7,Mobile Forward
ATT_CF,1,Mobile Forward,9,Pavel Kadeřábek,Hoffenheim,GER-Bundesliga,1920,2474,72.7,4.4,Mobile Forward
ATT_CF,1,Mobile Forward,10,Sergi Guardiola,Valladolid,ESP-La Liga,2021,1795,71.5,5.7,Creator Forward
ATT_CF,1,Mobile Forward,11,Farid El Melali,Angers,FRA-Ligue 1,2425,1893,71.5,11.2,Creator Forward
ATT_CF,1,Mobile Forward,12,Joelinton,Newcastle Utd,ENG-Premier League,1920,2683,71.3,3.9,Box Finisher
ATT_CF,1,Mobile Forward,13,Rasmus Carstensen,Köln,GER-Bundesliga,2324,1659,71.2,17.5,Mobile Forward
ATT_CF,1,Mobile Forward,14,Luiz Henrique,Betis,ESP-La Liga,2223,1807,71.0,9.2,Creator Forward
ATT_CF,1,Mobile Forward,15,Iñaki Williams,Athletic Club,ESP-La Liga,1920,2939,70.1,4.2,Creator Forward
ATT_CF,1,Mobile Forward,16,Hidde ter Avest,Udinese,ITA-Serie A,1819,973,69.8,9.2,Mobile Forward
ATT_CF,1,Mobile Forward,17,Alan Virginius,Clermont Foot,FRA-Ligue 1,2324,934,69.4,6.7,Creator Forward
ATT_CF,1,Mobile Forward,18,Nordi Mukiele,RB Leipzig,GER-Bundesliga,1920,1783,68.7,13.1,Creator Forward
ATT_CF,1,Mobile Forward,19,Adrián López,Osasuna,ESP-La Liga,1920,1443,68.3,1.9,Box Finisher
ATT_CF,1,Mobile Forward,20,Mirco Antenucci,SPAL,ITA-Serie A,1819,2133,68.3,4.6,Box Finisher
ATT_CF,2,Box Finisher,1,Ihlas Bebou,Hoffenheim,GER-Bundesliga,2223,1416,84.1,17.0,Creator Forward
ATT_CF,2,Box Finisher,2,Arkadiusz Milik,Napoli,ITA-Serie A,1819,2396,83.5,18.0,Creator Forward
ATT_CF,2,Box Finisher,3,Mariusz Stępiński,Chievo,ITA-Serie A,1819,2476,82.8,16.8,Mobile Forward
ATT_CF,2,Box Finisher,4,Mama Samba Baldé,Troyes,FRA-Ligue 1,2223,2665,81.5,17.5,Creator Forward
ATT_CF,2,Box Finisher,5,Odsonne Édouard,Crystal Palace,ENG-Premier League,2122,1564,80.5,15.3,Creator Forward
ATT_CF,2,Box Finisher,6,Gianluca Scamacca,West Ham,ENG-Premier League,2223,926,79.6,17.2,Creator Forward
ATT_CF,2,Box Finisher,7,Martin Satriano,Brest,FRA-Ligue 1,2324,1864,79.5,13.0,Creator Forward
ATT_CF,2,Box Finisher,8,Jonathan Calleri,Las Palmas,ESP-La Liga,1718,3109,79.3,9.1,Creator Forward
ATT_CF,2,Box Finisher,9,Serhou Guirassy,Amiens,FRA-Ligue 1,1920,1921,79.3,14.5,Creator Forward
ATT_CF,2,Box Finisher,10,Gaëtan Laborde,Nice,FRA-Ligue 1,2223,2506,79.1,3.5,Creator Forward
ATT_CF,2,Box Finisher,11,Nikola Krstović,Lecce,ITA-Serie A,2324,2373,79.1,16.8,Creator Forward
ATT_CF,2,Box Finisher,12,Wesley Saïd,Lens,FRA-Ligue 1,2425,905,78.7,20.9,Creator Forward
ATT_CF,2,Box Finisher,13,Gerard Moreno,Villarreal,ESP-La Liga,1819,2315,78.2,9.1,Creator Forward
ATT_CF,2,Box Finisher,14,Beto,Everton,ENG-Premier League,2324,951,77.8,14.4,Creator Forward
ATT_CF,2,Box Finisher,15,Jonas Wind,Wolfsburg,GER-Bundesliga,2324,2651,77.7,21.6,Mobile Forward
ATT_CF,2,Box Finisher,16,Neal Maupay,Marseille,FRA-Ligue 1,2425,1042,77.6,22.2,Creator Forward
ATT_CF,2,Box Finisher,17,Gaëtan Laborde,Bordeaux,FRA-Ligue 1,1718,957,77.2,12.3,Creator Forward
ATT_CF,2,Box Finisher,18,Taiwo Awoniyi,Nott'ham Forest,ENG-Premier League,2324,1042,77.0,17.8,Creator Forward
ATT_CF,2,Box Finisher,19,Cédric Bakambu,Villarreal,ESP-La Liga,1718,1263,76.7,21.6,Creator Forward
ATT_CF,2,Box Finisher,20,Borja Mayoral,Roma,ITA-Serie A,2021,1551,76.7,18.7,Creator Forward
DEF_CB,0,Ball-Playing Centre-Back,1,Kalidou Koulibaly,Napoli,ITA-Serie A,1819,3132,85.9,25.2,Aerial Defender
DEF_CB,0,Ball-Playing Centre-Back,2,Carlos Augusto,Inter,ITA-Serie A,2425,1691,80.1,11.0,Aerial Defender
DEF_CB,0,Ball-Playing Centre-Back,3,Rob Holding,Arsenal,ENG-Premier League,2021,2558,79.9,15.8,Aerial Defender
DEF_CB,0,Ball-Playing Centre-Back,4,Dominique Heintz,Freiburg,GER-Bundesliga,2021,1369,79.4,16.3,Aerial Defender
DEF_CB,0,Ball-Playing Centre-Back,5,Marin Pongračić,Lecce,ITA-Serie A,2324,3219,78.7,15.6,Aerial Defender
DEF_CB,0,Ball-Playing Centre-Back,6,Jean-Charles Castelletto,Nantes,FRA-Ligue 1,2324,2464,77.4,9.7,Ball-Playing Centre-Back
DEF_CB,0,Ball-Playing Centre-Back,7,Sead Kolašinac,Arsenal,ENG-Premier League,1920,1701,77.2,8.9,Ball-Playing Centre-Back
DEF_CB,0,Ball-Playing Centre-Back,8,Mattia De Sciglio,Lyon,FRA-Ligue 1,2021,1467,76.5,6.6,Ball-Playing Centre-Back
DEF_CB,0,Ball-Playing Centre-Back,9,Emerson Palmieri,Lyon,FRA-Ligue 1,2122,2264,76.0,12.0,Ball-Playing Centre-Back
DEF_CB,0,Ball-Playing Centre-Back,10,Danilo D'Ambrosio,Inter,ITA-Serie A,1920,1402,75.7,8.4,Aerial Defender
DEF_CB,0,Ball-Playing Centre-Back,11,Jakub Kiwior,Arsenal,ENG-Premier League,2324,946,75.6,4.5,Ball-Playing Centre-Back
DEF_CB,0,Ball-Playing Centre-Back,12,Edmond Tapsoba,Leverkusen,GER-Bundesliga,2223,2871,75.6,7.9,Aerial Defender
DEF_CB,0,Ball-Playing Centre-Back,13,Hans Hateboer,Rennes,FRA-Ligue 1,2425,1684,74.9,5.6,Aerial Defender
DEF_CB,0,Ball-Playing Centre-Back,14,César Azpilicueta,Chelsea,ENG-Premier League,1718,3330,74.8,12.8,Ball-Playing Centre-Back
DEF_CB,0,Ball-Playing Centre-Back,15,Emmanuel Agbadou,Reims,FRA-Ligue 1,2425,1260,74.5,6.3,Aerial Defender
DEF_CB,0,Ball-Playing Centre-Back,16,Lilian Brassier,Brest,FRA-Ligue 1,2324,2677,73.9,9.7,Ball-Playing Centre-Back
DEF_CB,0,Ball-Playing Centre-Back,17,Willi Orban,RB Leipzig,GER-Bundesliga,2223,2951,73.1,16.9,Aerial Defender
DEF_CB,0,Ball-Playing Centre-Back,18,Lucas Perrin,Strasbourg,FRA-Ligue 1,2324,2723,72.7,12.5,Aerial Defender
DEF_CB,0,Ball-Playing Centre-Back,19,Ricardo Rodríguez,Torino,ITA-Serie A,2324,2772,72.5,10.4,Ball-Playing Centre-Back
