position_group,role_subgroup,primary_role,rank,player,team,league,season,primary_role_similarity,role_confidence,minutes,representative_filter
ATT,ATT_CF,Linking Forward,1,Karim Adeyemi,RB Salzburg,Austrian Bundesliga,2021-2022,71.5,45.5,1941,minutes>=1200
ATT,ATT_CF,Linking Forward,2,Myron Boadu,AZ Alkmaar,Eredivisie,2019-2020,70.8,32.3,2009,minutes>=1200
ATT,ATT_CF,Linking Forward,3,Kelvin Yeboah,Sturm Graz,Austrian Bundesliga,2021-2022,69.1,27.6,1530,minutes>=1200
ATT,ATT_CF,Linking Forward,4,Nicolas Jackson,Villarreal,LaLiga,2022-2023,68.4,26.4,1598,minutes>=1200
ATT,ATT_CF,Linking Forward,5,Joshua Zirkzee,Anderlecht,Belgian Pro League,2021-2022,67.5,33.9,2077,minutes>=1200
ATT,ATT_CF,Linking Forward,6,Joshua Zirkzee,Anderlecht,Belgian Pro League,2022-2023,67.5,33.8,2077,minutes>=1200
ATT,ATT_CF,Linking Forward,7,Gabriel Jesus,Manchester City,Premier League,2019-2020,65.9,32.6,2030,minutes>=1200
ATT,ATT_CF,Linking Forward,8,Donyell Malen,PSV,Eredivisie,2020-2021,63.8,33.0,2444,minutes>=1200
ATT,ATT_CF,Linking Forward,9,Hugo Ekitike,Reims,Ligue 1,2021-2022,61.4,17.8,1273,minutes>=1200
ATT,ATT_CF,Linking Forward,10,Junior Adamu,RB Salzburg,Austrian Bundesliga,2022-2023,61.0,16.4,1283,minutes>=1200
ATT,ATT_CF,Mobile Striker,1,Ivan Azón,Zaragoza,Spanish Segunda División,2024-2025,80.1,29.5,1457,minutes>=1200
ATT,ATT_CF,Mobile Striker,2,Marko Raguž,LASK,Austrian Bundesliga,2019-2020,72.8,19.6,1505,minutes>=1200
ATT,ATT_CF,Mobile Striker,3,Halil Dervişoğlu,Sparta Rotterdam,Eredivisie,2019-2020,72.7,31.5,1225,minutes>=1200
ATT,ATT_CF,Mobile Striker,4,Junior Adamu,RB Salzburg,Austrian Bundesliga,2021-2022,71.1,17.4,1632,minutes>=1200
ATT,ATT_CF,Mobile Striker,5,Lorenzo Colombo,Lecce,Serie A,2022-2023,66.7,3.1,1515,minutes>=1200
ATT,ATT_CF,Mobile Striker,6,Armando Broja,Vitesse,Eredivisie,2020-2021,66.3,12.1,1866,minutes>=1200
ATT,ATT_CF,Mobile Striker,7,Julen Lobete,RKC Waalwijk,Eredivisie,2022-2023,66.2,15.1,1328,minutes>=1200
ATT,ATT_CF,Mobile Striker,8,Tim Prica,WSG Tirol,Austrian Bundesliga,2022-2023,66.0,15.2,1447,minutes>=1200
ATT,ATT_CF,Mobile Striker,9,Gustavo Varela,Gil Vicente FC,Liga Portugal,2025-2026,65.8,11.4,1524,minutes>=1200
ATT,ATT_CF,Mobile Striker,10,Arnaud Kalimuendo,Rennes,Ligue 1,2022-2023,65.4,17.0,1849,minutes>=1200
ATT,ATT_CF,Penalty Box Finisher,1,Francisco Trincão,Sporting CP,Liga Portugal,2022-2023,84.9,45.7,2206,minutes>=1200
ATT,ATT_CF,Penalty Box Finisher,2,Vangelis Pavlidis,Willem II,Eredivisie,2019-2020,83.4,43.5,2167,minutes>=1200
