variable,VIF
position_group_DEF,3.827955062830707
position_group_MID,3.258385138366661
league_Ligue 1,3.183615679615103
league_Eredivisie,2.9295344822276888
league_Serie A,2.800917387147816
league_Championship,2.7707930391130158
league_Premier League,2.693335675037096
league_Bundesliga,2.5673216210164456
league_Belgian Pro League,2.5513117572008808
league_LaLiga,2.3343304046608164
league_Liga Portugal,2.261086222962819
league_Spanish Segunda División,2.024676731253622
goals_per90,1.5361171306839452
position_group_GK,1.4609475056575294
assists_per90,1.1909152196228814
log_minutes_played,1.0766678662951314
age,1.0428651648041551
