league,n,mean_inefficiency_ml,median_inefficiency_ml,mean_gap_ml_eur,median_gap_ml_eur,mean_gap_ml_pct,mean_confidence_ml,mean_opportunity_ml
Spanish Segunda División,20,0.16789366328630334,0.1935461126535465,-130064.63926254623,212379.3835452384,0.5189865274355687,0.7412438445889421,0.3696119024999601
LaLiga,72,0.12985709634264378,0.16511832235255763,-7266235.60994507,822953.0695848055,1.191603460174623,0.736104104505201,0.4504122769368524
Belgian Pro League,111,-0.0008967378895846936,-0.05721619482348039,-710606.6569939007,-113131.87397980946,0.2818364275378953,0.7260653706067464,0.26407129856128553
Liga Portugal,60,-0.013073388901612967,0.2148692348806689,-2564270.6071032328,454625.80332551664,0.49941851790428843,0.6752575834664233,0.33801174968991554
Austrian Bundesliga,48,-0.07259143435513211,0.07277607728538715,-1762260.528486643,203589.86966811598,0.4334853741861125,0.6655243575240196,0.3326201510867634
Serie A,77,-0.09511537165912769,-0.1833141933125546,-2663691.9199932283,-1268054.3430986237,0.33092402900409557,0.6842408383729739,0.2332783706200648
Eredivisie,93,-0.12660401253645806,0.10550837802629687,-2247589.641164191,133530.4977341988,0.3622278376151014,0.7464354286723631,0.31837035856001056
Bundesliga,77,-0.1734411984557892,-0.21433429955665773,-7451431.491409341,-2050759.488132093,0.4945989757531682,0.7204135958193453,0.2477983522990139
Ligue 1,99,-0.1908489757296614,-0.26790269431959146,-5297578.061841143,-1407058.4634911823,0.4426271336134207,0.7174010329932529,0.27063283341707467
Championship,45,-0.23779582237983504,-0.3238136841581074,-2410933.7123326254,-1035667.597215692,0.2636568407938183,0.7267264403714689,0.2698724028028721
Premier League,74,-0.4059782369119178,-0.48616405180099953,-10194569.00449077,-10220393.961267475,-0.02791974240610628,0.7239742292600608,0.12070097131143542
