player_name_fbref,player_id_tm,club,current_club_name_tm,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_ml_eur,market_value_gap_ml_eur,market_value_gap_ml_pct,log_market_value_eur,predicted_log_market_value_ml,inefficiency_score_ml,inefficiency_score_ml_z,confidence_score_ml,opportunity_score_ml,matching_method,matching_confidence,age_diff,club_score
Johan Bakayoko,565424.0,PSV,RasenBallsport Leipzig,Eredivisie,2024-2025,MID,21.661875427789184,1579,40000000.0,2420765.801065306,-37579234.1989347,-0.9394808549733673,17.50439001207821,14.699594494795367,-2.8047955172828445,-2.807488709051634,0.7937405886379194,0.0,exact_age_validated,0.85,0.6618754277891838,16.000000000000004
António Silva,650568.0,Benfica,Sport Lisboa e Benfica,Liga Portugal,2024-2025,DEF,20.941820670773442,2037,40000000.0,2541015.7800684427,-37458984.21993156,-0.936474605498289,17.50439001207821,14.748074472463436,-2.756315539614775,-2.757020186843531,0.7699452429842574,0.0,exact_age_validated,0.85,0.941820670773442,48.275862068965516
Ousmane Diomande,974982.0,Sporting CP,Sporting Clube de Portugal,Liga Portugal,2024-2025,DEF,21.04312114989733,2521,40000000.0,2606700.3788628248,-37393299.62113717,-0.9348324905284294,17.50439001207821,14.773595756837333,-2.7307942552408786,-2.7304520742090315,0.7613347022587268,0.0,exact_age_validated,0.85,1.0431211498973312,59.45945945945945
Brian Brobbey,473169.0,Ajax,Sunderland Association Football Club,Eredivisie,2024-2025,ATT,22.874743326488705,1555,30000000.0,2218639.163579657,-27781360.836420342,-0.9260453612140114,17.216707939626428,14.612404576515127,-2.604303363111301,-2.5987727974100054,0.7756468172484601,0.0,exact_age_validated,0.85,0.874743326488705,9.999999999999998
Karim Konaté,847278.0,RB Salzburg,Fußballclub Red Bull Salzburg,Austrian Bundesliga,2024-2025,ATT,20.7419575633128,753,18000000.0,1436331.6119012975,-16563668.388098702,-0.9202037993388168,16.70588231586044,14.177602929438521,-2.528279386421918,-2.5196304805103127,0.6584011179557381,0.0,exact_age_validated,0.85,0.7419575633127984,50.0
Aleksandar Pavlovic,792380.0,Bayern Munich,FC Bayern München,Bundesliga,2024-2025,MID,20.435318275154003,1451,50000000.0,4503164.73003316,-45496835.26996684,-0.9099367053993368,17.72753356339242,15.320290980900438,-2.407242582491982,-2.3936290068924926,0.9564681724845997,0.0,exact_age_club_validated,1.0,0.43531827515400323,80.0
Jorrel Hato,904802.0,Ajax,Chelsea Football Club,Eredivisie,2024-2025,DEF,18.781656399726216,2588,30000000.0,2838705.2764845435,-27161294.72351546,-0.9053764907838485,17.216707939626428,14.858858617626824,-2.3578493219996037,-2.3422097409605276,0.7835592060232717,0.0,exact_age_validated,0.85,0.7816563997262165,16.000000000000004
Warren Zaïre-Emery,810092.0,Paris Saint-Germain,Paris Saint-Germain Football Club,Ligue 1,2024-2025,DEF,18.759753593429156,2050,60000000.0,5862975.435520033,-54137024.56447997,-0.9022837427413328,17.909855120186375,15.584167786191717,-2.325687333994658,-2.308728537297486,0.9240246406570843,0.0,exact_age_club_validated,1.0,0.7597535934291564,73.07692307692308
Pedri,683840.0,Barcelona,Futbol Club Barcelona,LaLiga,2024-2025,MID,22.088980150581794,2879,100000000.0,10092313.303210441,-89907686.69678956,-0.8990768669678956,18.420680743952367,16.127284632970923,-2.293396110981444,-2.2751127976837577,0.7574366872005476,0.0,exact_age_validated,0.85,1.0889801505817935,60.0
Eduardo Camavinga,640428.0,Real Madrid,Real Madrid Club de Fútbol,LaLiga,2024-2025,DEF,22.130047912388775,1102,80000000.0,8094964.177567387,-71905035.8224326,-0.8988129477804077,18.197537192638155,15.906752719829898,-2.290784472808257,-2.2723940357229857,0.7539459274469541,0.0,exact_age_validated,0.85,1.1300479123887754,59.45945945945945
