player_name_fbref,player_id_tm,club,current_club_name_tm,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_ml_eur,market_value_gap_ml_eur,market_value_gap_ml_pct,log_market_value_eur,predicted_log_market_value_ml,inefficiency_score_ml,inefficiency_score_ml_z,confidence_score_ml,opportunity_score_ml,matching_method,matching_confidence,age_diff,club_score
Lasse Rosenboom,512352.0,Holstein Kiel,Holstein Kiel,Bundesliga,2024-2025,MID,22.91854893908282,1734,500000.0,9964623.172417894,9464623.172417894,18.92924634483579,13.122363377404328,16.114551695802923,2.992188318398595,3.227274950581697,0.9081451060917178,2.9308339523831584,exact_age_club_validated,1.0,0.9185489390828216,100.0
Jesus Rodríguez,1190411.0,Real Betis,Calcio Como,LaLiga,2024-2025,MID,18.89664613278576,1111,700000.0,10992032.118986063,10292032.118986063,14.702903027122947,13.458835614025542,16.212681215472937,2.753845601447395,2.9791559273851633,0.7737850787132103,2.305226403770656,exact_age_validated,0.85,0.8966461327857616,19.047619047619047
Mario Martín,948273.0,Valladolid,Getafe Club de Fútbol S. A. D. Team Dubai,LaLiga,2024-2025,MID,20.602327173169062,1748,500000.0,6624658.245866447,6124658.245866447,12.249316491732893,13.122363377404328,15.706309342976388,2.5839459655720596,2.8022873734218963,0.7988021902806297,2.2384732916851635,exact_age_validated,0.85,0.602327173169062,20.833333333333336
Yassin Belkhdim,807688.0,Angers,Angers Sporting Club de l'Ouest,Ligue 1,2024-2025,MID,22.64476386036961,1523,500000.0,5457051.723820371,4957051.723820371,9.914103447640741,13.122363377404328,15.512419224558554,2.390055847154226,2.600444298858208,0.795195071868583,2.0678604911207996,exact_age_validated,0.85,0.6447638603696113,32.432432432432435
Pau Navarro,1061336.0,Villarreal,Villarreal Club de Fútbol S.A.D.,LaLiga,2024-2025,DEF,19.64955509924709,916,500000.0,4938459.432623838,4438459.432623838,8.876918865247676,13.122363377404328,15.412563984782828,2.2902006073785,2.496493211654307,0.7947878165639971,1.9841823887575674,exact_age_validated,0.85,0.6495550992470918,48.78048780487805
Kévin Danois,743496.0,Auxerre,Association de la Jeunesse auxerroise,Ligue 1,2024-2025,MID,20.27652292950034,1460,500000.0,3616458.652930775,3116458.652930775,6.232917305861551,13.122363377404328,15.101005832309884,1.9786424549055557,2.172155613051152,0.826495550992471,1.7952769502501005,exact_age_validated,0.85,0.2765229295003415,31.818181818181824
Jérémy Jacquet,1004301.0,Rennes,Stade Rennais Football Club,Ligue 1,2024-2025,DEF,19.225188227241617,927,600000.0,3536059.2705358663,2936059.2705358663,4.893432117559777,13.304684934198283,15.078523464628564,1.7738385304302806,1.958951071550409,0.8308590006844625,1.6276121296981299,exact_age_validated,0.85,0.2251882272416168,30.303030303030297
Antoine Hainaut,917375.0,Parma,Parma Calcio 1913,Serie A,2024-2025,DEF,22.663928815879533,1206,750000.0,4559264.062185064,3809264.062185064,5.079018749580086,13.527828485512494,15.332671778594126,1.8048432930816318,1.9912275829617845,0.7935660506502397,1.5801706089568057,exact_age_validated,0.85,0.6639288158795331,58.82352941176471
Louis Mouton,904662.0,Saint-Étienne,Angers Sporting Club de l'Ouest,Ligue 1,2024-2025,MID,22.521560574948666,1045,800000.0,4375606.041636099,3575606.041636099,4.4695075520451235,13.592367006650065,15.291555591982853,1.699188585332788,1.8812391460668327,0.8056673511293635,1.5156529596525308,exact_age_validated,0.85,0.5215605749486656,31.818181818181824
Emmanuel Biumla,1071956.0,Angers,Angers Sporting Club de l'Ouest,Ligue 1,2024-2025,DEF,19.416837782340863,1336,800000.0,4272538.03606952,3472538.03606952,4.3406725450869,13.592367006650065,15.267718596464618,1.6753515898145537,1.8564244081986923,0.8145687885010267,1.5121853811301442,exact_age_validated,0.85,0.4168377823408633,32.432432432432435
Luca Marianucci,814446.0,Empoli,Torino Calcio,Serie A,2024-2025,DEF,20.40520191649555,1069,800000.0,4188293.334802643,3388293.334802643,4.235366668503303,13.592367006650065,15.247803890258687,1.6554368836086226,1.8356928435246467,0.8155578370978782,1.4971136850410147,exact_age_validated,0.85,0.4052019164955496,21.052631578947366
Pablo Marín,907813.0,Real Sociedad,Real Sociedad de Fútbol S.A.D.,LaLiga,2024-2025,MID,21.48665297741273,1239,1800000.0,8701019.815351943,6901019.815351943,3.833899897417746,14.403297222866392,15.978950796910462,1.57565357404407,1.752636993990983,0.8086344969199178,1.4172427339191356,exact_age_validated,0.85,0.4866529774127315,61.904761904761905
Arthur Atta,855308.0,Udinese,Udinese Calcio,Serie A,2024-2025,MID,21.927446954141,1251,1000000.0,5024715.286662699,4024715.2866626987,4.0247152866626985,13.815510557964274,15.429879350933604,1.61436879296933,1.7929402280291442,0.7711670088980149,1.38265635278216,exact_age_validated,0.85,0.9274469541410006,66.66666666666667
Clément Akpa,806793.0,Auxerre,Association de la Jeunesse auxerroise,Ligue 1,2024-2025,DEF,22.869267624914443,2486,1000000.0,4966689.500832116,3966689.500832116,3.966689500832116,13.815510557964274,15.418264079719986,1.6027535217557123,1.7808485233420834,0.7761122518822724,1.382138357712244,exact_age_validated,0.85,0.8692676249144426,31.818181818181824
Yan Diomandé,1390649.0,Leganés,RasenBallsport Leipzig,LaLiga,2024-2025,MID,18.472279260780287,545,600000.0,10972364.938986368,10372364.938986368,17.287274898310613,13.304684934198283,16.210890391422186,2.906205457223903,3.1377652571486236,0.4389407369381702,1.377292994311804,exact_age_validated,0.85,1.4722792607802866,41.379310344827594
Jamie Lawrence,522248.0,WSG Tirol,Wattener Sportgemeinschaft Swarovski Tirol,Austrian Bundesliga,2024-2025,DEF,22.102669404517453,2510,500000.0,2571160.675511764,2071160.675511764,4.1423213510235275,13.122363377404328,14.759867979632405,1.637504602228077,1.8170250184837105,0.7562731006160165,1.3741671446255503,exact_age_validated,0.85,1.102669404517453,27.450980392156865
Erick Nunes,1086381.0,Cercle Brugge,Cercle Brugge Koninklijke Sportvereniging,Belgian Pro League,2024-2025,MID,20.591375770020534,1805,500000.0,2255245.4705064557,1755245.4705064557,3.510490941012912,13.122363377404328,14.628769381094944,1.506406003690616,1.6805490370581508,0.7997330595482546,1.343990623127388,exact_age_validated,0.85,0.5913757700205338,48.14814814814815
Joel silva,929573.0,Boavista,Clube Desportivo Nacional,Liga Portugal,2024-2025,MID,21.853524982888434,2397,600000.0,2772988.8254140955,2172988.8254140955,3.621648042356826,13.304684934198283,14.835436294807645,1.5307513606093615,1.7058929882193978,0.7774503764544831,1.326247145882234,exact_age_validated,0.85,0.8535249828884339,30.303030303030297
Chris Lokesa,671675.0,RKC Waalwijk,RKC Waalwijk,Eredivisie,2024-2025,MID,20.109514031485283,1012,500000.0,1849216.0379844592,1349216.0379844592,2.698432075968918,13.122363377404328,14.430272343989843,1.307908966585515,1.4739100778991523,0.8890485968514718,1.3103776866414847,exact_age_club_validated,1.0,1.1095140314852827,100.0
Dudu,1083607.0,Nacional,Aris Thessalonikis,Liga Portugal,2024-2025,MID,22.850102669404517,1338,500000.0,2388726.9528761916,1888726.9528761916,3.777453905752383,13.122363377404328,14.686271126295912,1.5639077488915838,1.740409380322935,0.7522587268993839,1.3092381447254766,exact_age_validated,0.85,1.1498973305954827,30.76923076923077
Rabby Nzingoula,1068110.0,Montpellier,Montpellier HSC,Ligue 1,2024-2025,MID,18.86652977412731,1689,1500000.0,5319587.679817108,3819587.6798171084,2.546391786544739,14.22097566607244,15.486906354520476,1.2659306884480372,1.4302099409695395,0.9133470225872689,1.3062779912592424,exact_age_club_validated,1.0,0.8665297741273115,84.61538461538461
Jakob Breum,657957.0,Go Ahead Eagles,Go Ahead Eagles,Eredivisie,2024-2025,MID,20.908966461327857,2059,1500000.0,5182732.5667481385,3682732.5667481385,2.455155044498759,14.22097566607244,15.460842997682816,1.2398673316103768,1.4030775212232836,0.9091033538672143,1.2755424802797846,exact_age_club_validated,1.0,0.9089664613278572,100.0
Freddie Potts,698164.0,Portsmouth,West Ham United Football Club,Championship,2024-2025,MID,21.300479123887747,3057,600000.0,2808055.1060122144,2208055.1060122144,3.680091843353691,13.304684934198283,14.848002668583502,1.5433177343852194,1.7189748076526585,0.7394592744695414,1.2711118640982544,exact_age_validated,0.85,1.3004791238877473,25.64102564102564
Adama Boiro,710671.0,Athletic Club,Athletic Club Bilbao,LaLiga,2024-2025,DEF,22.305270362765228,1101,1500000.0,4725374.661728107,3225374.6617281074,2.1502497744854048,14.22097566607244,15.368457409253848,1.1474817431814088,1.3069024744181996,0.9694729637234772,1.2670066151717578,exact_age_club_validated,1.0,0.3052703627652278,78.78787878787878
Hugo Álvarez,892929.0,Celta Vigo,Real Club Celta de Vigo S. A. D.,LaLiga,2024-2025,MID,21.27857631759069,1572,3000000.0,11746430.537529707,8746430.537529707,2.915476845843236,14.914122846632385,16.2790599683627,1.3649371217303141,1.533277405461022,0.8263210130047912,1.2669793388979098,exact_age_validated,0.85,0.2785763175906908,51.28205128205128
