feature,importance
log_minutes_played,849
age,726
experience_index,464
finishing_index,449
goals_position_percentile,420
assists_position_percentile,349
playmaking_index,346
goals_per90,299
assists_per90,240
age_squared,199
career_year,185
league_Bundesliga,119
league_Serie A,118
league_LaLiga,116
league_Premier League,102
league_Eredivisie,101
league_Ligue 1,100
season_2019-2020,100
league_Spanish Segunda División,90
league_Austrian Bundesliga,79
breakout_indicator,73
league_Championship,70
season_2022-2023,68
position_group_DEF,64
position_group_MID,61
league_Belgian Pro League,58
season_2020-2021,56
season_2021-2022,42
league_Liga Portugal,40
position_group_ATT,17
position_group_GK,0
