dataset,file,variable,rows,non_null,coverage_pct,numeric_non_null,numeric_coverage_pct,min,max,mean,std
shooting,fbref_shooting_austrian_bundesliga_2019_2020.parquet,"('nation',_'')",352,351,0.9972,0,0.0,,,,
shooting,fbref_shooting_austrian_bundesliga_2019_2020.parquet,"('pos',_'')",352,352,1.0,0,0.0,,,,
shooting,fbref_shooting_austrian_bundesliga_2019_2020.parquet,"('age',_'')",352,352,1.0,352,1.0,15,36,24.321022727272727,4.439759635128417
shooting,fbref_shooting_austrian_bundesliga_2019_2020.parquet,"('born',_'')",352,352,1.0,352,1.0,1982,2003,1994.3068181818182,4.472411039077301
shooting,fbref_shooting_austrian_bundesliga_2019_2020.parquet,"('90s',_'')",352,352,1.0,352,1.0,0.0,32.0,11.963068181818182,9.11647015934776
shooting,fbref_shooting_austrian_bundesliga_2019_2020.parquet,"('standard',_'gls')",352,352,1.0,352,1.0,0,30,1.7698863636363635,3.4444558017959483
shooting,fbref_shooting_austrian_bundesliga_2019_2020.parquet,"('standard',_'sh')",352,352,1.0,352,1.0,0,105,13.96875,17.340946409140198
shooting,fbref_shooting_austrian_bundesliga_2019_2020.parquet,"('standard',_'sot')",352,352,1.0,352,1.0,0,54,5.167613636363637,8.024732210645851
shooting,fbref_shooting_austrian_bundesliga_2019_2020.parquet,"('standard',_'sot_pct')",352,297,0.8438,297,0.8438,0.0,100.0,30.686531986531985,21.205300055227944
shooting,fbref_shooting_austrian_bundesliga_2019_2020.parquet,"('standard',_'sh_per_90')",352,352,1.0,352,1.0,0.0,8.57,1.2317045454545454,1.246441747241735
shooting,fbref_shooting_austrian_bundesliga_2019_2020.parquet,"('standard',_'sot_per_90')",352,352,1.0,352,1.0,0.0,7.5,0.4465625,0.7258066357067131
shooting,fbref_shooting_austrian_bundesliga_2019_2020.parquet,"('standard',_'g_per_sh')",352,297,0.8438,297,0.8438,0.0,0.5,0.08481481481481479,0.09759290124990841
shooting,fbref_shooting_austrian_bundesliga_2019_2020.parquet,"('standard',_'g_per_sot')",352,247,0.7017,247,0.7017,0.0,1.0,0.27761133603238863,0.25717105983627603
shooting,fbref_shooting_austrian_bundesliga_2019_2020.parquet,"('standard',_'pk')",352,352,1.0,352,1.0,0,4,0.13920454545454544,0.5447992318792337
shooting,fbref_shooting_austrian_bundesliga_2019_2020.parquet,"('standard',_'pkatt')",352,352,1.0,352,1.0,0,5,0.17897727272727273,0.6660775855028827
shooting,fbref_shooting_austrian_bundesliga_2020_2021.parquet,"('nation',_'')",341,339,0.9941,0,0.0,,,,
shooting,fbref_shooting_austrian_bundesliga_2020_2021.parquet,"('pos',_'')",341,341,1.0,0,0.0,,,,
shooting,fbref_shooting_austrian_bundesliga_2020_2021.parquet,"('age',_'')",341,341,1.0,341,1.0,16,37,23.93841642228739,4.478611505178558
shooting,fbref_shooting_austrian_bundesliga_2020_2021.parquet,"('born',_'')",341,341,1.0,341,1.0,1982,2004,1995.7126099706745,4.541908052377683
shooting,fbref_shooting_austrian_bundesliga_2020_2021.parquet,"('90s',_'')",341,341,1.0,341,1.0,0.0,32.0,12.336950146627565,9.621925701253806
shooting,fbref_shooting_austrian_bundesliga_2020_2021.parquet,"('standard',_'gls')",341,341,1.0,341,1.0,0,27,1.6686217008797655,3.1189903401201775
shooting,fbref_shooting_austrian_bundesliga_2020_2021.parquet,"('standard',_'sh')",341,341,1.0,341,1.0,0,121,14.234604105571847,18.114442699903872
shooting,fbref_shooting_austrian_bundesliga_2020_2021.parquet,"('standard',_'sot')",341,341,1.0,341,1.0,0,56,5.231671554252199,7.948861913953483
shooting,fbref_shooting_austrian_bundesliga_2020_2021.parquet,"('standard',_'sot_pct')",341,282,0.827,282,0.827,0.0,100.0,30.42163120567376,20.76225171464028
shooting,fbref_shooting_austrian_bundesliga_2020_2021.parquet,"('standard',_'sh_per_90')",341,341,1.0,341,1.0,0.0,90.0,1.474809384164223,5.013779164230948
shooting,fbref_shooting_austrian_bundesliga_2020_2021.parquet,"('standard',_'sot_per_90')",341,341,1.0,341,1.0,0.0,4.09,0.40384164222873903,0.5658592306985077
shooting,fbref_shooting_austrian_bundesliga_2020_2021.parquet,"('standard',_'g_per_sh')",341,282,0.827,282,0.827,0.0,0.5,0.07567375886524821,0.08402511880438558
shooting,fbref_shooting_austrian_bundesliga_2020_2021.parquet,"('standard',_'g_per_sot')",341,229,0.6716,229,0.6716,0.0,1.0,0.2635371179039302,0.24766129720600746
shooting,fbref_shooting_austrian_bundesliga_2020_2021.parquet,"('standard',_'pk')",341,341,1.0,341,1.0,0,6,0.15249266862170088,0.5892926498370527
shooting,fbref_shooting_austrian_bundesliga_2020_2021.parquet,"('standard',_'pkatt')",341,341,1.0,341,1.0,0,8,0.1906158357771261,0.7408460399603695
shooting,fbref_shooting_austrian_bundesliga_2021_2022.parquet,"('nation',_'')",349,346,0.9914,0,0.0,,,,
shooting,fbref_shooting_austrian_bundesliga_2021_2022.parquet,"('pos',_'')",349,349,1.0,0,0.0,,,,
