source,league,season,stat_type,status,rows,columns,output_path,error
soccerdata,ENG-Premier League,2019-2020,shooting,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_premier_league_2019_2020.parquet,
soccerdata,ENG-Premier League,2019-2020,playing_time,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_premier_league_2019_2020.parquet,
soccerdata,ENG-Premier League,2019-2020,misc,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_premier_league_2019_2020.parquet,
soccerdata,ENG-Premier League,2020-2021,shooting,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_premier_league_2020_2021.parquet,
soccerdata,ENG-Premier League,2020-2021,playing_time,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_premier_league_2020_2021.parquet,
soccerdata,ENG-Premier League,2020-2021,misc,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_premier_league_2020_2021.parquet,
soccerdata,ENG-Premier League,2021-2022,shooting,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_premier_league_2021_2022.parquet,
soccerdata,ENG-Premier League,2021-2022,playing_time,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_premier_league_2021_2022.parquet,
soccerdata,ENG-Premier League,2021-2022,misc,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_premier_league_2021_2022.parquet,
soccerdata,ENG-Premier League,2022-2023,shooting,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_premier_league_2022_2023.parquet,
soccerdata,ENG-Premier League,2022-2023,playing_time,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_premier_league_2022_2023.parquet,
soccerdata,ENG-Premier League,2022-2023,misc,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_premier_league_2022_2023.parquet,
soccerdata,ENG-Premier League,2023-2024,shooting,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_premier_league_2023_2024.parquet,
soccerdata,ENG-Premier League,2023-2024,playing_time,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_premier_league_2023_2024.parquet,
soccerdata,ENG-Premier League,2023-2024,misc,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_premier_league_2023_2024.parquet,
soccerdata,ENG-Premier League,2024-2025,shooting,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_premier_league_2024_2025.parquet,
soccerdata,ENG-Premier League,2024-2025,playing_time,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_premier_league_2024_2025.parquet,
soccerdata,ENG-Premier League,2024-2025,misc,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_premier_league_2024_2025.parquet,
soccerdata,ENG-Premier League,2025-2026,shooting,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_premier_league_2025_2026.parquet,
soccerdata,ENG-Premier League,2025-2026,playing_time,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_premier_league_2025_2026.parquet,
soccerdata,ENG-Premier League,2025-2026,misc,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_premier_league_2025_2026.parquet,
soccerdata,ESP-La Liga,2019-2020,shooting,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_la_liga_2019_2020.parquet,
soccerdata,ESP-La Liga,2019-2020,playing_time,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_la_liga_2019_2020.parquet,
soccerdata,ESP-La Liga,2019-2020,misc,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_la_liga_2019_2020.parquet,
soccerdata,ESP-La Liga,2020-2021,shooting,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_la_liga_2020_2021.parquet,
soccerdata,ESP-La Liga,2020-2021,playing_time,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_la_liga_2020_2021.parquet,
soccerdata,ESP-La Liga,2020-2021,misc,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_la_liga_2020_2021.parquet,
soccerdata,ESP-La Liga,2021-2022,shooting,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_la_liga_2021_2022.parquet,
soccerdata,ESP-La Liga,2021-2022,playing_time,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_la_liga_2021_2022.parquet,
soccerdata,ESP-La Liga,2021-2022,misc,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_la_liga_2021_2022.parquet,
soccerdata,ESP-La Liga,2022-2023,shooting,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_la_liga_2022_2023.parquet,
soccerdata,ESP-La Liga,2022-2023,playing_time,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_la_liga_2022_2023.parquet,
soccerdata,ESP-La Liga,2022-2023,misc,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_la_liga_2022_2023.parquet,
soccerdata,ESP-La Liga,2023-2024,shooting,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_la_liga_2023_2024.parquet,
soccerdata,ESP-La Liga,2023-2024,playing_time,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_la_liga_2023_2024.parquet,
soccerdata,ESP-La Liga,2023-2024,misc,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_la_liga_2023_2024.parquet,
soccerdata,ESP-La Liga,2024-2025,shooting,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_la_liga_2024_2025.parquet,
soccerdata,ESP-La Liga,2024-2025,playing_time,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_la_liga_2024_2025.parquet,
soccerdata,ESP-La Liga,2024-2025,misc,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_la_liga_2024_2025.parquet,
soccerdata,ESP-La Liga,2025-2026,shooting,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_la_liga_2025_2026.parquet,
soccerdata,ESP-La Liga,2025-2026,playing_time,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_la_liga_2025_2026.parquet,
soccerdata,ESP-La Liga,2025-2026,misc,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_la_liga_2025_2026.parquet,
soccerdata,GER-Bundesliga,2019-2020,shooting,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_bundesliga_2019_2020.parquet,
soccerdata,GER-Bundesliga,2019-2020,playing_time,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_bundesliga_2019_2020.parquet,
soccerdata,GER-Bundesliga,2019-2020,misc,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_bundesliga_2019_2020.parquet,
soccerdata,GER-Bundesliga,2020-2021,shooting,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_bundesliga_2020_2021.parquet,
soccerdata,GER-Bundesliga,2020-2021,playing_time,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_bundesliga_2020_2021.parquet,
soccerdata,GER-Bundesliga,2020-2021,misc,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_bundesliga_2020_2021.parquet,
soccerdata,GER-Bundesliga,2021-2022,shooting,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_bundesliga_2021_2022.parquet,
soccerdata,GER-Bundesliga,2021-2022,playing_time,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_bundesliga_2021_2022.parquet,
soccerdata,GER-Bundesliga,2021-2022,misc,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_bundesliga_2021_2022.parquet,
soccerdata,GER-Bundesliga,2022-2023,shooting,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_bundesliga_2022_2023.parquet,
soccerdata,GER-Bundesliga,2022-2023,playing_time,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_bundesliga_2022_2023.parquet,
soccerdata,GER-Bundesliga,2022-2023,misc,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_bundesliga_2022_2023.parquet,
soccerdata,GER-Bundesliga,2023-2024,shooting,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_bundesliga_2023_2024.parquet,
soccerdata,GER-Bundesliga,2023-2024,playing_time,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_bundesliga_2023_2024.parquet,
soccerdata,GER-Bundesliga,2023-2024,misc,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_bundesliga_2023_2024.parquet,
soccerdata,GER-Bundesliga,2024-2025,shooting,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_bundesliga_2024_2025.parquet,
soccerdata,GER-Bundesliga,2024-2025,playing_time,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_bundesliga_2024_2025.parquet,
soccerdata,GER-Bundesliga,2024-2025,misc,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_bundesliga_2024_2025.parquet,
soccerdata,GER-Bundesliga,2025-2026,shooting,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_bundesliga_2025_2026.parquet,
soccerdata,GER-Bundesliga,2025-2026,playing_time,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_bundesliga_2025_2026.parquet,
soccerdata,GER-Bundesliga,2025-2026,misc,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_bundesliga_2025_2026.parquet,
soccerdata,ITA-Serie A,2019-2020,shooting,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_serie_a_2019_2020.parquet,
soccerdata,ITA-Serie A,2019-2020,playing_time,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_serie_a_2019_2020.parquet,
soccerdata,ITA-Serie A,2019-2020,misc,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_serie_a_2019_2020.parquet,
soccerdata,ITA-Serie A,2020-2021,shooting,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_serie_a_2020_2021.parquet,
soccerdata,ITA-Serie A,2020-2021,playing_time,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_serie_a_2020_2021.parquet,
soccerdata,ITA-Serie A,2020-2021,misc,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_serie_a_2020_2021.parquet,
soccerdata,ITA-Serie A,2021-2022,shooting,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_serie_a_2021_2022.parquet,
soccerdata,ITA-Serie A,2021-2022,playing_time,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_serie_a_2021_2022.parquet,
soccerdata,ITA-Serie A,2021-2022,misc,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_serie_a_2021_2022.parquet,
soccerdata,ITA-Serie A,2022-2023,shooting,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_serie_a_2022_2023.parquet,
soccerdata,ITA-Serie A,2022-2023,playing_time,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_serie_a_2022_2023.parquet,
soccerdata,ITA-Serie A,2022-2023,misc,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_serie_a_2022_2023.parquet,
soccerdata,ITA-Serie A,2023-2024,shooting,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_serie_a_2023_2024.parquet,
soccerdata,ITA-Serie A,2023-2024,playing_time,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_serie_a_2023_2024.parquet,
soccerdata,ITA-Serie A,2023-2024,misc,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_serie_a_2023_2024.parquet,
soccerdata,ITA-Serie A,2024-2025,shooting,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_serie_a_2024_2025.parquet,
soccerdata,ITA-Serie A,2024-2025,playing_time,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_serie_a_2024_2025.parquet,
soccerdata,ITA-Serie A,2024-2025,misc,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_serie_a_2024_2025.parquet,
soccerdata,ITA-Serie A,2025-2026,shooting,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_serie_a_2025_2026.parquet,
soccerdata,ITA-Serie A,2025-2026,playing_time,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_serie_a_2025_2026.parquet,
soccerdata,ITA-Serie A,2025-2026,misc,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_serie_a_2025_2026.parquet,
soccerdata,FRA-Ligue 1,2019-2020,shooting,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_ligue_1_2019_2020.parquet,
soccerdata,FRA-Ligue 1,2019-2020,playing_time,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\playing_time\fbref_playing_time_ligue_1_2019_2020.parquet,
soccerdata,FRA-Ligue 1,2019-2020,misc,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\misc\fbref_misc_ligue_1_2019_2020.parquet,
soccerdata,FRA-Ligue 1,2020-2021,shooting,skipped_existing,,,data\raw\fbref\sprint_13b\soccerdata\shooting\fbref_shooting_ligue_1_2020_2021.parquet,
