dataset,file,status,rows,columns,error
shooting,fbref_shooting_austrian_bundesliga_2019_2020.parquet,ok,352,19,
shooting,fbref_shooting_austrian_bundesliga_2020_2021.parquet,ok,341,19,
shooting,fbref_shooting_austrian_bundesliga_2021_2022.parquet,ok,349,19,
shooting,fbref_shooting_austrian_bundesliga_2022_2023.parquet,ok,350,19,
shooting,fbref_shooting_austrian_bundesliga_2023_2024.parquet,ok,331,19,
shooting,fbref_shooting_austrian_bundesliga_2024_2025.parquet,ok,358,19,
shooting,fbref_shooting_austrian_bundesliga_2025_2026.parquet,ok,344,19,
shooting,fbref_shooting_belgian_pro_league_2019_2020.parquet,ok,463,19,
shooting,fbref_shooting_belgian_pro_league_2020_2021.parquet,ok,545,19,
shooting,fbref_shooting_belgian_pro_league_2021_2022.parquet,ok,538,19,
shooting,fbref_shooting_belgian_pro_league_2022_2023.parquet,ok,540,19,
shooting,fbref_shooting_belgian_pro_league_2023_2024.parquet,ok,502,19,
shooting,fbref_shooting_belgian_pro_league_2024_2025.parquet,ok,515,19,
shooting,fbref_shooting_belgian_pro_league_2025_2026.parquet,ok,496,19,
shooting,fbref_shooting_bundesliga_2019_2020.parquet,ok,498,19,
shooting,fbref_shooting_bundesliga_2020_2021.parquet,ok,505,19,
shooting,fbref_shooting_bundesliga_2021_2022.parquet,ok,523,19,
shooting,fbref_shooting_bundesliga_2022_2023.parquet,ok,515,19,
shooting,fbref_shooting_bundesliga_2023_2024.parquet,ok,507,19,
shooting,fbref_shooting_bundesliga_2024_2025.parquet,ok,492,19,
shooting,fbref_shooting_bundesliga_2025_2026.parquet,ok,507,19,
shooting,fbref_shooting_championship_2019_2020.parquet,ok,721,19,
shooting,fbref_shooting_championship_2020_2021.parquet,ok,736,19,
shooting,fbref_shooting_championship_2021_2022.parquet,ok,746,19,
shooting,fbref_shooting_championship_2022_2023.parquet,ok,750,19,
shooting,fbref_shooting_championship_2023_2024.parquet,ok,735,19,
shooting,fbref_shooting_championship_2024_2025.parquet,ok,765,19,
shooting,fbref_shooting_championship_2025_2026.parquet,ok,791,19,
shooting,fbref_shooting_eredivisie_2019_2020.parquet,ok,484,19,
shooting,fbref_shooting_eredivisie_2020_2021.parquet,ok,522,19,
shooting,fbref_shooting_eredivisie_2021_2022.parquet,ok,533,19,
shooting,fbref_shooting_eredivisie_2022_2023.parquet,ok,526,19,
shooting,fbref_shooting_eredivisie_2023_2024.parquet,ok,524,19,
shooting,fbref_shooting_eredivisie_2024_2025.parquet,ok,534,19,
shooting,fbref_shooting_eredivisie_2025_2026.parquet,ok,550,19,
shooting,fbref_shooting_la_liga_2019_2020.parquet,ok,570,19,
shooting,fbref_shooting_la_liga_2020_2021.parquet,ok,582,19,
shooting,fbref_shooting_la_liga_2021_2022.parquet,ok,617,19,
shooting,fbref_shooting_la_liga_2022_2023.parquet,ok,596,19,
shooting,fbref_shooting_la_liga_2023_2024.parquet,ok,609,19,
shooting,fbref_shooting_la_liga_2024_2025.parquet,ok,601,19,
shooting,fbref_shooting_la_liga_2025_2026.parquet,ok,611,19,
shooting,fbref_shooting_ligue_1_2019_2020.parquet,ok,542,19,
shooting,fbref_shooting_ligue_1_2020_2021.parquet,ok,584,19,
shooting,fbref_shooting_ligue_1_2021_2022.parquet,ok,604,19,
shooting,fbref_shooting_ligue_1_2022_2023.parquet,ok,606,19,
shooting,fbref_shooting_ligue_1_2023_2024.parquet,ok,540,19,
shooting,fbref_shooting_ligue_1_2024_2025.parquet,ok,553,19,
shooting,fbref_shooting_ligue_1_2025_2026.parquet,ok,561,19,
shooting,fbref_shooting_premier_league_2019_2020.parquet,ok,522,19,
shooting,fbref_shooting_premier_league_2020_2021.parquet,ok,532,19,
shooting,fbref_shooting_premier_league_2021_2022.parquet,ok,546,19,
shooting,fbref_shooting_premier_league_2022_2023.parquet,ok,569,19,
shooting,fbref_shooting_premier_league_2023_2024.parquet,ok,580,19,
shooting,fbref_shooting_premier_league_2024_2025.parquet,ok,574,19,
shooting,fbref_shooting_premier_league_2025_2026.parquet,ok,551,19,
shooting,fbref_shooting_primeira_liga_2019_2020.parquet,ok,562,19,
shooting,fbref_shooting_primeira_liga_2020_2021.parquet,ok,543,19,
shooting,fbref_shooting_primeira_liga_2021_2022.parquet,ok,581,19,
shooting,fbref_shooting_primeira_liga_2022_2023.parquet,ok,580,19,
shooting,fbref_shooting_primeira_liga_2023_2024.parquet,ok,536,19,
shooting,fbref_shooting_primeira_liga_2024_2025.parquet,ok,585,19,
shooting,fbref_shooting_primeira_liga_2025_2026.parquet,ok,579,19,
shooting,fbref_shooting_segunda_division_2019_2020.parquet,ok,688,19,
shooting,fbref_shooting_segunda_division_2020_2021.parquet,ok,667,19,
shooting,fbref_shooting_segunda_division_2021_2022.parquet,ok,686,19,
shooting,fbref_shooting_segunda_division_2022_2023.parquet,ok,688,19,
shooting,fbref_shooting_segunda_division_2023_2024.parquet,ok,672,19,
shooting,fbref_shooting_segunda_division_2024_2025.parquet,ok,680,19,
shooting,fbref_shooting_segunda_division_2025_2026.parquet,ok,698,19,
shooting,fbref_shooting_serie_a_2019_2020.parquet,ok,600,19,
shooting,fbref_shooting_serie_a_2020_2021.parquet,ok,619,19,
shooting,fbref_shooting_serie_a_2021_2022.parquet,ok,632,19,
shooting,fbref_shooting_serie_a_2022_2023.parquet,ok,603,19,
shooting,fbref_shooting_serie_a_2023_2024.parquet,ok,616,19,
shooting,fbref_shooting_serie_a_2024_2025.parquet,ok,634,19,
shooting,fbref_shooting_serie_a_2025_2026.parquet,ok,609,19,
playing_time,fbref_playing_time_austrian_bundesliga_2019_2020.parquet,ok,382,25,
playing_time,fbref_playing_time_austrian_bundesliga_2020_2021.parquet,ok,373,25,
playing_time,fbref_playing_time_austrian_bundesliga_2021_2022.parquet,ok,391,25,
playing_time,fbref_playing_time_austrian_bundesliga_2022_2023.parquet,ok,383,25,
playing_time,fbref_playing_time_austrian_bundesliga_2023_2024.parquet,ok,364,25,
playing_time,fbref_playing_time_austrian_bundesliga_2024_2025.parquet,ok,391,25,
playing_time,fbref_playing_time_austrian_bundesliga_2025_2026.parquet,ok,392,25,
playing_time,fbref_playing_time_belgian_pro_league_2019_2020.parquet,ok,529,25,
playing_time,fbref_playing_time_belgian_pro_league_2020_2021.parquet,ok,607,25,
playing_time,fbref_playing_time_belgian_pro_league_2021_2022.parquet,ok,606,25,
playing_time,fbref_playing_time_belgian_pro_league_2022_2023.parquet,ok,611,25,
playing_time,fbref_playing_time_belgian_pro_league_2023_2024.parquet,ok,568,25,
playing_time,fbref_playing_time_belgian_pro_league_2024_2025.parquet,ok,597,25,
playing_time,fbref_playing_time_belgian_pro_league_2025_2026.parquet,ok,569,25,
playing_time,fbref_playing_time_bundesliga_2019_2020.parquet,ok,594,25,
playing_time,fbref_playing_time_bundesliga_2020_2021.parquet,ok,577,25,
playing_time,fbref_playing_time_bundesliga_2021_2022.parquet,ok,601,25,
playing_time,fbref_playing_time_bundesliga_2022_2023.parquet,ok,599,25,
playing_time,fbref_playing_time_bundesliga_2023_2024.parquet,ok,583,25,
playing_time,fbref_playing_time_bundesliga_2024_2025.parquet,ok,579,25,
playing_time,fbref_playing_time_bundesliga_2025_2026.parquet,ok,595,25,
playing_time,fbref_playing_time_championship_2019_2020.parquet,ok,806,25,
playing_time,fbref_playing_time_championship_2020_2021.parquet,ok,875,25,
playing_time,fbref_playing_time_championship_2021_2022.parquet,ok,867,25,
playing_time,fbref_playing_time_championship_2022_2023.parquet,ok,853,25,
playing_time,fbref_playing_time_championship_2023_2024.parquet,ok,892,25,
playing_time,fbref_playing_time_championship_2024_2025.parquet,ok,952,25,
playing_time,fbref_playing_time_championship_2025_2026.parquet,ok,944,25,
playing_time,fbref_playing_time_eredivisie_2019_2020.parquet,ok,610,25,
playing_time,fbref_playing_time_eredivisie_2020_2021.parquet,ok,631,25,
playing_time,fbref_playing_time_eredivisie_2021_2022.parquet,ok,642,25,
playing_time,fbref_playing_time_eredivisie_2022_2023.parquet,ok,632,25,
playing_time,fbref_playing_time_eredivisie_2023_2024.parquet,ok,639,25,
playing_time,fbref_playing_time_eredivisie_2024_2025.parquet,ok,643,25,
playing_time,fbref_playing_time_eredivisie_2025_2026.parquet,ok,680,25,
playing_time,fbref_playing_time_la_liga_2019_2020.parquet,ok,666,25,
playing_time,fbref_playing_time_la_liga_2020_2021.parquet,ok,719,25,
playing_time,fbref_playing_time_la_liga_2021_2022.parquet,ok,762,25,
playing_time,fbref_playing_time_la_liga_2022_2023.parquet,ok,728,25,
playing_time,fbref_playing_time_la_liga_2023_2024.parquet,ok,741,25,
playing_time,fbref_playing_time_la_liga_2024_2025.parquet,ok,749,25,
playing_time,fbref_playing_time_la_liga_2025_2026.parquet,ok,767,25,
playing_time,fbref_playing_time_ligue_1_2019_2020.parquet,ok,621,25,
playing_time,fbref_playing_time_ligue_1_2020_2021.parquet,ok,695,25,
