model,feature_set,original_feature,importance,max_component_importance,n_components,rank
RandomForest,B_v13B_advanced,league,0.5843445325088044,0.23343756697998905,11,1
RandomForest,B_v13B_advanced,finishing_index_v2,0.11564168075943743,0.11564168075943743,1,2
RandomForest,B_v13B_advanced,g_a_per90,0.07328543665818767,0.07328543665818767,1,3
RandomForest,B_v13B_advanced,availability_index,0.06714903669875028,0.06714903669875028,1,4
RandomForest,B_v13B_advanced,minutes_played,0.03197170716080312,0.03197170716080312,1,5
RandomForest,B_v13B_advanced,assists_per90,0.03155301027065552,0.03155301027065552,1,6
RandomForest,B_v13B_advanced,log_minutes_played,0.031211362463751474,0.031211362463751474,1,7
RandomForest,B_v13B_advanced,age,0.030524363528095375,0.030524363528095375,1,8
RandomForest,B_v13B_advanced,defensive_activity_index,0.015132578947898023,0.015132578947898023,1,9
RandomForest,B_v13B_advanced,goals_per90,0.01448468707781788,0.01448468707781788,1,10
RandomForest,B_v13B_advanced,position_group,0.00470160392579882,0.002493584645684948,4,11
LightGBM,B_v13B_advanced,age,2361.0,2361.0,1,1
LightGBM,B_v13B_advanced,availability_index,1982.0,1982.0,1,2
LightGBM,B_v13B_advanced,defensive_activity_index,1927.0,1927.0,1,3
LightGBM,B_v13B_advanced,finishing_index_v2,1900.0,1900.0,1,4
LightGBM,B_v13B_advanced,minutes_played,1708.0,1708.0,1,5
LightGBM,B_v13B_advanced,g_a_per90,1204.0,1204.0,1,6
LightGBM,B_v13B_advanced,league,1131.0,146.0,11,7
LightGBM,B_v13B_advanced,assists_per90,995.0,995.0,1,8
LightGBM,B_v13B_advanced,goals_per90,978.0,978.0,1,9
LightGBM,B_v13B_advanced,log_minutes_played,462.0,462.0,1,10
LightGBM,B_v13B_advanced,position_group,352.0,149.0,4,11
XGBoost,B_v13B_advanced,league,0.8132233023643494,0.23387844860553741,11,1
XGBoost,B_v13B_advanced,position_group,0.03793129324913025,0.010771817527711391,4,2
XGBoost,B_v13B_advanced,g_a_per90,0.026510311290621758,0.026510311290621758,1,3
XGBoost,B_v13B_advanced,finishing_index_v2,0.02257765457034111,0.02257765457034111,1,4
XGBoost,B_v13B_advanced,assists_per90,0.018944546580314636,0.018944546580314636,1,5
XGBoost,B_v13B_advanced,minutes_played,0.017540745437145233,0.017540745437145233,1,6
XGBoost,B_v13B_advanced,availability_index,0.017220543697476387,0.017220543697476387,1,7
XGBoost,B_v13B_advanced,log_minutes_played,0.015969928354024887,0.015969928354024887,1,8
XGBoost,B_v13B_advanced,age,0.010659519582986832,0.010659519582986832,1,9
XGBoost,B_v13B_advanced,goals_per90,0.010212413966655731,0.010212413966655731,1,10
XGBoost,B_v13B_advanced,defensive_activity_index,0.009209728799760342,0.009209728799760342,1,11
